_id,additional_information,agent,anio_registro,cas,group,volume,year
65c51084da5b75bbd86e6c41,,"Coal, indoor emissions from household combustion of",2023,,1,"95, 100E",2012
65c51084da5b75bbd86e6c42,,"Cobalt and cobalt compounds, see Soluble cobalt(II) salts, Cobalt metal (without tungsten carbide or other metal alloys), Cobalt(II) oxide, Cobalt(II,III) oxide, Cobalt(II) sulfide, and Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, or Cobalt(II) sulfide)",2023,,,,
65c51084da5b75bbd86e6c43,,"Cobalt metal without tungsten carbide, see Cobalt metal (without tungsten carbide or other metal alloys)",2023,,,,
65c51084da5b75bbd86e6c44,,"Cobalt sulfate and other soluble cobalt(II) salts, see Soluble cobalt(II) salts",2023,,,,
65c51084da5b75bbd86e6c45,"NB There is ""evidence suggesting lack of carcinogenicity"" in humans of coffee drinking for cancers of the pancreas, liver, female breast, uterine endometrium, and prostate.  Inverse associations with coffee drinking have been observed with cancers of the liver and uterine endometrium.","Coffee, drinking",2023,,3,"51, 116",2018 online
65c51084da5b75bbd86e6c46,,Coke production,2023,,1,"Sup 7, 92, 100F",2012
65c51084da5b75bbd86e6c47,,Continuous glass filament (see Glass filament),2023,,,,
65c51084da5b75bbd86e6c48,,Dental materials,2023,,3,74,1999
65c51084da5b75bbd86e6c49,,"Diesel engine exhaust (see Engine exhaust, diesel)",2023,,,,
65c51084da5b75bbd86e6c4a,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data,"Diesel fuel, marine",2023,,2B,45,1989
65c51084da5b75bbd86e6c4b,,"Diesel fuels, distillate (light)",2023,,3,45,1989
65c51084da5b75bbd86e6c4c,,Dry cleaning (occupational exposures in),2023,,2B,63,1995
65c51084da5b75bbd86e6c4d,,"Dyes metabolized to benzidine (see Benzidine, dyes metabolized to)",2023,,,,
65c51084da5b75bbd86e6c4e,,"Electric fields, extremely low-frequency",2023,,3,80,2002
65c51084da5b75bbd86e6c4f,,"Electric fields, static",2023,,3,80,2002
65c51084da5b75bbd86e6c50,,"Engine exhaust, diesel",2023,,1,"46, 105",2014
65c51084da5b75bbd86e6c51,,"Engine exhaust, gasoline",2023,,2B,"46, 105",2014
65c51084da5b75bbd86e6c52,,Epstein-Barr virus,2023,,1,"70, 100B",2012
65c51084da5b75bbd86e6c53,,"Estrogen therapy, postmenopausal",2023,,1,"72, 100A",2012
65c51084da5b75bbd86e6c54,,Estrogen-progestogen menopausal therapy (combined),2023,,1,"72, 91, 100A",2012
65c51084da5b75bbd86e6c55,NB There is also convincing evidence in humans that these agents confer a protective effect against cancer in the endometrium and ovary,Estrogen-progestogen oral contraceptives (combined),2023,,1,"72, 91, 100A",2012
65c51084da5b75bbd86e6c56,,Firefighter (occupational exposure as a),2023,,1,"98, 132",2023 online
65c51084da5b75bbd86e6c57,,"Fission products, including strontium-90",2023,,1,100D,2012
65c51084da5b75bbd86e6c58,,Flat-glass and specialty glass (manufacture of),2023,,3,58,1993
65c51084da5b75bbd86e6c59,,Fluorescent lighting,2023,,3,55,1992
65c51084da5b75bbd86e6c5a,,Fluoro-edenite fibrous amphibole,2023,,1,111,2017
65c51084da5b75bbd86e6c5b,,"Foreign  bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",2023,,,,
65c51084da5b75bbd86e6c5c,,"Frying, emissions from high-temperature",2023,,2A,95,2010
65c51084da5b75bbd86e6c5d,,"Fuel oils, distillate (light)",2023,,3,45,1989
65c51084da5b75bbd86e6c5e,,"Fuel oils, residual (heavy)",2023,,2B,45,1989
65c51084da5b75bbd86e6c5f,,Furniture and cabinet making (see Wood dust),2023,,,"25, Sup 7",1987
65c51084da5b75bbd86e6c60,,Gamma-Radiation (see X- and Gamma-Radiation),2023,,,,
65c51084da5b75bbd86e6c61,NB Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data,Gasoline,2023,,2B,45,1989
65c51084da5b75bbd86e6c62,,"Gasoline engine exhaust (see Engine exhaust, gasoline)",2023,,,,
65c51084da5b75bbd86e6c63,,"Glass filament, continuous",2023,,3,"43, 81",2002
65c51084da5b75bbd86e6c64,,Goldenseal root powder,2023,,2B,108,2016
65c51084da5b75bbd86e6c65,,Haematite mining (underground),2023,,1,"1, Sup 7, 100D",2012
65c51084da5b75bbd86e6c66,,Hair colouring products (personal use of),2023,,3,"57, 99",2010
65c51084da5b75bbd86e6c67,,Hairdresser or barber (occupational exposure as a),2023,,2A,"57, 99",2010
65c51084da5b75bbd86e6c68,,Hepatitis B virus (chronic infection with),2023,,1,"59, 100B",2012
65c51084da5b75bbd86e6c69,,Hepatitis C virus (chronic infection with),2023,,1,"59, 100B",2012
65c51084da5b75bbd86e6c6a,,Hepatitis D virus,2023,,3,59,1994
65c51084da5b75bbd86e6c6b,,Hexachlorocyclohexanes,2023,,2B,"20, Sup 7",1987
65c51084da5b75bbd86e6c6c,,High-temperature frying (see Frying),2023,,,,
65c51084da5b75bbd86e6c6d,,"Household combustion of biomass fuel (see Biomass fuel, indoor emissions from household combustion of)",2023,,,,
65c51084da5b75bbd86e6c6e,,"Household combustion of coal (see Coal, indoor emissions from household combustion)",2023,,,,
65c51084da5b75bbd86e6c6f,,Human T-cell lymphotropic virus type I,2023,,1,"67, 100B",2012
65c51084da5b75bbd86e6c70,,Human T-cell lymphotropic virus type II,2023,,3,67,1996
65c51084da5b75bbd86e6c71,,Human herpesvirus type 4 (see Epstein-Barr virus),2023,,,,
65c51084da5b75bbd86e6c72,,Human herpesvirus type 8 (see Kaposi sarcoma herpesvirus),2023,,,,
65c51084da5b75bbd86e6c73,,Human immunodeficiency virus type 1 (infection with),2023,,1,"67, 100B",2012
65c51084da5b75bbd86e6c74,,Human immunodeficiency virus type 2 (infection with),2023,,2B,67,1996
65c51084da5b75bbd86e6c75,,Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma,2023,,3,"90, 100B",2012
65c51084da5b75bbd86e6c76,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer,Human papillomavirus (HPV) type 16,2023,,1,"64, 90, 100B",2012
65c51084da5b75bbd86e6c77,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer,Human papillomavirus (HPV) type 18,2023,,1,"64, 90, 100B",2012
65c51084da5b75bbd86e6c78,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of  magnitude in risk for cervical cancer,Human papillomavirus (HPV) type 33,2023,,1,"64, 90, 100B",2012
65c51084da5b75bbd86e6c79,,Human papillomavirus (HPV) type 68,2023,,2A,100B,2012
65c51084da5b75bbd86e6c7a,NB The HPV types that have been classified as carcinogenic to humans can differ by an order of magnitude in risk for cervical cancer,"Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59",2023,,1,"64, 90, 100B",2012
65c51084da5b75bbd86e6c7b,,"Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82",2023,,2B,100B,2012
65c51084da5b75bbd86e6c7c,NB Classified by phylogenetic analogy to the HPV genus alpha types classified in Group 1,"Human papillomavirus (HPV) types 30, 34, 69, 85, 97",2023,,2B,100B,2012
65c51084da5b75bbd86e6c7d,,Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis),2023,,2B,100B,2012
65c51084da5b75bbd86e6c7e,,Human papillomavirus (HPV) types 6 and 11,2023,,3,"90, 100B",2012
65c51084da5b75bbd86e6c7f,,Hypochlorite salts,2023,,3,52,1991
65c51084da5b75bbd86e6c80,,"Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, stainless steel and depleted uranium",2023,,3,74,1999
65c51084da5b75bbd86e6c81,,"Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron",2023,,2B,74,1999
65c51084da5b75bbd86e6c82,,Insulation glass wool,2023,,3,"43, 81",2002
65c51084da5b75bbd86e6c83,,"Involuntary smoking (see Tobacco smoke, second-hand)",2023,,,,
65c51084da5b75bbd86e6c84,,Ionizing radiation (all types),2023,,1,100D,2012
65c51084da5b75bbd86e6c85,,Iron and steel founding (occupational exposure during),2023,,1,"34, Sup 7, 100F",2012
65c51084da5b75bbd86e6c86,,Isopropyl alcohol manufacture using strong acids,2023,,1,"Sup 7, 100F",2012
65c51084da5b75bbd86e6c87,,Isopropyl oils,2023,,3,"15, Sup 7, 71",1999
65c51084da5b75bbd86e6c88,,JC polyomavirus (JCV),2023,,2B,104,2014
65c51084da5b75bbd86e6c89,,Jet fuel,2023,,3,45,1989
65c51084da5b75bbd86e6c8a,,Kaposi sarcoma herpesvirus,2023,,1,"70, 100B",2012
65c51084da5b75bbd86e6c8b,,"Lead compounds, inorganic",2023,,2A,"Sup 7, 87",2006
65c51084da5b75bbd86e6c8c,"NB Organic lead compounds are metabolized at least in part, to ionic lead both in humans and animals. To the extent that ionic lead, generated from organic lead, is present in the body, it will be expected to exert the toxicities associated with inorganic lead","Lead compounds, organic",2023,,3,"23, Sup 7, 87",2006
65c51084da5b75bbd86e6c8d,,Leather dust,2023,,1,100C,2012
65c51084da5b75bbd86e6c8e,,Leather goods manufacture,2023,,3,"25, Sup 7",1987
65c51084da5b75bbd86e6c8f,,Leather tanning and processing,2023,,3,"25, Sup 7",1987
65c51084da5b75bbd86e6c90,,Lumber and sawmill industries (including logging),2023,,3,"25, Sup 7",1987
65c51084da5b75bbd86e6c91,,MOPP and other combined chemotherapy including alkylating agents,2023,,1,"Sup 7, 100A",2012
65c51084da5b75bbd86e6c92,,Madder root (Rubia tinctorum),2023,,3,82,2002
65c51084da5b75bbd86e6c93,,Magenta production,2023,,1,"Sup 7, 57, 99, 100F",2012
65c51084da5b75bbd86e6c94,,"Magnetic fields, extremely low-frequency",2023,,2B,80,2002
65c51084da5b75bbd86e6c95,,"Magnetic fields, static",2023,,3,80,2002
65c51084da5b75bbd86e6c96,,Malaria (caused by infection with Plasmodium falciparum in holoendemic areas),2023,,2A,104,2014
65c51084da5b75bbd86e6c97,,"Mate, hot (see Very hot beverages)",2023,,,,
65c51084da5b75bbd86e6c98,,"Mate, not very hot (drinking)",2023,,3,"51, 116",2018 online
65c51084da5b75bbd86e6c99,,Merkel cell polyomavirus (MCV),2023,,2A,104,2014
65c51084da5b75bbd86e6c9a,,Metabisulfites,2023,,3,54,1992
65c51084da5b75bbd86e6c9b,,Metallic implants prepared as thin smooth films,2023,,2B,74,1999
65c51084da5b75bbd86e6c9c,NB Evaluated as a group,Methylmercury compounds,2023,,2B,58,1993
65c51084da5b75bbd86e6c9d,,"Mineral oils, highly-refined",2023,,3,"33, Sup 7",1987
65c51084da5b75bbd86e6c9e,,"Mineral oils, untreated or mildly treated",2023,,1,"33, Sup 7, 100F",2012
65c51084da5b75bbd86e6c9f,,Modacrylic fibres,2023,,3,"19, Sup 7",1987
65c51084da5b75bbd86e6ca0,NB Overall evaluation upgraded to Group 1 with supporting evidence from other relevant data,Neutron radiation,2023,,1,"75, 100D",2012
65c51084da5b75bbd86e6ca1,,Nickel compounds,2023,,1,"Sup 7, 49, 100C",2012
65c51084da5b75bbd86e6ca2,,Nickel refining (see Nickel compounds),2023,,,11,1976
65c51084da5b75bbd86e6ca3,NB Volume 98 evaluated shiftwork that involves circadian disruption,Night shift work,2023,,2A,"98, 124",2020 online
65c51084da5b75bbd86e6ca4,,Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation,2023,,2A,94,2010
65c51084da5b75bbd86e6ca5,,Non-arsenical insecticides (occupational exposures in spraying and application of),2023,,2A,53,1991
65c51084da5b75bbd86e6ca6,,Oestrogen (see Estrogen),2023,,,,
65c51084da5b75bbd86e6ca7,,Opium consumption,2023,,1,126,2021 online
65c51084da5b75bbd86e6ca8,,"Oral contraceptives, combined estrogen-progestogen (see Estrogen-progestogen oral contraceptives)",2023,,,,
65c51084da5b75bbd86e6ca9,,Organic polymeric materials,2023,,3,74,1999
65c51084da5b75bbd86e6caa,,Orthopaedic implants of complex composition and cardiac pacemakers,2023,,3,74,1999
65c51084da5b75bbd86e6cab,,"Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)",2023,,3,"52, 86, 131",2023 online
65c51084da5b75bbd86e6cac,,Outdoor air pollution,2023,,1,109,2016
65c51084da5b75bbd86e6cad,,"Outdoor air pollution, particulate matter in",2023,,1,109,2016
65c51084da5b75bbd86e6cae,,Paint manufacture (occupational exposure in),2023,,3,47,1989
65c51084da5b75bbd86e6caf,,Painter (occupational exposure as a),2023,,1,"47, 98, 100F",2012
65c51084da5b75bbd86e6cb0,,"Particulate matter in outdoor air pollution (see Outdoor air pollution, particulate matter in)",2023,,,,
65c51084da5b75bbd86e6cb1,,Paving and roofing with coal-tar pitch (see Coal-tar pitch),2023,,,"35, Sup 7, 92, 100F",2010
65c51084da5b75bbd86e6cb2,,Pentavalent antimony,2023,,3,131,2023 online
65c51084da5b75bbd86e6cb3,,Petroleum refining (occupational exposures in),2023,,2A,45,1989
65c51084da5b75bbd86e6cb4,,Petroleum solvents,2023,,3,47,1989
65c51084da5b75bbd86e6cb5,,"Phenacetin, analgesic mixtures containing",2023,,1,"Sup 7, 100A",2012
65c51084da5b75bbd86e6cb6,,Pickled vegetables (traditional Asian),2023,,2B,56,1993
65c51084da5b75bbd86e6cb7,NB Overall evaluation upgraded to Group 1 with strong supporting evidence from other relevant data,"Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)",2023,,1,107,2016
65c51084da5b75bbd86e6cb8,,"Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)",2023,,3,69,1997
65c51084da5b75bbd86e6cb9,,"Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)",2023,,3,69,1997
65c51084da5b75bbd86e6cba,,"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)",2023,,2B,"53, 71",1999
65c51084da5b75bbd86e6cbb,,Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid),2023,,2B,74,1999
65c51084da5b75bbd86e6cbc,,Printing inks,2023,,3,65,1996
65c51084da5b75bbd86e6cbd,,Printing processes (occupational exposures in),2023,,2B,65,1996
65c51084da5b75bbd86e6cbe,,Processed meat (consumption of),2023,,1,114,2018
65c51084da5b75bbd86e6cbf,,Proflavine salts,2023,,3,"24, Sup 7",1987
65c51084da5b75bbd86e6cc0,,Progestins,2023,,2B,Sup 7,1987
65c51084da5b75bbd86e6cc1,,Progestogen-only contraceptives,2023,,2B,72,1999
65c51084da5b75bbd86e6cc2,,Pulp and paper manufacture,2023,,3,"25, Sup 7",1987
65c51084da5b75bbd86e6cc3,,Radiofrequency electromagnetic fields,2023,,2B,102,2013
65c51084da5b75bbd86e6cc4,,"Radioiodines, including iodine-131",2023,,1,"78, 100D",2012
65c51084da5b75bbd86e6cc5,NB Specific radionuclides for which there is sufficient or limited evidence in humans are also listed individually as Group 1 agents,"Radionuclides, alpha-particle-emitting, internally deposited",2023,,1,"78, 100D",2012
65c51084da5b75bbd86e6cc6,NB Specific radionuclides for which there is sufficient evidence in humans are also listed individually as Group 1 agents,"Radionuclides, beta-particle-emitting, internally deposited",2023,,1,"78, 100D",2012
65c51084da5b75bbd86e6cc7,,Red meat (consumption of),2023,,2A,114,2018
65c51084da5b75bbd86e6cc8,,Refractory ceramic fibres,2023,,2B,"43, 81",2002
65c51084da5b75bbd86e6cc9,,Rock (stone) wool,2023,,3,"43, 81",2002
65c51084da5b75bbd86e6cca,,Rubber manufacturing industry,2023,,1,"28, Sup 7, 100F",2012
65c51084da5b75bbd86e6ccb,,SV40 polyomavirus,2023,,3,104,2014
65c51084da5b75bbd86e6ccc,,"Salted fish, Chinese-style",2023,,1,"56, 100E",2012
65c51084da5b75bbd86e6ccd,,Silicone breast implants,2023,,3,74,1999
65c51084da5b75bbd86e6cce,,Slag wool,2023,,3,"43, 81",2002
65c51084da5b75bbd86e6ccf,,"Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)",2023,,1,"55, 100D",2012
65c51084da5b75bbd86e6cd0,,Soluble cobalt(II) salts,2023,,2A,"52, 86, 131",2023 online
65c51084da5b75bbd86e6cd1,,Soot (as found in occupational exposure of chimney sweeps),2023,,1,"35, Sup 7, 92, 100F",2012
65c51084da5b75bbd86e6cd2,,"Special-purpose fibres such as E-glass and '475' glass fibres",2023,,2B,81,2002
65c51084da5b75bbd86e6cd3,,Sulfites,2023,,3,54,1992
65c51084da5b75bbd86e6cd4,,Sunlamps and sunbeds (see Ultraviolet-emitting tanning devices),2023,,,,
65c51084da5b75bbd86e6cd5,,"Surgical implants (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",2023,,,,
65c51084da5b75bbd86e6cd6,,Tea,2023,,3,51,1991
65c51084da5b75bbd86e6cd7,,Tetrakis(hydroxymethyl)phosphonium salts,2023,,3,"48, 71",1999
65c51084da5b75bbd86e6cd8,,Textile manufacturing industry (work in),2023,,2B,48,1990
65c51084da5b75bbd86e6cd9,,"Tobacco smoke, second-hand",2023,,1,"83, 100E",2012
65c51084da5b75bbd86e6cda,,Tobacco smoking,2023,,1,"83, 100E",2012
65c51084da5b75bbd86e6cdb,,"Tobacco, smokeless",2023,,1,"Sup 7, 89, 100E",2012
65c51084da5b75bbd86e6cdc,,Toxins derived from certain Fusarium species (see Fusarium),2023,,,,
65c51084da5b75bbd86e6cdd,,Trivalent antimony,2023,,2A,"47, 131",2023 online
65c51084da5b75bbd86e6cde,*Volume 100D concluded that there is sufficient evidence for ocular melanoma in welders; **Volume  118 concluded that ultraviolet emissions from welding are carcinogenic to humans (Group 1; there is  sufficient evidence in humans for the carcinogenicity of ultraviolet radiation from welding),"Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)",2023,,1,"100D*, 118**",2018
65c51084da5b75bbd86e6cdf,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data,"Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC) (see Ultraviolet radiation from welding; Ultraviolet-emitting tanning devices; and Solar radiation)",2023,,1,"55, 100D",2012
65c51084da5b75bbd86e6ce0,,"Ultraviolet-emitting tanning devices (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Solar radiation)",2023,,1,100D,2012
65c51084da5b75bbd86e6ce1,,Urethane (see Ethyl carbamate),2023,,,,
65c51084da5b75bbd86e6ce2,,Very hot beverages at above 65 °C (drinking),2023,,2A,116,2018 online
65c51084da5b75bbd86e6ce3,,Weapons-grade tungsten (with nickel and cobalt) alloy,2023,,2B,131,2023 online
65c51084da5b75bbd86e6ce4,,Welding fumes,2023,,1,"49, 118",2018 online
65c51084da5b75bbd86e6ce5,,Wood dust,2023,,1,"62, 100C",2012
65c51084da5b75bbd86e6ce6,,"Wood smoke (see Biomass fuel, indoor emissions from household combustion)",2023,,,,
65c51084da5b75bbd86e6ce7,,X- and Gamma-Radiation,2023,,1,"75, 100D",2012
65c51084da5b75bbd86e6ce8,,4-Chloronitrobenzene,2023,100-00-5,2B,"65, 123",2020 online
65c51084da5b75bbd86e6ce9,,para-Nitroanisole,2023,100-17-4,2B,123,2020 online
65c51084da5b75bbd86e6cea,,4-Vinylcyclohexene,2023,100-40-3,2B,"Sup 7, 60",1994
65c51084da5b75bbd86e6ceb,,Ethylbenzene,2023,100-41-4,2B,77,2000
65c51084da5b75bbd86e6cec,,Styrene,2023,100-42-5,2A,"60, 82, 121",2019
65c51084da5b75bbd86e6ced,,N-Nitrosopiperidine,2023,100-75-4,2B,"17, Sup 7",1987
65c51084da5b75bbd86e6cee,,Iodine-131 (see Radioiodines),2023,10043-66-0,,,
65c51084da5b75bbd86e6cef,,Radon-222 and its decay products,2023,10043-92-2,1,"43, 78, 100D",2012
65c51084da5b75bbd86e6cf0,,Sterigmatocystin,2023,10048-13-2,2B,"10, Sup 7",1987
65c51084da5b75bbd86e6cf1,,Parasorbic acid,2023,10048-32-5,3,"10, Sup 7",1987
65c51084da5b75bbd86e6cf2,,Strontium-90 (see Fission products),2023,10098-97-2,,,
65c51084da5b75bbd86e6cf3,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data,"4,4'-Methylenebis(2-chloroaniline) (MOCA)",2023,101-14-4,1,"Sup 7, 57, 99, 100F",2012
65c51084da5b75bbd86e6cf4,,Chloropropham,2023,101-21-3,3,"12, Sup 7",1987
65c51084da5b75bbd86e6cf5,,Dinitrosopentamethylenetetramine,2023,101-25-7,3,"11, Sup 7",1987
65c51084da5b75bbd86e6cf6,,"Michler’s base [4,4´-methylenebis(N,N-dimethyl)­benzenamine]",2023,101-61-1,2B,"27, Sup 7, 99",2010
65c51084da5b75bbd86e6cf7,,"4,4'-Methylenediphenyl diisocyanate",2023,101-68-8,3,"19, Sup 7, 71",1999
65c51084da5b75bbd86e6cf8,,"4,4'-Methylenedianiline",2023,101-77-9,2B,"39, Sup 7",1987
65c51084da5b75bbd86e6cf9,,"4,4'-Diaminodiphenyl ether",2023,101-80-4,2B,"29, Sup 7",1987
65c51084da5b75bbd86e6cfa,,Diglycidyl resorcinol ether,2023,101-90-6,2B,"36, Sup 7, 71",1999
65c51084da5b75bbd86e6cfb,,Microcystin-LR,2023,101043-37-2,2B,94,2010
65c51084da5b75bbd86e6cfc,,meta-Cresidine,2023,102-50-1,3,"27, Sup 7",1987
65c51084da5b75bbd86e6cfd,,Triethanolamine,2023,102-71-6,3,77,2000
65c51084da5b75bbd86e6cfe,,Phenicarbazide,2023,103-03-7,3,"12, Sup 7",1987
65c51084da5b75bbd86e6cff,,2-Ethylhexyl acrylate,2023,103-11-7,2B,"60, 122",2019
65c51084da5b75bbd86e6d00,,Di(2-ethylhexyl) adipate,2023,103-23-1,3,"Sup 7, 77",2000
65c51084da5b75bbd86e6d01,,Azobenzene,2023,103-33-3,3,"8, Sup 7",1987
65c51084da5b75bbd86e6d02,,Acetaminophen (see Paracetamol),2023,103-90-2,,,
65c51084da5b75bbd86e6d03,,Paracetamol (Acetaminophen),2023,103-90-2,3,"50, 73",1999
65c51084da5b75bbd86e6d04,,Copper 8-hydroxyquinoline,2023,10380-28-6,3,"15, Sup 7",1987
65c51084da5b75bbd86e6d05,,para-Anisidine,2023,104-94-9,3,"27, Sup 7",1987
65c51084da5b75bbd86e6d06,,para-Benzoquinone dioxime,2023,105-11-3,3,"29, Sup 7, 71",1999
65c51084da5b75bbd86e6d07,,"N,N'-Diethylthiourea",2023,105-55-5,3,79,2001
