_id,cas,iarc,name
64f656e0145188be35837d6f,121-88-0,3,2-Amino-5-nitrophenol
64f656e0145188be35837d70,12122-67-7,3,Zineb
64f656e0145188be35837d71,12172-73-5,1,"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)"
64f656e0145188be35837d72,12192-57-3,3,Aurothioglucose
64f656e0145188be35837d73,122-34-9,3,Simazine
64f656e0145188be35837d74,122-39-4,2B,Diphenylamine
64f656e0145188be35837d75,122-42-9,3,Propham
64f656e0145188be35837d76,122-60-1,2B,Phenyl glycidyl ether
64f656e0145188be35837d77,122-66-7,2B,"1,2-Diphenylhydrazine"
64f656e0145188be35837d78,122320-73-4,3,Rosiglitazone
64f656e0145188be35837d79,123-31-9,3,Hydroquinone
64f656e0145188be35837d7a,123-33-1,3,Maleic hydrazide
64f656e0145188be35837d7b,123-35-3,2B,β-Myrcene
64f656e0145188be35837d7c,123-91-1,2B,"1,4-Dioxane"
64f656e0145188be35837d7d,124-48-1,3,Chlorodibromomethane
64f656e0145188be35837d7e,124-58-3,2B,Methylarsonic acid
64f656e0145188be35837d7f,12427-38-2,3,Maneb
64f656e0145188be35837d80,125-33-7,2B,Primidone
64f656e0145188be35837d81,126-07-8,2B,Griseofulvin
64f656e0145188be35837d82,126-72-7,2A,"Tris(2,3-dibromopropyl) phosphate"
64f656e0145188be35837d83,126-85-2,2B,Nitrogen mustard N-oxide
64f656e0145188be35837d84,126-99-8,2B,Chloroprene
64f656e0145188be35837d85,12663-46-6,3,Cyclochlorotine
64f656e0145188be35837d86,127-07-1,3,Hydroxyurea
64f656e0145188be35837d87,127-18-4,2A,Tetrachloroethylene (Perchloroethylene)
64f656e0145188be35837d88,127-19-5,2B,"N,N-Dimethylacetamide"
64f656e0145188be35837d89,127-69-5,3,Sulfafurazole (Sulfisoxazole)
64f656e0145188be35837d8a,128-37-0,3,Butylated hydroxytoluene (BHT)
64f656e0145188be35837d8b,128-66-5,3,Vat Yellow 4
64f656e0145188be35837d8c,129-00-0,3,Pyrene
64f656e0145188be35837d8d,129-15-7,2B,2-Methyl-1-nitroanthraquinone (uncertain purity)
64f656e0145188be35837d8e,129-17-9,3,Blue VRS
64f656e0145188be35837d8f,129-20-4,3,Oxyphenbutazone
64f656e0145188be35837d90,129-43-1,2B,1-Hydroxyanthraquinone
64f656e0145188be35837d91,129-73-7,2B,Leucomalachite green
64f656e0145188be35837d92,13010-47-4,2A,1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU)
64f656e0145188be35837d93,13045-94-8,3,Medphalan
64f656e0145188be35837d94,1307-96-6,2B,Cobalt(II) oxide
64f656e0145188be35837d95,1308-06-1,3,"Cobalt(II,III) oxide"
64f656e0145188be35837d96,1309-37-1,3,Ferric oxide
64f656e0145188be35837d97,131-79-3,3,Yellow OB
64f656e0145188be35837d98,1313-27-5,2B,Molybdenum trioxide
64f656e0145188be35837d99,1314-62-1,2B,Vanadium pentoxide
64f656e0145188be35837d9a,1317-42-6,3,Cobalt(II) sulfide
64f656e0145188be35837d9b,1317-60-8,3,Haematite
64f656e0145188be35837d9c,1318-02-1,3,"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)"
64f656e0145188be35837d9d,132-27-4,2B,Sodium ortho-phenylphenate
64f656e0145188be35837d9e,132-65-0,3,Dibenzothiophene
64f656e0145188be35837d9f,13233-32-4,1,Radium-224 and its decay products
64f656e0145188be35837da0,13256-22-9,2B,N-Nitrososarcosine
64f656e0145188be35837da1,13292-46-1,3,Rifampicin
64f656e0145188be35837da2,133-06-2,3,Captan
64f656e0145188be35837da3,1330-20-7,3,Xylenes
64f656e0145188be35837da4,1332-21-4,1,"Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)"
64f656e0145188be35837da5,1333-86-4,2B,Carbon black
64f656e0145188be35837da6,1336-36-3,1,Polychlorinated biphenyls
64f656e0145188be35837da7,1338-16-5,3,Iron sorbitol-citric acid complex
64f656e0145188be35837da8,134-29-2,2A,ortho-Anisidine hydrochloride
64f656e0145188be35837da9,134-32-7,3,1-Naphthylamine
64f656e0145188be35837daa,13463-67-7,2B,Titanium dioxide
64f656e0145188be35837dab,13483-18-6,3,"1,2-Bis(chloromethoxy)ethane"
64f656e0145188be35837dac,135-20-6,2B,Cupferron
64f656e0145188be35837dad,135-88-6,3,N-Phenyl-2-naphthylamine
64f656e0145188be35837dae,136-40-3,2B,Phenazopyridine hydrochloride
64f656e0145188be35837daf,137-17-7,3,"2,4,5-Trimethylaniline"
64f656e0145188be35837db0,137-26-8,3,Thiram
64f656e0145188be35837db1,137-30-4,3,Ziram
64f656e0145188be35837db2,138-59-0,3,Shikimic acid
64f656e0145188be35837db3,139-05-9,3,Cyclamates (sodium cyclamate)
64f656e0145188be35837db4,139-13-9,2B,Nitrilotriacetic acid and its salts
64f656e0145188be35837db5,139-65-1,2B,"4,4'-Thiodianiline"
64f656e0145188be35837db6,139-94-6,3,Nithiazide
64f656e0145188be35837db7,13909-09-6,1,"Semustine [1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea, Methyl-CCNU]"
64f656e0145188be35837db8,13982-63-3,1,Radium-226 and its decay products
64f656e0145188be35837db9,13983-17-0,3,Wollastonite
64f656e0145188be35837dba,140-11-4,3,Benzyl acetate
64f656e0145188be35837dbb,140-56-7,3,para-Dimethylaminoazobenzenediazo sodium sulfonate
64f656e0145188be35837dbc,140-57-8,2B,Aramite®
64f656e0145188be35837dbd,140-88-5,2B,Ethyl acrylate
64f656e0145188be35837dbe,1401-55-4,3,Tannic acid and tannins
64f656e0145188be35837dbf,1402-68-2,1,Aflatoxins
64f656e0145188be35837dc0,14047-09-7,2A,"3,3′,4,4′-Tetrachloroazobenzene"
64f656e0145188be35837dc1,141-32-2,3,n-Butyl acrylate
64f656e0145188be35837dc2,141-37-7,3,"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate"
64f656e0145188be35837dc3,141-90-2,2B,Thiouracil
64f656e0145188be35837dc4,142-04-1,2A,Aniline hydrochloride
64f656e0145188be35837dc5,142-83-6,2B,"2,4-Hexadienal"
64f656e0145188be35837dc6,143-50-0,2B,Chlordecone (Kepone)
64f656e0145188be35837dc7,143-67-9,3,Vinblastine sulfate
64f656e0145188be35837dc8,144-34-3,3,Methyl selenac
64f656e0145188be35837dc9,14426-28-9,3,Malachite green
64f656e0145188be35837dca,14484-64-1,3,Ferbam
64f656e0145188be35837dcb,14596-37-3,1,"Phosphorus-32, as phosphate"
64f656e0145188be35837dcc,148-18-5,3,Sodium diethyldithiocarbamate
64f656e0145188be35837dcd,148-24-3,3,8-Hydroxyquinoline
64f656e0145188be35837dce,148-82-3,1,Melphalan
64f656e0145188be35837dcf,14808-60-7,1,"Silica dust, crystalline, in the form of quartz or cristobalite"
64f656e0145188be35837dd0,149-29-1,3,Patulin
64f656e0145188be35837dd1,149-30-4,2A,2-Mercaptobenzothiazole
64f656e0145188be35837dd2,14901-08-7,2B,Cycasin
64f656e0145188be35837dd3,150-13-0,3,para-Aminobenzoic acid
64f656e0145188be35837dd4,150-68-5,3,Monuron
64f656e0145188be35837dd5,150-69-6,3,Dulcin
64f656e0145188be35837dd6,15086-94-9,3,Eosin
64f656e0145188be35837dd7,151-56-4,2B,Aziridine
64f656e0145188be35837dd8,15262-20-1,1,Radium-228 and its decay products
64f656e0145188be35837dd9,154-93-8,2A,Bischloroethyl nitrosourea (BCNU)
64f656e0145188be35837dda,15501-74-3,3,Sepiolite
64f656e0145188be35837ddb,15503-86-3,3,Isatidine
64f656e0145188be35837ddc,156-10-5,3,para-Nitrosodiphenylamine
64f656e0145188be35837ddd,156-51-4,3,Phenelzine sulfate
64f656e0145188be35837dde,15625-89-5,2B,"Trimethylolpropane triacrylate, technical grade"
64f656e0145188be35837ddf,15663-27-1,2A,Cisplatin
64f656e0145188be35837de0,15721-02-5,3,"2,2',5,5'-Tetrachlorobenzidine"
64f656e0145188be35837de1,1582-09-8,3,Trifluralin
64f656e0145188be35837de2,16065-83-1,3,Chromium (III) compounds
64f656e0145188be35837de3,1615-80-1,2B,"1,2-Diethylhydrazine"
64f656e0145188be35837de4,1634-04-4,3,Methyl tert-butyl ether
64f656e0145188be35837de5,16543-55-8,1,"N'-Nitrosonornicotine (NNN) and 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone (NNK)"
64f656e0145188be35837de6,16568-02-8,3,Gyromitrin
64f656e0145188be35837de7,1675-54-3,3,Bisphenol A diglycidyl ether (Araldite)
64f656e0145188be35837de8,1689-82-3,3,4-Hydroxyazobenzene
64f656e0145188be35837de9,1694-09-3,2B,Benzyl violet 4B
64f656e0145188be35837dea,16984-48-8,3,"Fluorides (inorganic, used in drinking-water)"
64f656e0145188be35837deb,1705-85-7,3,6-Methylchrysene
64f656e0145188be35837dec,1706-01-0,3,3-Methylfluoranthene
64f656e0145188be35837ded,17117-34-9,2B,3-Nitrobenzanthrone
64f656e0145188be35837dee,1746-01-6,1,"2,3,7,8-Tetrachlorodibenzo-para-dioxin"
64f656e0145188be35837def,1836-75-5,2B,Nitrofen (technical-grade)
64f656e0145188be35837df0,18540-29-9,1,Chromium (VI) compounds
64f656e0145188be35837df1,18883-66-4,2B,Streptozotocin
64f656e0145188be35837df2,189-55-9,2B,"Dibenzo[a,i]pyrene"
64f656e0145188be35837df3,189-64-0,2B,"Dibenzo[a,h]pyrene"
64f656e0145188be35837df4,1897-45-6,2B,Chlorothalonil
64f656e0145188be35837df5,191-07-1,3,Coronene
64f656e0145188be35837df6,191-24-2,3,Benzo[ghi]perylene
64f656e0145188be35837df7,191-26-4,3,Anthanthrene
64f656e0145188be35837df8,191-30-0,2A,"Dibenzo[a,l]pyrene"
64f656e0145188be35837df9,1912-24-9,3,Atrazine
64f656e0145188be35837dfa,1918-02-1,3,Picloram
64f656e0145188be35837dfb,192-47-2,3,"Dibenzo[h,rst]pentaphene"
64f656e0145188be35837dfc,192-51-8,3,"Dibenzo[e,l]pyrene"
64f656e0145188be35837dfd,192-65-4,3,"Dibenzo[a,e]pyrene"
64f656e0145188be35837dfe,192-97-2,3,Benzo[e]pyrene
64f656e0145188be35837dff,193-09-9,3,"Naphtho[2,3-e]pyrene"
64f656e0145188be35837e00,193-39-5,2B,"Indeno[1,2,3-cd]pyrene"
64f656e0145188be35837e01,1936-15-8,3,CI Orange G
64f656e0145188be35837e02,194-59-2,2B,"7H-Dibenzo[c,g]carbazole"
64f656e0145188be35837e03,195-19-7,2B,Benzo[c]phenanthrene
64f656e0145188be35837e04,1954-28-5,3,Triethylene glycol diglycidyl ether
64f656e0145188be35837e05,196-78-1,3,Benzo[g]chrysene
64f656e0145188be35837e06,198-55-0,3,Perylene
64f656e0145188be35837e07,20073-24-9,3,3-Carbethoxypsoralen
64f656e0145188be35837e08,202-33-5,2B,Benz[j]aceanthrylene
64f656e0145188be35837e09,202-94-8,3,11H-Benz[bc]aceanthrylene
64f656e0145188be35837e0a,202-98-2,3,4H-Cyclopenta[def]chrysene
64f656e0145188be35837e0b,20268-51-3,3,7-Nitrobenz[a]anthracene
64f656e0145188be35837e0c,203-12-3,3,Benzo[ghi]fluoranthene
64f656e0145188be35837e0d,203-20-3,3,"Naphtho[2,1-a]fluoranthene"
64f656e0145188be35837e0e,203-33-8,3,Benzo[a]fluoranthene
64f656e0145188be35837e0f,205-12-9,3,Benzo[c]fluorene
64f656e0145188be35837e10,205-82-3,2B,Benzo[j]fluoranthene
64f656e0145188be35837e11,205-99-2,2B,Benzo[b]fluoranthene
64f656e0145188be35837e12,20589-63-3,3,3-Nitroperylene
64f656e0145188be35837e13,206-44-0,3,Fluoranthene
64f656e0145188be35837e14,2068-78-2,3,Vincristine sulfate
64f656e0145188be35837e15,207-08-9,2B,Benzo[k]fluoranthene
64f656e0145188be35837e16,207-83-0,3,"13H-Dibenzo[a,g]fluorene"
64f656e0145188be35837e17,20830-75-5,2B,Digoxin
64f656e0145188be35837e18,20830-81-3,2B,Daunomycin
64f656e0145188be35837e19,20941-65-5,3,Ethyl tellurac
64f656e0145188be35837e1a,211-91-6,3,Benz[l]aceanthrylene
64f656e0145188be35837e1b,21259-20-1,3,T2-Trichothecene
64f656e0145188be35837e1c,213-46-7,3,Picene
64f656e0145188be35837e1d,214-17-5,3,Benzo[b]chrysene
64f656e0145188be35837e1e,215-58-7,3,"Dibenz[a,c]anthracene"
64f656e0145188be35837e1f,2164-17-2,3,Fluometuron
64f656e0145188be35837e20,2168-68-5,3,Bis(1-aziridinyl)morpholinophosphine sulfide
64f656e0145188be35837e21,217-59-4,3,Triphenylene
64f656e0145188be35837e22,218-01-9,2B,Chrysene
64f656e0145188be35837e23,21884-44-6,3,Luteoskyrin
64f656e0145188be35837e24,22248-79-9,2B,Tetrachlorvinphos
64f656e0145188be35837e25,22349-59-3,3,"1,4-Dimethylphenanthrene"
64f656e0145188be35837e26,22398-80-7,2A,Indium phosphide
64f656e0145188be35837e27,224-41-9,3,"Dibenz[a,j]anthracene"
64f656e0145188be35837e28,224-42-0,2A,"Dibenz[a,j]acridine"
64f656e0145188be35837e29,224-53-3,2B,"Dibenz[c,h]acridine"
64f656e0145188be35837e2a,2243-62-1,3,"1,5-Naphthalenediamine"
64f656e0145188be35837e2b,225-11-6,3,Benz[a]acridine
64f656e0145188be35837e2c,225-51-4,3,Benz[c]acridine
64f656e0145188be35837e2d,22506-53-2,2B,"3,9-Dinitrofluoranthene"
64f656e0145188be35837e2e,22571-95-5,3,Symphytine
64f656e0145188be35837e2f,226-36-8,2B,"Dibenz[a,h]acridine"
64f656e0145188be35837e30,22839-47-0,2B,Aspartame
64f656e0145188be35837e31,22966-79-6,3,Oestradiol mustard
64f656e0145188be35837e32,22975-76-4,3,"4,4'-Dimethylangelicin plus ultraviolet A radiation"
64f656e0145188be35837e33,2303-16-4,3,Diallate
64f656e0145188be35837e34,2318-18-5,3,Senkirkine
64f656e0145188be35837e35,23214-92-8,2A,Adriamycin
64f656e0145188be35837e36,23246-96-0,2B,Riddelliine
64f656e0145188be35837e37,23255-93-8,3,Hycanthone mesylate
64f656e0145188be35837e38,2353-45-9,3,Fast Green FCF
64f656e0145188be35837e39,23537-16-8,3,Rugulosin
64f656e0145188be35837e3a,23746-34-1,3,Potassium bis(2-hydroxyethyl)dithiocarbamate
64f656e0145188be35837e3b,238-84-6,3,Benzo[a]fluorene
64f656e0145188be35837e3c,2385-85-5,2B,Mirex
64f656e0145188be35837e3d,2386-90-5,3,"Bis(2,3-epoxycyclopentyl)ether"
64f656e0145188be35837e3e,239-35-0,3,"Benzo[b]naphtho[2,1-d]thiophene"
64f656e0145188be35837e3f,2425-06-1,2A,Captafol
64f656e0145188be35837e40,2425-85-6,3,CI Pigment Red 3
64f656e0145188be35837e41,2426-08-6,2B,1-Butyl glycidyl ether
64f656e0145188be35837e42,2429-74-5,2B,CI Direct Blue 15
64f656e0145188be35837e43,243-17-4,3,Benzo[b]fluorene
64f656e0145188be35837e44,2432-99-7,3,11-Aminoundecanoic acid
64f656e0145188be35837e45,2437-29-8,3,Malachite green
64f656e0145188be35837e46,24560-98-3,3,"cis-9,10-Epoxystearic acid"
64f656e0145188be35837e47,2475-45-8,2B,Disperse Blue 1
64f656e0145188be35837e48,24938-64-5,3,para-Aramid fibrils
64f656e0145188be35837e49,25013-15-4,3,Vinyl toluene
64f656e0145188be35837e4a,25013-16-5,2B,Butylated hydroxyanisole (BHA)
64f656e0145188be35837e4b,25038-54-4,3,Nylon 6
64f656e0145188be35837e4c,25732-74-5,3,"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)"
64f656e0145188be35837e4d,25812-30-0,3,Gemfibrozil
64f656e0145188be35837e4e,25962-77-0,2B,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole"
64f656e0145188be35837e4f,26148-68-5,2B,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)"
64f656e0145188be35837e50,262-12-4,3,Dibenzo-para-dioxin
64f656e0145188be35837e51,26308-28-1,3,Ripazepam
64f656e0145188be35837e52,2646-17-5,2B,Oil Orange SS
64f656e0145188be35837e53,26471-62-5,2B,Toluene diisocyanates
64f656e0145188be35837e54,26782-43-4,3,Hydroxysenkirkine
64f656e0145188be35837e55,271-89-6,2B,Benzofuran
64f656e0145188be35837e56,27208-37-3,2A,Cyclopenta[cd]pyrene
64f656e0145188be35837e57,2757-90-6,3,Agaritine
64f656e0145188be35837e58,2783-94-0,3,Sunset Yellow FCF
64f656e0145188be35837e59,2784-94-3,2B,HC Blue No. 1
64f656e0145188be35837e5a,2832-40-8,3,Disperse Yellow 3
64f656e0145188be35837e5b,2835-39-4,3,Allyl isovalerate
64f656e0145188be35837e5c,28407-37-6,2B,CI Direct Blue 218
64f656e0145188be35837e5d,28434-86-8,2B,"3,3'-Dichloro-4,4'-diaminodiphenyl ether"
64f656e0145188be35837e5e,2871-01-4,3,HC Red No. 3
64f656e0145188be35837e5f,29069-24-7,3,Prednimustine
64f656e0145188be35837e60,29291-35-8,3,N-Nitrosofolic acid
64f656e0145188be35837e61,2955-38-6,3,Prazepam
64f656e0145188be35837e62,2973-10-6,2B,Diisopropyl sulfate
64f656e0145188be35837e63,29767-20-2,2A,Teniposide
64f656e0145188be35837e64,298-00-0,3,Methyl parathion
64f656e0145188be35837e65,298-81-7,1,Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation
64f656e0145188be35837e66,299-75-2,1,Treosulfan
64f656e0145188be35837e67,29975-16-4,3,Estazolam
64f656e0145188be35837e68,3018-12-0,3,Dichloroacetonitrile
64f656e0145188be35837e69,302-01-2,2A,Hydrazine
64f656e0145188be35837e6a,302-17-0,2A,Chloral hydrate
64f656e0145188be35837e6b,303-34-4,2B,Lasiocarpine
64f656e0145188be35837e6c,303-47-9,2B,Ochratoxin A
64f656e0145188be35837e6d,30310-80-6,3,N-Nitrosohydroxyproline
64f656e0145188be35837e6e,305-03-3,1,Chlorambucil
64f656e0145188be35837e6f,30516-87-1,2B,Zidovudine (AZT)
64f656e0145188be35837e70,3068-88-0,2B,beta-Butyrolactone
64f656e0145188be35837e71,308076-74-6,2B,"Silicon carbide, fibrous"
64f656e0145188be35837e72,309-00-2,2A,"Dieldrin, and aldrin metabolized to dieldrin"
64f656e0145188be35837e73,3118-97-6,3,Sudan II
64f656e0145188be35837e74,313-67-7,1,Aristolochic acid
64f656e0145188be35837e75,314-13-6,3,Evans blue
64f656e0145188be35837e76,315-18-4,3,Zectran
64f656e0145188be35837e77,315-22-0,2B,Monocrotaline
64f656e0145188be35837e78,3173-72-6,3,"1,5-Naphthalene diisocyanate"
64f656e0145188be35837e79,320-67-2,2A,Azacitidine
64f656e0145188be35837e7a,3252-43-5,2B,Dibromoacetonitrile
64f656e0145188be35837e7b,3296-90-0,2B,"2,2-Bis(bromomethyl)propane-1,3-diol"
64f656e0145188be35837e7c,331-39-5,2B,Caffeic acid
64f656e0145188be35837e7d,33229-34-4,3,HC Blue No. 2
64f656e0145188be35837e7e,333-41-5,2A,Diazinon
64f656e0145188be35837e7f,334-88-3,3,Diazomethane
64f656e0145188be35837e80,33419-42-0,1,Etoposide
64f656e0145188be35837e81,335-67-1,2B,Perfluorooctanoic acid (PFOA)
64f656e0145188be35837e82,3351-28-8,3,1-Methylchrysene
64f656e0145188be35837e83,3351-30-2,3,4-Methylchrysene
