"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAM2603000075"	"AMP AMERMEX SA DE CV,AMP"	334410	"Fabricación de componentes electrónicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Producción, Manufactura y Ensamble de Productos de Interconexion y de todas clases de Arti"	"EL LLANO"	497722.1676	3218864.3483	"29°5'53"""	"111°1'24"""	"Boulevard ANTONIO QUIROGA"	"22"	" "		"Hermosillo"	"SONORA"	"Hermosillo"	"83210"
"AAM9I2803211"	"ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,"	336390	"Fabricación de otras partes para vehículos automotrices"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"MANUFACTURA DE PAQUETE ENERGETICO E  INFLADOR PARA LA  INDUSTRIA  AUTOMOTRIZ"		573281.1746	2876556.8078	"26°0'21"""	"98°16'3"""	"Calle AVENIDA ALCALA S/N , CARRETERA A SAN FERNANDO KM.2"	"S/N "	" "	"Colonia PARQUE INDUSTRIAL STIVA ALCALA"	"Reynosa"	"TAMAULIPAS"	"Reynosa"	"88796"
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	336350	"Fabricación de partes de sistemas de transmisión para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		254545.9119	2311788.66	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300"	" "	"Colonia PARQUE INDUSTRIAL FIPASI"	"Silao de la Victoria"	"GUANAJUATO"	"Silao"	"36100"
"AAO1409800253"	"ASSA ABLOY OCCIDENTE, SA DE CV,"	332510	"Fabricación de herrajes y cerraduras"	"Articulos y productos metalicos"	"81"	"Produccion de cerraduras, candados y llaves"	"FABRICACION Y COMERCIALIZACION DE CERRADURAS"		666492.136	2279753.1929	"20°36'34"""	"103°24'8"""	"Periférico Anillo Periferico Sur"	"7980"	"EDIFICIO 2B "	"Colonia SANTA MARIA TEQUEPEXPAN"	"Tlaquepaque"	"JALISCO"	"Tlaquepaque"	"45601"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,RIVERO GOMEZ MORIN"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		363513.1086	2837197.5503	"25°38'46"""	"100°21'34"""	"Avenida Gomez Morin"	"402"	"12A "	"Colonia Villas de Aragon"	"San Pedro Garza García"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66273"
"AAUEE1901911"	"ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz"		362826.2733	2838279.078	"25°39'21"""	"100°21'59"""	"Calzada  DEL VALLE"	"340 OTE "	" "	"Colonia DEL VALLE"	"San Pedro Garza García"	"NUEVO LEON"	"San Pedro Garza Garcia"	"66220"
"AAU2112800014"	"AUDI MEXICO, S.A DE C.V.,AUDI AUTOMOTIVE"	336110	"Fabricación de automóviles y camionetas"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"FABRICACION DE AUTOMOVILES Y CAMIONETAS"	"SAN JOSE  CHIAPA"	631151.4602	2125346.2759	"19°13'2"""	"97°45'8"""	"Boulevard Q5"	"1"	" "		"San José Chiapa"	"PUEBLA"	"San Jose Chiapa"	"75012"
"AAY3104400003"	"ADMINISTRACION AGROPECUARIA DE YUCATAN, S.P.R. DE R.L. DE C.V.,GRANJA SANTA MARIA 1"	112211	"Explotación de porcinos en granja"	"Alimenticio y/o de consumo humano"	"1M"	"Matanza de ganado y aves"	"Cría y engorda de cerdos y borregos en granja"		189544.4284	2314352.9247	"20°54'12"""	"89°59'3"""	"Carretera KM3+100 DE LA  KINCHIL-CELESTUN"	"S/N "	" "	"Ninguno NINGUNO"	"Kinchil"	"YUCATAN"	"Kinchil"	"97360"
"AAZEE0900211"	"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ"		481717.006	2154350.8162	"19°29'1"""	"99°10'27"""	"Calle AV. DE LAS GRANJAS"	"NO.473 "	" "	"Colonia BARRIO JAGUEY"	"Azcapotzalco"	"DISTRITO FEDERAL"	"Azcapotzalco"	"02530"
"ABA1V0200411"	"ARTESANIAS BAJA S. DE R.L. DE C.V,"	332999	"Fabricación de otros productos metálicos"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Manufactura y ensamble de lámparas de ornato de base cristal y metal."		502927.6403	3598637.5362	"32°31'30"""	"116°58'7"""	"Boulevard UNIVERSIDAD"	"#12965 "	" "	"Colonia PARQUE INDUSTRIAL INTERNACIONAL TIJUANA"	"Tijuana"	"BAJA CALIFORNIA"	"Tijuana"	"22390"
"ABA1605200103"	"AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V."	325310	"Fabricación de fertilizantes"	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN DE FERTILIZANTES QUIMICOS"	"CENTRO"	799017.2929	1983869.6107	"17°55'20"""	"102°10'39"""	"Calle Sin Numero"	"SIN NUMERO "	"SIN NUMERO "		"Ciudad Lázaro Cárdenas"	"MICHOACAN"	"Lazaro Cardenas"	"60950"
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS"	325920	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"FABRICACION DE EXPLOSIVOS"		635820.9142	2845202.2087	"25°43'6"""	"103°38'46"""	"Camino DOM. CONOCIDO, DINAMITA"	"SN "	" "	"Ejido DINAMITA"	"Gómez Palacio"	"DURANGO"	"Gomez Palacio"	"35100"
"ABCHM0900411"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	622311	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		470268.7949	2140333.0675	"19°21'24"""	"99°16'59"""	"Calle CARLOS GRAEF FERANDEZ"	"154"	" "	"Colonia TLAXALA SANTA FE"	"Cuajimalpa de Morelos"	"DISTRITO FEDERAL"	"Cuajimalpa de Morelos"	"05300"
"ABCHM0901021"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	622111	"Hospitales generales del sector privado"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		478549.0421	2145130.6186	"19°24'0"""	"99°12'15"""	"Calle SUR  136"	"116"	" "	"Colonia LAS AMERICAS"	"Álvaro Obregón"	"DISTRITO FEDERAL"	"Alvaro Obregon"	"01120"
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA SA DE CV,"	331310	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"INDUSTRIA DEL ALUMINIO"		496845.0006	3588081.4224	"32°25'47"""	"117°2'0"""	"Calle MONFERRATO"	"6701"	" "	"Colonia SAN ANTONIO DE LOS BUENOS"	"Pórticos de San Antonio"	"BAJA CALIFORNIA"	"Tijuana"	"22563"
"ABE1Z0801911"	"AMERICAN BEEF, S.A. DE C.V.,"	311613	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"	"Alimenticio y/o de consumo humano"	"1P"	"Produccion de embutidos y conservas de carnes"	"Elaboración de otros alimentos"	"COMPLEJO INDUSTRIAL CHIHUAHUA"	389917.4402	3177305.1613	"28°43'6"""	"106°7'37"""	"Calle RET.PABLO NERUDA"	"107"	" "		"Chihuahua"	"CHIHUAHUA"	"Chihuahua"	"31109"
"ABI5J1100511"	"ALCOSA BIOTEC SA DE CV,"	325130	"Fabricación de pigmentos y colorantes sintéticos"	"Quimica"	"5J"	"Produccion de colorantes y pigmentos"	"PRODUCCIÓN DE PIGMENTOS Y COLORANTES "	"APASEO EL GRANDE GUANAJUATO "	319004.7963	2272758.5099	"20°32'42"""	"100°44'10"""	"Carretera Autopista 45 Querétaro-Irapuato "	"KM.36 sin numero"	" "		"Apaseo el Grande"	"GUANAJUATO"	"Apaseo el Grande"	"38180"
"ABI861900611"	"ABINSA S.A. DE C.V.,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO"	331220	"Fabricación de otros productos de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO"	"PARQUE INDUSTRIAL MONTERREY"	384165.297	2850372.0293	"25°46'0"""	"100°9'18"""	"Calle SEPTIMA AVENIDA"	"150"	" "		"Ciudad Apodaca"	"NUEVO LEON"	"Apodaca"	"66603"
"ABM7U2402811"	"AUTOMOTIVE BEND DE MEXICO, S. DE R.L. DE C.V.,BEND ALL"	331310	"Industria básica del aluminio"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"FABRICACIÓN DE OTROS PRODUCTOS METÁLICOS"		308062.7422	2433508.1608	"21°59'44"""	"100°51'33"""	"Calle LOTE 23 DE LA  CARRUSEL DOS"	"118"	" "	"Colonia ZONA INDUSTRIAL"	"La Pila"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78395"
"ABPMC1000711"	"ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles"	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCION DE ACEITE Y GRASAS VEGETALES"		652397.6267	2827132.419	"25°33'13"""	"103°28'58"""	"Boulevard BLVD. MIGUEL ALEMAN"	"SN KM 11.40"	" "	"Ciudad ZONA CENTRO"	"Gómez Palacio"	"DURANGO"	"Gomez Palacio"	"35000"
"ACABF2102111"	"AB CALSA S.A. DE C.V.,"	311992	"Elaboración de levadura"	"Alimenticio y/o de consumo humano"	"2A"	"Panaderias"	"PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN"		547151.5808	2050450.2697	"18°32'39"""	"98°33'11"""	"Carretera  CARR. FEDERAL IZUCAR -ATENCINGO "	"S/N "	" "	"Colonia ATZALA"	"Atzala"	"PUEBLA"	"Atzala"	"74590"
"ACAKE1903911"	"AUTOMOVILES Y CAMIONES, S.A. DE C.V.,"	811111	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"VENTA DE AUTOMOVILES Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ"		368207.251	2844010.8106	"25°42'29"""	"100°18'48"""	"Calle ALFONSO  REYES"	"3635"	" "	"Colonia DEL NORTE"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64500"
"ACARP2300511"	"AEROPUERTO DE CANCUN SA DE CV,AEROPUERTO DE CANCUN SA DE CV"	488112	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"ADMINISTRACIÓN DE AEROPUERTOS Y HELIPUERTOS"		513223.3439	2326600.0324	"21°2'24"""	"86°52'21"""	"Carretera  CANCUN CHETUMAL"	"KM 22 "	" "	"Colonia AEROPUERTO CANCUN (INTERNACIONAL DE CANCUN)"	"Cancún"	"QUINTANA ROO"	"Benito Juarez"	"77569"
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	311811	"Panificación industrial"	"Alimenticio y/o de consumo humano"	"2A"	"Panaderias"	"PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN"		757728.3899	2074201.9749	"18°44'36"""	"96°33'20"""	"Carretera  LA TINAJA-CORDOBA"	"KM 49 "	" "	"Rancho El limón"	"Cuitláhuac"	"VERACRUZ"	"Cuitlahuac"	"94910"
"ACA2300500033"	"MAYA MOTRIZ, S.A DE C.V,NISSAN CANCUN"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio de automoviles y camionetas nuevas, mantenimiento , refaccciones "		516628.5616	2334117.9359	"21°6'29"""	"86°50'23"""	"Boulevard LUIS DONALDO COLOSIO, LOTE 1 MZA 5 SUPERMANZANA 310"	"SMZA 310 MZA 5 LOTE 1 "	" "	"Supermanzana SUPERMANZANA 310"	"Cancún"	"QUINTANA ROO"	"Benito Juarez"	"77500"
"ACA3105000082"	"MAYA MOTRIZ, S.A DE C.V,NISSAN CIRCUITO"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio de Automóviles y Camionetas nuevas, Mantenimiento, Refacciones , Accesorios"		226896.3504	2324151.776	"20°59'52"""	"89°37'37"""	"Avenida CIRCUITO COLONIAS "	"S/N "	" "	"Fraccionamiento PEDREGALES DE TANLUM"	"Mérida"	"YUCATAN"	"Merida"	"97210"
"ACA3105900068"	"AGROPORCINA LA CANDELARIA, S.P.R. DE R.L. DE C.V.,LA CANDELARIA"	112211	"Explotación de porcinos en granja"	"Alimenticio y/o de consumo humano"	"1M"	"Matanza de ganado y aves"	"EXPLOTACION DE PORCINOS EN GRANJA"		225281.0128	2343735.7783	"21°10'27"""	"89°38'44"""	"Carretera 300 M AL ESTE"	"KM 23 "	"S/N "	"Pueblo SAN IGNACIO"	"Progreso"	"YUCATAN"	"Progreso"	"97334"
"ACCUB1802011"	"ASOCIACIÓN DE CONDÓMINOS DEL CONDOMINIO MAESTRO LOS FLAMINGOS, A.C.,CONDOMINIO MAESTRO LOS FLAMINGOS"	541990	"Otros servicios profesionales, científicos y técnicos"	"Otros"	"S7"	"Plantas de tratamiento de aguas residuales"	"ADMINISTRACIÓN DE RÉGIMEN DE PROPIEDAD EN CONDOMINIO"		466905.2366	2293223.288	"20°44'18"""	"105°19'4"""	"Calle BLVD. COSTERO"	"900 SUR "	" "	"Colonia CONDOMINIO MAESTRO LOS FLAMINGOS"	"Bucerías"	"NAYARIT"	"Bahia de Banderas"	"63732"
"ACE6S2901711"	"ALPHA CERAMICA S.A.P.I DE C.V.,ALPHA CERAMICA, S.A.P.I. DE C.V."	327112	"Fabricación de muebles de baño"	"Cemento y Cal"	"6S"	"Produccion de muebles ceramicos"	"FABRICACION DE MUEBLES PARA BAÑO"		585854.6461	2121310.4465	"19°10'59"""	"98°11'0"""	"Calle KM.14.8 CARRETERA VIA CORTA PUEBLA SANTA"	"S/N "	" "	"Colonia CORREDOR INDUSTRIAL MALINTZI"	"Mazatecochco"	"TLAXCALA"	"Mazatecochco de Jose Maria Morelos"	"90870"
"ACE7F1104411"	"ARCELORMITTAL CELAYA SA DE CV,ARCELORMITTAL CELAYA ACEROS LARGOS"	212210	"Minería de hierro"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"		300061.2499	2270058.2836	"20°31'7"""	"100°55'2"""	"Calle CARRET.PANAMERICANA KM.7.5"	"S/N "	" "	"Colonia RANCHO EL CHINACO"	"Villagrán"	"GUANAJUATO"	"Villagran"	"38260"
"ACE7T2201611"	"ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V."	331510	"Moldeo por fundición de piezas de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO"	"Valle de Oro"	397704.4675	2258374.7802	"20°25'15"""	"99°58'49"""	"Calle CAMINO A SAN PEDRO AHUACATLAN"	"3"	" "		"San Juan del Río"	"QUERETARO"	"San Juan del Rio"	"76803"
"ACE8V2500111"	"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V., PLANTA VII"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricación de arneses automotrices"	"Raúl Romanillo"	701835.0965	2852299.5783	"25°46'29"""	"108°59'14"""	"Boulevard Macario Gaxiola"	"1001 Sur"	" "		"Los Mochis"	"SINALOA"	"Ahome"	"81285"
"ACIRP0801911"	"AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA"	488112	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"Administración de Aeropuertos y Helipuertos "		405924.9234	3175401.9614	"28°42'8"""	"105°57'47"""	"Boulevard JUAN PABLO II KM. 14"	"S/N "	" "	"Colonia AEROPUERTO"	"Chihuahua"	"CHIHUAHUA"	"Chihuahua"	"31390"
"ACM3L1100711"	"AVON COSMETICS MANUFACTURING  S DE RL DE CV,AVON COSMETICS MANUFACTURING S DE RL DE CV"	325620	"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"	"Quimica"	"N6"	"Produccion de perfumes, cosmeticos y similares a base de mezclas"	"PRODUCCION Y DISTRIBUCION DE PRODUCTOS COSMETICOS"		312139.2368	2266585.2465	"20°29'18"""	"100°48'4"""	"Calle GERRERO"	"149"	" "	"Colonia RANCHO SECO"	"Celaya"	"GUANAJUATO"	"Celaya"	"38090"
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V.,GERDAU CORSA"	331510	"Moldeo por fundición de piezas de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"Fundición y Laminación de Hierro y Acero"		486970.3885	2158357.6837	"19°31'11"""	"99°7'27"""	"Avenida LA PRESA"	"2"	" "	"Colonia FRACCIONAMIENTO INDUSTRIAL LA PRESA"	"Tlalnepantla"	"MEXICO"	"Tlalnepantla de Baz"	"54187"
"ACR7X0803711"	"ALFA CRONOS, S.A. DE C.V.,"	325999	"Fabricación de otros productos químicos"	"Quimica"	"8A"	"Galvanoplastia"	"RECUBRIMIENTOS METALICOS GALVANOPLASTIA Y OTROS"	"OMEGA"	365684.4601	3513358.8345	"31°44'52"""	"106°25'5"""	"Prolongación HERMANOS ESCOBAR"	"7046"	"8 9 Y 10 "		"Juárez"	"CHIHUAHUA"	"Juarez"	"32649"
"ACT7X0200311"	"ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"ACABADOS DE SUPERFICIES METÁLICAS"		535245.451	3601273.961	"32°32'53"""	"116°37'28"""	"Calle KM. 3  CARR. TECATE-ENSENADA"	"S/N "	" "	"Colonia MACLOVIO HERRERA"	"Tecate"	"BAJA CALIFORNIA"	"Tecate"	"21482"
"ACUKE1903911"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS CUMBRES"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		360388.4875	2846268.5564	"25°43'39"""	"100°23'30"""	"Avenida Paseo de los Triunfadores"	"3231"	" "	"Colonia Las Cumbres 8vo Sector"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64610"
"ACUKE1904811"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS SANTA CATARINA"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Venta de vehículos y refacciones, servicio de mantto. automotriz, hojalatería y pintura"		356673.6309	2840431.2097	"25°40'28"""	"100°25'41"""	"Boulevard GUSTAVO DIAZ ORDAZ"	"150"	" "	"Colonia LA FAMA"	"Ciudad Santa Catarina"	"NUEVO LEON"	"Santa Catarina"	"66100"
"ACU1903900043"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,AUTOPOLIS NISSAN GONZALITOS"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Comercio al por menor de automóviles y camionetas nuevos / servicio de mantto. automotriz"		364394.9349	2841476.0533	"25°41'5"""	"100°21'4"""	"Avenida JOSE ELEUTERIO GONZALEZ"	"655 NTE. "	" "	"Colonia GONZALITOS"	"Monterrey"	"NUEVO LEON"	"Monterrey"	"64020"
"ADH5G2901511"	"ADHESIVOS, S.A. DE C.V.,"	325999	"Fabricación de otros productos químicos"	"Quimica"	"5Q"	"Produccion de resinas sinteticas"	"La producción, venta y almacenamiento de Resinas, Formol, Hexamina y Paraformol"		563723.6322	2135318.6898	"19°18'38"""	"98°23'36"""	"Calle CARRETERA  FEDERAL SAN MARTIN TEXMELUCAN - TLAXCALA"	"KM 6.5 "	" "	"Colonia CORREDOR INDUSTRIAL IXTACUIXTLA"	"Villa Mariano Matamoros"	"TLAXCALA"	"Ixtacuixtla de Mariano Matamoros"	"90128"
