"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"YAKML1503911"	"YAKULT S.A. DE C.V."	"Alimenticio y/o de consumo humano"	"311513"	"Elaboración de derivados y fermentos lácteos."	"ML"	"ELABORACION DE PRODUCTO LACTEO FERMENTADO Y FRASCO DE POLIESTIRENO"		"19°18'59"""	"98°53'59"""	"KM. 30 DE LA CARRETERA FED MEXICO PUEBLA"	"0"		"CARRETERA IXTAPALUCA CHALCO"	"CALLE SIN NOMBRE"	"SANTA BARBARA"		"Ixtapaluca"	"MEXICO"	"56530"
"YIN752604211"	"YESO INDUSTRIAL DE NAVOJOA S.A. DE C.V."	"Cemento y Cal"	"327420"	"Fabricación de yeso y productos de yeso."	"75"	"PRODUCCIÓN DE YESO Y SUS PRODUCTOS (SÓLO INCLUYE ESTOS ÚLTIMOS CUANDO SE ELABORA EL YESO)."	"PARQUE INDUSTRIAL DE NAVOJOA"	"27°0'20"""	"109°25'46"""	"CARRETERA MEXICO NOGALES"	"KM.1778"		"NA"	"NA"	"PARQUE INDUSTRIAL"	"NAVOJOA"	"Navojoa"	"SONORA"	"85800"
"YME9K0101111"	"YOROZU MEXICANA S.A. DE C.V."	"Automotriz"	"336330"	"Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices."	"9K"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE SUSPENSIÓN Y DIRECCIÓN (SI INCLUYE PROCESOS TÉRMIC"	"NA"	"22°2'54"""	"102°16'31"""	"KM. 18.8 CARR. AGUASCALIETNES  ZACATECAS"	"NA"					"SAN FRANCISCO DELOS ROMO"	"San Francisco de los Romo"	"AGUASCALIENTES"	"20300"
"YSF461101711"	"YKK SNAP FASTENERS MANUFACTURA MEXICO S.A. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"PRODUCCION DE ARTICULOS DE METAL PARA PRENDAS DE VESTIR Y CALZADO"	"PARQUE INDUSTRIAL LAS MALVAS"	"20°40'30"""	"101°17'43"""	"CAMINO A SAN JOSE DE MARAÑON"	"380"	"B"			"EJIDO LAS MALVAS"	"LAS MALVAS"	"Irapuato"	"GUANAJUATO"	"36826"
"ZAFTQ2117411"	"ZAFRE, S.A. DE C.V."	"Otros"	"812210"	"Lavanderías y tintorerías."	"TQ"	"PROCESO DE LAVANDERÍA, PLANCHADO Y TEÑIDO DE TODA CLASE DE PRENDAS"		"19°51'33"""	"97°21'36"""	"AV. JOSEFA RAMIRO GAVILAN"	"SN"		"ND"	"ND"	"B. SAN DIEGO"	"TEZIUTLAN"	"Teziutlan"	"PUEBLA"	"73801"
"WLD520803711"	"WERNER LADDER DE MEXICO S DE RL DE CV"	"Articulos y productos compuestos de diferentes materiales"	"339999"	"Otras industrias manufactureras."	"52"	"ELABORACION DE ESCALERAS DE ALUMINIO Y FIBRA DE VIDRIO"	"PARQUE INDUSTRIAL NORTH GATE"	"31°38'42"""	"106°27'18"""	"AV.TAGUCHI"	"251"	"251"	"EJE VIAL JUAN GABRIEL"	"BARRANCO AZUL"		"CD JUAREZ"	"Juarez"	"CHIHUAHUA"	"32674"
"WLM812604311"	"Weiser Lock Mexico S. de R. L. de C. V."	"Articulos y productos metalicos"	"332510"	"Fabricación de herrajes y cerraduras."	"81"	"Frabricacion de chapas, candados y similares"		"31°15'59"""	"110°57'59"""	"Calzada Industrial Nuevo Nogales"	"55"		"Avenida de la Tegnologia"	"Proceso Productivo"	"Parque Industrial Nuevo Nogales"	"Nogales Sonora Mexico"	"Nogales"	"SONORA"	"84094"
"WMA9M0502711"	"WF AMNUFACTURING S DE R.L. DE C.V"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL SANTA MARIA"	"25°34'59"""	"100°53'53"""	"ALPHA"	"1655"		"CARRETERA MONTERREY SALTILLO"	"SANTA MARIA"	"PARQUE INDUSTRIAL SANTA MARIA"	"RAMOS ARIZPE"	"Ramos Arizpe"	"COAHUILA"	"25900"
"WME460503511"	"WRANGLER DE MEXICO S.A. DE C.V. PLANTA COMPLEJO TORREON"	"Textiles, fibras e hilos"	"315229"	"Confección en serie de otra ropa exterior de materiales textiles."	"46"	"MANUFACTURA DE PRENDAS DE VESTIR"	"PARQUE INDUSTRIAL LAJAT"	"25°31'21"""	"103°21'58"""	"CARRETERA MIELERAS KM. 1.5"	"NA"		"NA"	"NA"	"NA"	"TORREON"	"Torreon"	"COAHUILA"	"27277"
"WME563018211"	"INTERNATIONAL PAPER EMP IND MEXICO SRL CV"	"Celulosa y papel"	"322220"	"Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados."	"N2"	"FABRICACION Y VENTA DE PAPEL SEMIKRAFT"	"CARRETERA ANTIGUA XALAPA-COATEPEC"	"19°36'0"""	"96°59'0"""	"Km. 3.8"	"Km. 3.8"		"CARRETERA ANTIGUA XALAPA"	"COATEPEC"	"PREDIO LA YERBABUENA"	"SAN ANDRES TLALNELHUAYOCAN"	"Tlalnelhuayocan"	"VERACRUZ"	"91000"
"WME910803721"	"WISTRON MEXICO, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334110"	"Fabricación de computadoras y equipo periférico."	"8S"	"ENSAMBLE DE PRODUCTOS ELECTRICOS Y ELECTRONICOS"		"31°39'6"""	"106°20'55"""	"BAUDELIO PEREZ MUCHARRAS"	"420 OTE"		"PROLONGACION AV. CUAUHTEMOC"	"IGNACIO ZARAGOZA"	"ZARAGOZA DISTRITO BRAVOS"	"JUAREZ"	"Juarez"	"CHIHUAHUA"	"32700"
"WMEB22803211"	"Weatherford de Mexico S. de R.L. de C.V."	"Otros"	"532411"	"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales."	"B2"	"Renta Venta y Servicios de Herramientas Para la Industria Petrolera"		"26°0'31"""	"98°17'37"""	"Carretera San Fernando km. 108"	"SN"				"Beatriz Anaya"	"Reynosa"	"Reynosa"	"TAMAULIPAS"	"88796"
"WMEMG2803211"	"Weatherford de México S. de R.L. de C.V."	"Otros"	"213111"	"Perforación de pozos petroleros y de gas."	"R9"	"Servicios a la Industria Petrolera"	"Parque Industrial Reynosa"	"26°0'55"""	"98°13'28"""	"Brecha E-99"	"SN"		"ND"	"ND"	"Parque Industrial Reynosa Sección Norte"	"Reynosa"	"Reynosa"	"TAMAULIPAS"	"88788"
"WMO9M2500111"	"Walbro Los Mochis S de RL de CV"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"Manuf.de comp.para motor de 2 y 4 tiempos, accesorios y modulos elec de ignicion."	"Zona Industrial"	"25°48'35"""	"108°57'43"""	"Blvd Macario Gaxiola"	"2924"		"na"	"na"	"Zona Industrial"	"Los Mochis"	"Ahome"	"SINALOA"	"81255"
"WMP5Q2201111"	"WYN DE MEXICO PRODUCTOS QUIMICOS"	"Quimica"	"325211"	"Fabricación de resinas sintéticas."	"5Q"	"FABRICACION Y VENTAS DE RESINAS SINTETICAS"	"Parque Indusrial Bernardo Quintana"	"20°34'10"""	"100°24'30"""	"Av. del Marques"	"13"		"Av. del Marques"	"Esquina Carreterra Los Cues"	"Parque Industrial Bernardo Quintana"	"El Marques"	"El Marques"	"QUERETARO"	"76246"
"WNEHI1506011"	"INTERNATIONAL PAPER EMPAQUES INDUSTRIALES DE MEXICO, S. DE R.L. DE C.V."	"Celulosa y papel"	"322210"	"Fabricación de envases de cartón."	"58"	"FABRICACION DE ENVASES DE CARTON"		"19°36'20"""	"99°17'33"""	"PRINCIPAL"	"SN"		"DE LAS HUERTAS"	"PROGRESO"	"LA COLMENA"	"NICOLAS ROMERO"	"Nicolas Romero"	"MEXICO"	"54475"
"WSERE1509011"	"WASTE SERVICES, S.A. DE C.V."	"Tratamiento de residuos peligrosos"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"LT"	"RECOLECCION TRANSPORTE Y TRATAMIENTO DE RESIDUOS PELIGROSOS BIOLOGICO INFECCIOSOS E INDUST"	"PARQUE INDUSTRIAL TENANGO"	"19°9'59"""	"99°31'59"""	"VENADO"	"111"		"LLAMA"	"LINCE"	"PARQUE INDUSTRIAL TENANGO"	"TENANGO"	"Tenango del Valle"	"MEXICO"	"52300"
"VTB6Z3017411"	"Vidriera de Tierra Blanca, S.A. de C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"PRODUCCIÓN DE BOTELLAS, ENVASES Y SIMILARES DE VIDRIO (SÓLO CUANDO SE ELABORA EL VIDRIO; N"		"18°27'36"""	"96°19'51"""	"Boulevard Antonino Fernández Rodríguez"	"101"		"No aplica"	"No aplica"	"La Victoria"	"Tierra Blanca"	"Tierra Blanca"	"VERACRUZ"	"95180"
"VTO6Z1510611"	"VIDRIERA TOLUCA S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"PRODUCCIÓN DE BOTELLAS, ENVASES Y SIMILARES DE VIDRIO (SÓLO CUANDO SE ELABORA EL VIDRIO; N"	"PARQUE INDUSTRIAL EL COECILLO"	"19°17'14"""	"99°34'25"""	"CARRETERA MEXICO TOLUCA KM 57.5"	"SN"	"SN"	"PASEO TOLLOCAN"	"AVENIDA TECNOLOGICO"	"EL COECILLO"		"Toluca"	"MEXICO"	"50200"
"VURLJ1403911"	"VALVULAS URREA, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"LJ"	"FUNDICION DE CHATARRA DE BRONCE Y FABRICACION DE VALVULAS"		"20°39'3"""	"103°20'32"""	"DR. R. MICHEL"	"825"		"GABINO BARREDA"	"JAZMIN"	"ZONA INDUSTRIAL"		"Guadalajara"	"JALISCO"	"44940"
"VVC6W1901811"	"Vitro Vidrio y Cristal S.A. De C.V."	"vidrio"	"327211"	"Fabricación de vidrio."	"6W"	"PRODUCCIÓN DE VIDRIO PLANO, LISO Y LABRADO (INCLUYE SUS PRODUCTOS SÓLO CUANDO SE ELABORA E"	"CARRETERA A GARCIA KM 10"	"24°46'0"""	"100°34'0"""	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"GARCIA"	"Garcia"	"NUEVO LEON"	"66000"
"WCI3K0802111"	"WRANGLER DE CHIHUAHUA SA DE CV"	"Textiles, fibras e hilos"	"313310"	"Acabado de productos textiles."	"3K"	"CORTE Y LAVADO DE PANTALONES DE MEZCLILLA"	"PARQUE INDUSTRIAL FAMA"	"28°10'43"""	"105°26'54"""	"INTERIOR"	"UNO"		"NA"	"NA"	"NA"	"DELICIAS"	"Delicias"	"CHIHUAHUA"	"33000"
"WGHMB1510111"	"W.R. Grace Holdings S.A. de C.V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"Fabricación de compuestos para la construcción"	"Parque Industrial Santiago Tianguistenco"	"19°10'8"""	"99°28'1"""	"Isidro Fabela SN"	"SN"		"Isidro Fabela"	"Benito Juárez"	"NA"	"Santiago Tianguistenco"	"Tianguistenco"	"MEXICO"	"52600"
"WHPAN1000711"	"WOODCRAFTERS HOME PRODUCTS S. DE R.L. DE C.V."	"Madera y Productos"	"321999"	"Fabricación de otros productos de madera."	"4T"	"FABRICACION DE MUEBLES DE MADERA"	"PARQUE INDUSTRIAL LAGUNERO"	"25°33'47"""	"103°28'12"""	"BLVD. GONZALEZ DE LA VEGA"	"353"		"MAPIMI"	"POANAS"	"PARQ. IND. LAGUNERO"	"GOMEZ PALACIO"	"Gomez Palacio"	"DURANGO"	"35078"
"WIN9C1900611"	"WHIRLPOOL INTERNACIONAL S. DE R.L. DE CV PLANTA HORIZON"	"Equipos y articulos electronicos, electricos y domesticos"	"335220"	"Fabricación de aparatos de línea blanca."	"9C"	"FABRICACIÓN DE LAVADORAS"	"Parque Industrial Acros Whirlpool"	"25°45'11"""	"100°12'18"""	"Empresas"	"Km"	"16.13"	"Danfoss"	"Metalsa"	"El Milagro"	"Apodaca"	"Apodaca"	"NUEVO LEON"	"66634"
"WJU7Q0803711"	"WINSTON JUAREZ, S. DE R.L. DE C.V."	"Articulos y productos metalicos"	"332999"	"Fabricación de otros productos metálicos."	"7X"	"FABRICACION DE MUEBLES DE ALUMINIO"	"FUERA DE PARQUES"	"31°42'53"""	"106°27'52"""	"MANUEL GUTIERREZ NAJERA Y EJE VIAL J. G."	"9315"		"MANUEL GUTIERREZ NAJERA"	"EJE VIAL JUAN GABRIEL"	"SAN ANTONIO"		"Juarez"	"CHIHUAHUA"	"32250"
"VPP5U1505111"	"VITRACOAT PINTURAS EN POLVO, S.A. DE C.V."	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	"PARQUE INDUSTRIAL LERMA"	"19°28'10"""	"99°19'15"""	"AV. CIRCUITO DE LA INDUSTRIA SUR"	"284"		"AV. SANTA ROSA"	"AV. CIRCUITO DE LA INDUSTRIA"	"PARQUE INDUSTRIAL LERMA"	"LERMA"	"Lerma"	"MEXICO"	"52000"
"VQU6Z2201411"	"VIDRIERA QUERETARO S.A DE C.V"	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"FABRICACION DE ENVASES DE VIDRIO"	"PARQUE INDUSTRIAL BENITO JUAREZ"	"20°36'57"""	"100°25'31"""	"COAHUILA"	"5"		"5 DE FEBRERO"	"ESPUELA DEL FERROCARRIL"	"OBRERA"	"SANTIAGO DE QUERETARO"	"Queretaro"	"QUERETARO"	"76130"
"VRALJ1306911"	"VAN RANKIN S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"LJ"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES"	"PARQUE INDUSTRIAL TIZAYUCA"	"19°49'12"""	"98°58'16"""	"MOLDEADORES"	"MZA. 8"	"LOTE 4"	"ORIENTE 5"	"MOLDEADORES"	"PARQUE INDUSTRIAL"	"TIZAYUCA"	"Pachuca de Soto"	"HIDALGO"	"43800"
"VRE300100111"	"VALLE REDONDO, S.A. DE C.V."	"Bebidas y tabaco"	"312149"	"Elaboración de otras bebidas destiladas."	"30"	"PRODUCCION DE SIDRA Y OTRAS BEBIDAS ALCOHOLICAS FERMENTADAS"		"21°52'43"""	"102°21'17"""	"CARRETERA A CALVILLO KM. 6.5"	"NA"		"BLVD JUAN PABLO II"	"NA"	"VIÑEDOS VALLE REDONDO"	"AGUASCALIENTES"	"Aguascalientes"	"AGUASCALIENTES"	"20315"
"VRE6Z1510411"	"VIDRIERA LOS REYES S.A. DE C.V."	"vidrio"	"327213"	"Fabricación de envases y ampolletas de vidrio."	"6Z"	"FABRICACIÓN DE ENVASES DE VIDRIO"	"TLALNEPANTLA"	"19°32'10"""	"99°11'39"""	"AV. PRESIDENTE JUAREZ"	"2039"		"AV. DEL TRABAJO"	"VIAS DE FFCC"	"LOS REYES IZTACALA"	"TLALNEPANTLA"	"Tlalnepantla de Baz"	"MEXICO"	"54090"
"VRE9M2803211"	"VELVAC DE REYNOSA S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACION ENSAMBLE VENTA Y DISTRIBUCION DE PARTES AUTOMOTRICES"	"PARQUE INDUSTRIAL REYNOSA"	"26°0'37"""	"98°12'52"""	"AVENIDA 16 DE SEPTIEMBRE"	"SN"		"PRIMERO DE MAYO"	"BRECHA E 99"	"PARQUE IND. REYNOSA"	"REYNOSA"	"Reynosa"	"TAMAULIPAS"	"88780"
"VSE9M2402812"	"VALEO SISTEMAS ELECTRICOS S.A DE C.V DIVISION TERMICO"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"DISEÑO Y FABRICACION DE INTERCAMBIADORES DE CALOR PARA LA INDUSTRIA AUTOMOTRIZ"	"ZONA INDUSTRIAL DEL POTOSI"	"22°4'23"""	"100°53'11"""	"EJE 130 ESQ. AV. CFE"	"SN"				"ZONA INDUSTRIAL DEL POTOSI"	"SAN LUIS POTOSI"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78090"
"VSE9M2803311"	"Valeo Sistemas Electronicos S de R.L de C.V"	"Equipos y articulos electronicos, electricos y domesticos"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"91"	"Manufactura y ensamble de Switches, Sistemas de Deteccion y modulos para automovil"		"25°58'28"""	"98°3'32"""	"Carretera Matamoros Mazatlan Km.99"	"sn"	"sn"	"Carretera matamoros"	"Brecha 115"	"Celanese"	"Rio Bravo"	"Rio Bravo"	"TAMAULIPAS"	"88920"
"VSEQF2402821"	"Valeo Sistemas Eléctricos, S.A.. de C.V."	"Automotriz"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores."	"9J"	"FABRICACIÓN DE PARTES PARA EL SISTEMA DE TRANSMICIÓN DE AUTOMOVILES Y CAMIONES"	"Parque Industrial Logistico"	"22°2'25"""	"100°53'45"""	"Avenida Central"	"505"		"Av Real"	"Av Central"	"Parque Industrial Logistic"	"San Luis Potosí"	"San Luis Potosi"	"SAN LUIS POTOSI"	"78395"
"VSI9M2201411"	"Valeo Sylvania Iluminacion S de R.L de C.V"	"Equipos y articulos electronicos, electricos y domesticos"	"335110"	"Fabricación de focos."	"92"	"Produccion de sistemas de iluminacion para automoviles"	"Parque Industrial Benito Juarez"	"20°49'10"""	"100°26'49"""	"Av. de la Montaña 102"	"102"		"Av. Benito Juarez"	"Av. San Pedrito"		"Santa Rosa Jauregui"	"Queretaro"	"QUERETARO"	"76220"
"VMEN31610711"	"VISCOFAN DE MEXICO S. DE R. L. DE C.V."	"Celulosa y papel"	"322299"	"Fabricación de otros productos de cartón y papel."	"N3"	"PRODUCCIÓN DE OTROS ARTÍCULOS CELULÓSICOS (CUANDO SE FABRICA LA CELULOSA O EL PAPEL)."	"ZONA INDUSTRIAL"	"19°49'38"""	"101°46'29"""	"KM. 3.5. CARRETERA ZACAPU PANINDICUARO"	"SIN NUMERO"		"COLORINES"	"CARRETERA ZACAPU PANINDICUARO"	"CELANESE"	"ZACAPU"	"Zacapu"	"MICHOACAN"	"58616"
"VMEQB3003911"	"VOPAK MEXICO, S.A. DE C.V."	"Otros"	"493190"	"Otros servicios de almacenamiento con instalaciones especializadas."	"QB"	"ALMACENAMIENTO DE PRODUCTOS LIQUIDOS A GRANEL"	"Administración Portuaria Integral de Coatzacoalcos"	"18°7'54"""	"94°25'8"""	"Interior del Recinto Fiscal Autorizado"	"SN"		"Olmeca"	"Tlaloc"	"Centro"	"Coatzacoalcos"	"Coatzacoalcos"	"VERACRUZ"	"96400"
"VMEQB3019311"	"VOPAK MEXICO S.A. DE C.V."	"Otros"	"493190"	"Otros servicios de almacenamiento con instalaciones especializadas."	"QB"	"ALMACENAMIENTO DE LIQUIDOS A GRANEL"	"Recinto Fiscalizado del Puerto de Veracruz"	"19°12'54"""	"96°8'20"""	"Escollera Norte SN Frac. Ind. SJ de Ulua"	"SN"				"Centro"	"Veracruz"	"Veracruz"	"VERACRUZ"	"91700"
