"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA 
UTM X"	"COORDENADA 
UTM Y"	"LATITUD 
NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"ACARP2300511"	"AEROPUERTO DE CANCÚN, S. A DE C. V"	488112	"Administración de aeropuertos y helipuertos."	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"ADMINISTRACIÓN DE AEROPUERTOS"	"AEROPUERTO"			"21°2'12"""	"86°52'37"""	"CARRETERA CANCÚN - CHETUMAL KM.22"	"NA"			"CANCÚN"	"QUINTANA ROO"	"Benito Juarez"	"77565"
"ACCQA1409711"	"ALEN DEL NORTE S. A.  DE C. V."	325610	"Fabricación de jabones, limpiadores y dentífricos."	"Quimica"	"QV"	"Fabricacion de productos quimicos para aseo en general"	"FABRICACIÓN DE PRODUCTOS DE LIMPIEZA"	"CORREDOR INDUSTRIAL"			"20°29'15"""	"103°16'5"""	"CARRETERA GUADALAJARA EL SALTO KM 24.5"	"SN"		"LA ALAMEDA"	"TLAJOMULCO DE ZUCIGA"	"JALISCO"	"Tlajomulco de Zuniga"	"44680"
"ACE6E2603011"	"Alambrados y Circuitos Eléctricos S.A. de C.V."	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Articulos y productos plasticos"	"6E"	"Fabricacion de productos y articulos de plastico"	"Inyección de Plástico para moldeo"	"Parque Industrial Dynatech Sur"			"28°59'27"""	"110°54'16"""	"Boulevard Fusión esq. Ave. Mercury"	"120"		"Parque Industrial"	"Hermosillo"	"SONORA"	"Hermosillo"	"83297"
"ACE7F1104411"	"ArcelorMittal celaya S.A. de C.V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"				"20°30'57"""	"100°54'45"""	"carretera panamericana tramo Celaya-sala"	"km. 7.5"		"rancho el chinaco"	"Villagran"	"GUANAJUATO"	"Villagran"	"38110"
"ACE7T2201611"	"Acerlan S.A. de C.V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	"Zona Industrial Valle de Oro"			20.42301	-99.98039	"CAMINO A SAN PEDRO AHUACATLAN"	"3"		"VALLE DE ORO"		"QUERETARO"	"San Juan del Rio"	"76802"
"ACE8V0803211"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboracion de Arneses Automotrices"		0	0	"26°55'4"""	"105°41'43"""	"ANILLO PERIMETRAL SUR"	"S/N"		"PREDIO SANTO TOMAS"	"Hidalgo del Parral"	"CHIHUAHUA"	"Hidalgo del Parral"	"33800"
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboración de Arneses para Automoviles"	"Zona Industrial"	0	0	"28°16'31"""	"105°29'04"""	"Carretera Panamericana Km. 1588"	"2700"		"NA"	"Meoqui"	"CHIHUAHUA"	"Meoqui"	"33130"
"ACI3L1509511"	"AMB ACCION CARRIZAL INDUSTRIAL PARK S DE R.L DE C.V"	493190	"Otros servicios de almacenamiento con instalaciones especializadas."	"Otros"	"3L"	"Infraestructura hidraulica "	"BODEGA DE ALMACEDNAMIENTO DE PRODUCTOS PERECEDEROS Y NO PERECEDEROS"				"19°42'46"""	"99°11'56"""	"CIRCUNVALACIÓN"	"20"		"BARRIO TEXCACOA"		"MEXICO"	"Tepotzotlan"	"54605"
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	331111	"Complejos siderúrgicos."	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"	"FRACCIONAMIENTO INDUSTRIAL LA PRESA"			19.52053	-99.12399	"AV. DE LA PRESA"	"2"		"FRACC. INDUSTRIAL LA PRESA"		"MEXICO"	"Tlalnepantla de Baz"	"54187"
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	332910	"Fabricación de válvulas metálicas."	"Articulos y productos metalicos"	"87"	"Produccion de valvulas metalicas"	"FABRICACION DE VALVULAS DE REFRIGERACION"	"PARQUE INDUSTRIAL DEL NORTE"	0	0	26.04288	-98.36888	"AVENIDA INDUSTRIAL FALCON"	"M4"	"1 a 3"	"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"TAMAULIPAS"	"Reynosa"	"88730"
"ACOM92007911"	"COMPAÑIA ABASTECEDORA DE COMBUSTIBLE, S.A. DE C.V. PLANTA SALINA CRUZ"	434230	"Comercio al por mayor de combustibles de uso industrial."	"Petroleo y petroquimica"	"M9"	"Almacenamiento y distribucion de productos derivados del petroleo"	"COMPRA VENTA ALMACENAMIENTO Y DISTRIBUCIÓN DE COMBUSTIBLES"	"API-Salina Cruz"	26500	177872	"16°10'6"""	"95°11'30"""	"Calle Norte Zona Industrial Pesquera"	"sin numero"		"Cantarranas"	"Salina Cruz"	"OAXACA"	"Salina Cruz"	"70690"
"ACT7X0200311"	"ACABADOS DE CALIDAD TECATE S.A. DE C.V."	332999	"Fabricación de otros productos metálicos."	"Articulos y productos metalicos"	"7X"	"Fabricacion de articulos y productos metalicos"	"ACABADOS METALICOS PARTA CERRADURAS, ACCESORIOS DE BACOS/REGADERAS"	"NO ESPECIFICO"			"32°24'02"""	"116°37'45"""	"Km 3 CARRETERA TECATE ENSENADA"	"NA"		"Maclovio Herrera"	"TECATE"	"BAJA CALIFORNIA"	"Tecate"	"21490"
"ACV5H1605311"	"ALKEMIN S. DE R.L. DE C.V."	325190	"Fabricación de otros productos químicos básicos orgánicos."	"Quimica"	"5H"	"Produccion de acidos organicos"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."				"19°41'44"""	"101°12'44"""	"MARTIN MONGE"	"307"		"NUEVA VALLADOLID"	"MORELIA"	"MICHOACAN"	"Morelia"	"58190"
"ADE5P1901611"	"AGROFORMULADORA DELTA S.A. DE C.V."	325320	"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes."	"Quimica"	"5P"	"Produccion de plaguicidas y otros quimicos agricolas"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PRODUCTOS ORGÁNICOS E INORGÁ"	"PARQUE INDUSTRIAL DR. GONZALEZ"			"25°51'19"""	"99°57'13"""	"AV. PARQUE INDUSTRIAL S/N"	"NUN 3"	"NUM 3"	"P.  IND. DR. GONZALEZ"		"NUEVO LEON"	"Dr. Gonzalez"	"66600"
"ADH5G2901511"	"ADHESIVOS, S.A.D E C.V."	325110	"Fabricación de petroquímicos básicos del gas natural y del petróleo refinado."	"Petroleo y petroquimica"	"5G"	"Petroquimica basica"	"PETROQUÍMICA BÁSICA (INCLUYE PROCESAMIENTO DE CUALQUIER TIPO DE GAS)."	"PARQUE INDUSTRIAL"			"19°18'6"""	"98°23'00"""	"KM 6.5 CARRETERA TEXMELUCAN TLAXCALA"	"NA"	"NA"	"CORR. IND. IXTACUIXTLA"	"SAN FELIPE IXTACUIXTLA DE MARIANO MATAMOROS"	"TLAXCALA"	"Ixtacuixtla de Mariano Matamoros"	"90120"
"ADM7T2402821"	"ACEROS DM., S. A. DE C. V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	"ZONA INDUSTRIAL DE SAN LUIS POTOSÍ"			"22°6'17"""	"100°55'7"""	"EJE 114"	"415"		"ZONA INDUSTRIAL"	"SAN LUIS POTOSÍ"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78395"
"AEA 91050021"	"Aparatos Electricos de Acuna S.A. de C.V."	335930	"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamblado de diferentes partes que son utilizadas en la industria eléctrica."	"Carretera Presa La amistad Km. 7.0"	0	0	"29°20'31"""	"101°2'2"""	"Parque Industrial Amistad"	"Km 7"			"Cd. Acuna"	"COAHUILA"	"Acuna"	"26220"
"AEE8A0901011"	"ACABADOS ELECTROLITICOS ESTELA,S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		0	0	19.37598	-99.20903	"15"	"30A"	"2"	"OLIVAR DEL CONDE"		"DISTRITO FEDERAL"	"Alvaro Obregon"	"01400"
"AEI6D0803711"	"ANSELL EDMONT INDUSTRIAL INC. DE MEXICO S.A. DE C.V."	326290	"Fabricación de otros productos de hule."	"Quimica"	"6D"	"Fabricacion de articulos y productos de hule"	"ENSAMBLE / MANUFACTURA / PRODUCCION DE TODA CLASE DE GUANTES Y RECUBRIMIENTOS DE HULE"	"PARQUE INDUSTRIAL A. J. BERMUDEZ"			31.71875	-106.39462	"AVE. ANTONIO J. BERMUDEZ"	"1050"		"ANTONIO J BERMUDEZ"	"CD JUAREZ"	"CHIHUAHUA"	"Juarez"	"32470"
"AEL911501311"	"APPLETON ELECTRIC, S.A. DE C.V."	335930	"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"MANUFACTURA, ENSAMBLE Y EMPAQUE DE PRODUCTOS ELECTRICOS"				"19°35'17.05''"	"99°16'15.97"""	"ALFREDO DEL MAZO"	"9"		"ZONA INDUSTRIAL 1 Y 2"	"ATIZAPAN DE ZARAGOZA"	"MEXICO"	"Atizapan de Zaragoza"	"52968"
"AEM8A1507011"	"ANODIZADOS ESPECIALES DE MEXICO S.A."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		0	0	"19°18'18"""	"98°27'42"""	"Carretera federal Mexico Puebla Camino"	"km 21"		"Los Reyes Acacquilpan"	"Los Reyes la Paz"	"MEXICO"	"La Paz"	"56400"
"AEN6A1900911"	"Asfaltos Energex, S. A. de C. V."	434230	"Comercio al por mayor de combustibles de uso industrial."	"Petroleo y petroquimica"	"6A"	"Produccion de asfalto y sus mezclas para pavimentacion"	"Reciclado de aceite usado y Distribución de derivados del petroleo"	"Zona Industrial y Comercial"			"25°34'40"""	"100°1'42"""	"Libramiento Martinez Dominguez"	"Km 0.5"		"N. A."	"Cadereyta Jimenez"	"NUEVO LEON"	"Cadereyta Jimenez"	"67450"
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR,S.A. DE C.V."	332810	"Recubrimientos y terminados metálicos."	"Quimica"	"8A"	"Galvanoplastia"	"GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA)."		0	0	19.37596	-99.20882	"14"	"30 A"	"5"	"OLIVAR DDEL CONDE"		"DISTRITO FEDERAL"	"Alvaro Obregon"	"01400"
"AEP7T1306311"	"MARTIN ARREGUIN PACHECO"	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICION DE PIEZAS DE HIERRO COLADO"	"MIXTO"			"19°57'36"""	"99°16'99"""	"CARRETERA CONEJOS Y O MELCHOR"	"SN"	"SN"	"CONEJOS"	"HIDALGO"	"HIDALGO"	"Tepeji del Rio de Ocampo"	"42870"
"AER5V1505111"	"AEROBAL SA DE CV"	325411	"Fabricación de materias primas para la industria farmacéutica."	"Quimica"	"5V"	"Produccion de materias primas para perfumes y cosmeticos"	"PRODUCCIÓN DE MATERIAS PRIMAS PARA PERFUMES Y COSMÉTICOS."	"PARQUE INDUSTRIAL LERMA"			19.29968	-99.52658	"AV. SAN RAFAEL"	"12"		"INDUSTRIAL LERMA"	"ESTADO DE MEXICO"	"MEXICO"	"Toluca"	"52000"
"AERM62700411"	"AMBIENTAL Y ENERGIA RACIONAL, S.A. DE C.V."	562111	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"Tratamiento de residuos peligrosos"	"M1"	"Otros tratamientos a residuos peligrosos"	"CENTROS INTEGRALES DE MANEJO DE RESIDUOS PELIGROSOS."	"CARRETERA VILLAHERMOSA-TEAPA KM 25"			"17°48'32"""	"92°59'8"""	"RANCHERIA ALVARADO 2DA SECCION"	"ND"		"ND"	"VILLAHERMOSA"	"TABASCO"	"Centro"	"86280"
"AES641510611"	"ACEITES ESPECIALES S.A. DE C.V."	325999	"Fabricación de otros productos químicos."	"Quimica"	"64"	"Produccion de aceites esenciales"	"FABRICACIÓN DE ACEITE VEGETAL PARA USO INDUSTRIAL"	"ZONA INDUSTRIAL"			19.29217	-99.62428	"INDEPENDENCIA  ORIENTE"	"1700"		"ZONA INDUSTRIAL TOLUCA"	"TOLUCA"	"MEXICO"	"Toluca"	"50070"
"AEVLJ2902511"	"ANDRES ARENAS VAZQUEZ"	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"LJ"	"Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"				"19°7'15"""	"98°11'4"""	"CALLE RIO JORDAN"	"58"		"BARRIO DE SAN COSME"	"VILLA VICENTE GUERRERO"	"TLAXCALA"	"San Pablo del Monte"	"90970"
"AFE2G0710611"	"CIA AZUCARERA LA FE S.A. DE C.V."	311311	"Elaboración de azúcar de caña."	"Alimenticio y/o de consumo humano"	"2G"	"Ingenios azucareros"	"ELABORACION DE AZUCAR ESTANDAR, ALCOHOL Y MIEL INCRISTALIZABLE"	"CENTRO SUBURBANO"			"16°16'30"""	"92°27'13"""	"DOMICILIO CONOCIDO"	"SIN NUMERO"		"SAN FRANCISCO PUJILTIC"	"SAN FRANCISCO PUJILTIC"	"CHIAPAS"	"Venustiano Carranza"	"30310"
"AFI7T0502711"	"ACEROS FUNDIDOS INTERNACIONALES, S. DE R.L. DE C.V."	331510	"Moldeo por fundición de piezas de hierro y acero."	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	"PARQUE INDUSTRIAL SALTILLO - RAMOS ARIZPE"			25.56799	-100.92327	"BLV. INDUSTRIA DE LA TRANSFORMACIÓN"	"3135"		"PARQUE INDUSTRIAL SALTILLO RAMOS ARIZPE"	"RAMOS ARIZPE"	"COAHUILA"	"Ramos Arizpe"	"25900"
"AFM910500221"	"AEES Manufacturera S. de  R. L. de C.V. Localidad Acuña"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Procesos de Ensamble de Arneses Eléctricos y Electrónicos"	"Parque Industrial Amistad"			"29°20'28"""	"100°59'10"""	"Carretera Presa La Amistad km. 5.0"	"SN"	"SN"	"Parque Industrial Amistad"	"Ciudad Acuña"	"COAHUILA"	"Acuna"	"26220"
"AFM910502511"	"Alcoa Fujikura de Mexico S. de R.L. de C.V."	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"Parque Industrial Amistad"	0	0	"28°40'45"""	"100°33'23"""	"Gral.M.Perez Treviño sn"	"sin numero"			"Piedras Negras"	"COAHUILA"	"Piedras Negras"	"26070"
"AFM910803713"	"AEES MANUFACTURERA S. DE R.L. DE C.V"	336320	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores."	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Manufactura y Ensamble de Arneses y Componentes Electrónicos Automotrices."	"Parque Industrial Antonio J.Bermúdez"			"31°43'19"""	"106°23'37"""	"Avenida Fresnel  No. 7650"	"7650"		"Parque Ind. Antonio J.Bermúdez"	"Cd. Juárez"	"CHIHUAHUA"	"Juarez"	"32470"
"AFOHF1403911"	"ALIMENTOS FINOS DE OCCIDENTE SA DE CV"	311613	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles."	"Alimenticio y/o de consumo humano"	"1P"	"Produccion de embutidos y conservas de carnes"	"ELABORACION DE CARNES FRIAS"	"ZONA INDUSTRIAL"			"20°38'32"""	"103°22'47"""	"AV 8 DE JULIO"	"2714"		"ZONA IND. GUADALAJARA"	"GUADALAJARA"	"JALISCO"	"Guadalajara"	"44940"
"AGDMC1412011"	"ACEITES GRASAS Y DERIVADOS S.A. DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles."	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"				20.67685	-103.40829	"AVENIDA VALLARTA"	"5106"		"SECTOR JUÁREZ"	"ZAPOPAN"	"JALISCO"	"Zapopan"	"45120"
"AGM5P2201411"	"Agro Grow de México S.A. de C.V."	325320	"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes."	"Quimica"	"5P"	"Produccion de plaguicidas y otros quimicos agricolas"	"FORMULACIÓN DE PLAGUICIDAS Y NUTRIENTES VEGETALES"	"PREDIO LOCALIZADO FURA DEL AREA URBANA"	0	0	"20°39'24"""	"100°23'23"""	"CARRETERA A CHICHIMEQUILLAS KM 8.1"	"8.1"		"SAN JOSE EL ALTO"	"SAN JOSE EL ALTO"	"QUERETARO"	"Queretaro"	"76147"
"AGOMC3105011"	"ACEITERA DEL GOLFO S.A. DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles."	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRDDUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"	"CIUDAD INDUSTRIAL FELIPE CARRILLO PUERTO"			"20°55'57"""	"0.89°40'46"""	"17"	"407 B BIS"		"CIUDAD INDUSTRIAL"	"MERIDA"	"YUCATAN"	"Merida"	"97288"
"AGR5H1904811"	"AGRICEL S. A. DE C. V."	325190	"Fabricación de otros productos químicos básicos orgánicos."	"Quimica"	"5H"	"Produccion de acidos organicos"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."				"25°41'40.55"""	"100°28'32.33"""	"Mineria"	"201"		"Fracc. Las Palmas"	"Santa Catarina"	"NUEVO LEON"	"Santa Catarina"	"66350"
"AGR5N2201411"	"Agrogen S. A. de C. V."	325310	"Fabricación de fertilizantes."	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN  DE FERTILIZANTES QUÍMICOS (SÓLO INCLUYE SU PRODUCCIÓN MEDIANTE REACCIONES QUÍM"	"Area rural agrícola sin asentamientos poblacionales"			"20°35'8"""	"100°27'44"""	"Carretera a Tlacote El Bajo Km. 5.5"	"NA"	"NA"	"No hay colonia"	"Querétaro"	"QUERETARO"	"Queretaro"	"76000"
"AGR5P0801911"	"AgriEstrella S. de R.L. de C.V."	325320	"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes."	"Quimica"	"5P"	"Produccion de plaguicidas y otros quimicos agricolas"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PRODUCTOS ORGÁNICOS E INORGÁ"	"PARQUE INDUSTRIAL"			28.71617	-106.11878	"RETORNO ALFONSO REYES"	"331"		"COMPLEJO IND. CHIHUAHUA"	"CHIHUAHUA"	"CHIHUAHUA"	"Chihuahua"	"31109"
"AGR5P1408311"	"AGRONOVA SA DE CV."	325320	"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes."	"Quimica"	"5P"	"Produccion de plaguicidas y otros quimicos agricolas"	"COMPRA VENTA FORMULACION  Y DISTRIBUCION DE AGROQUIMICOS"				"20°38'33"""	"103°42'39"""	"EXTRAMUROS"	"4"		"SAN ISIDRO MAZATEPEC"	"SAN ISIDRO MAZATEPEC"	"JALISCO"	"Tala"	"44900"
"AHAKE0900411"	"Auto Haus S. A. de C. V."	468211	"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones."	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Compra venta de automoviles refacciones y servicio automotriz."				19.38357	-99.25169	"Carretera México Toluca"	"2483"	"NA"	"Palo Alto"		"DISTRITO FEDERAL"	"Cuajimalpa de Morelos"	"05110"
