"NRA"	"Nombre"	"Sector"	"Actividad principal SEMARNAT"	"Actividad principal"	"Coordenada UTM X"	"Coordenada UTM Y"	"Latitud Norte"	"Longitud Oeste"	"Estado"	"Delegación\Municipio"	"Calle"	"No. Exterior"	"No. Interior"	"Entre calle 1"	"Entre calle 2"	"Colonia"	"Localidad"	"Parque o puerto industrial"	"Código postal"
"ACE1I1904611"	"Acerex SA de CV"	"Metalurgica (incluye la siderurgica) "	"Laminacion secundaria de hierro y acero"	"Corte de rollos de acero en hojas y cintas."	0	0	"25°43'34.53"""	"100°18'0.26"""	"NUEVO LEON"	"San Nicolas de los Garza"	"Ave. Nogalar"	330		"Privada Famosa"	"Munich"	"Cuauhtemoc"			66452
"ACE5H2402811"	"Adydsa del Centro S.A. DE C.V."	"Quimica"	"Produccion de acidos organicos"	"Comercialización y formulación de solventes orgánicos"	305534.19	2449037.85	"22°53'5"""	"100°5'25"""	"SAN LUIS POTOSI"	"San Luis Potosi"	"Av. Industrias sn esq. Av. Ampliación"	"s n"		"Eje 126"	"Av. Ampliación"	"Zona Industrial"	"San Luis Potosí"	"Parque industrial"	78395
"ACE7T2201611"	"ACERLAN S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	2209599	2545416	20.42301	-99.98039	"QUERETARO"	"San Juan del Rio"	"camino a San Pedro Ahuacatlán No. 3"	3		"av central salida a Tequisquiapan"	"Empresa Cartones Ponderosa"	"zona industrial"	"San Juan del Río"	"ZONA INDUSTRIAL"	76802
"ACE8V0801711"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE ARNESES AUTOMOTRICES"	0	0	"28°25'42"""	"0.106°50'6"""	"CHIHUAHUA"	"Cuauhtemoc"	"Morelos"	"S/N"	"km. 5 Carretera a An"	"Vialidad Morelos"	"Rios Chuviscar"	"Parque Industrial Cuauhtémoc"	"Cuahtémoc"	"Parque Industrial Cuauhtemoc"	35579
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de arneses automotrices"	0	0	28.65116	-106.12561	"CHIHUAHUA"	"Chihuahua"	"Prologación Ave. de las Americas"	36		"Circuito industrial en comunicacion"	"Circuito industrial automotriz"	"Parque Industrial Americas"	"Chihuahua"	"Parque Industrial Americas"	32000
"ACE8V0803211"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboracion de Arneses Automotrices"	0	0	"26°55'4"""	"105°41'43"""	"CHIHUAHUA"	"Hidalgo del Parral"	"ANILLO PERIMETRAL SUR"	"S/N"		"NA"	"NA"	"PREDIO SANTO TOMAS"	"Hidalgo del Parral"		33800
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Elaboración de Arneses para Automoviles"	0	0	"28°16'31"""	"105°29'04"""	"CHIHUAHUA"	"Meoqui"	"Carretera Panamericana Km. 1588"	2700		"Calle Cedro"	"Calle Fresno"	"NA"	"Meoqui"	"Zona Industrial"	33130
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Manufactura de Arneses automotrices"	0	0	30.38462	-107.89153	"CHIHUAHUA"	"Nuevo Casas Grandes"	"Parque Ind. Paquime"	5101		"TULUM"	"MONTEALBAN"	"Parque Industrial Paquime"	"Nuevo Casas Grandes"	"Parque Industrial Paquime"	31700
"ACE8V2500111"	"Alambrados y Circuitos Eléctricos S.A de C.V. ACE VII"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de Arneses Automotrices"	0	0	"25°46'21"""	"108°59'06"""	"SINALOA"	"Ahome"	"Blvd. Macario Gaxiola Sur"	1001	1210	"Calle Pirules"	"Av. Palma"	"Raúl Romanillo"	"Los Mochis"		81280
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"Automotriz "	"Produccion de partes para el sistema de suspension y direccion"	"Fabricación de flechas intermedias,columnas y flechas homocinéticas."	0	0	20.62508	-100.43776	"QUERETARO"	"El Marques"	"Convento de la Cruz"	12	"NA"	"Santa Rosa de Viterbo"	"Avenida de las Fuentes"	"Parque Industrial FINSA"	"El Marques"	"Parque Industrial Bernardo Quintana"	76246
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"Automotriz "	"Produccion de partes para el sistema de suspension y direccion"	"Fabricación de Cajas de dirección Hidráulica Manual e Integral"	0	0	"20°37'32"""	"100°26'16"""	"QUERETARO"	"El Marques"	"Santa Rosa de Viterbo"	12	"NA"	"Convento de la Cruz"	"Avenida de las Fuentes"	"Zona Industrial Bernardo Quintana"	"El Marques"	"Parque Industrial Bernardo Quintana"	76246
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"Quimica"	"Produccion de acidos, bases y sales inorganicas"	"Fabricación de Productos Desinfectantes"	37.82	2863.9	"25°54'9.66"""	"100°21'33.01"""	"NUEVO LEON"	"Carmen"	"Km 14 Carretera Monterrey a Monclova"	"N A"	"N A"	"N A"	"N A"	"N A"	"Nuevo León"	"Zona Industrial El Carmen"	66550
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"Articulos y productos plasticos "	"Fabricacion de productos y articulos de plastico"	"Fabricacion de tapas plasticas"	0	0	25.47413	-100.99611	"COAHUILA"	"Saltillo"	"Calle Indiana"	"No. 45"				"Ind. Valle De Saltillo"	"Saltillo"	"Fraccionamiento Industrial"	25217
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"Articulos y productos plasticos "	"Fabricacion de productos y articulos de plastico"	"Costura y Ensamble de Bolsas de aire para autopartes"	372539.7054	2280118.4441	"0°0'0"""	"0°0'0"""	"QUERETARO"	"El Marques"	"Av. Tepeyac No. 1360"	"Km. 2.5"	1360	"Carr. Chichimequillas Km. 2.5"		"El Tepeyac"	"Chichimequillas"	"Parque Industrial Tepeyac"	76250
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"Quimica"	"Produccion de materias primas para perfumes y cosmeticos"	"FABRICACION DE PERFUMERIA Y COSMETICOS."	0	0	20.4876	-100.80152	"GUANAJUATO"	"Celaya"	"GUERRERO No. 149"	149				"RANCHO SECO"	"CELAYA"		38090
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"Quimica"	"Produccion de jabones y detergentes"	"PRODUCCIÓN DE JABONES Y DETERGENTES (SÓLO SI SE PRODUCEN LAS SUSTANCIAS BÁSICAS; INCLUYE O"	0	0	19.52775	-99.21127	"MEXICO"	"Tlalnepantla de Baz"	"PROLONGACIÓN GALEANA"	273				"MIGUEL HIDALGO"	"TLALNEPANTLA"		54060
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"Metalurgica (incluye la siderurgica) "	"Laminacion primaria de hierro y acero"	"LAMINACIÓN PRIMARIA DE HIERRO Y ACERO (INCLUYE FERROALEACIONES, ACEROS COMUNES Y ESPECIALE"	0	0	19.52053	-99.12399	"MEXICO"	"Tlalnepantla de Baz"	"AV. DE LA PRESA"	2		"PERIFERICO ORIENTE"	"AV. INDUSTRIAS"	"FRACC. INDUSTRIAL LA PRESA"		"FRACCIONAMIENTO INDUSTRIAL LA PRESA"	54187
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	"Articulos y productos metalicos "	"Produccion de valvulas metalicas"	"FABRICACION DE VALVULAS DE REFRIGERACION"	0	0	26.04288	-98.36888	"TAMAULIPAS"	"Reynosa"	"AVENIDA INDUSTRIAL FALCON"	"M4"	"1 a 3"	"AVE. INDUTRIAL DEL NORTE"	"NINGUNA"	"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"PARQUE INDUSTRIAL DEL NORTE"	88730
"ACOM91510611"	"COMPAÑIA ABASTECEDORA DE COMBUSTIBLE S.A. DE C.V."	"Otros"	"Comercializacion, almacenamiento y distribucion de productos derivados del petroleo a usuarios finales"	"ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES"	2133	433	19.2906	-99.63595	"MEXICO"	"Toluca"	"Av. Primero de Mayo Ote."	1220		"Heroe de Nacozari"	"Independencia"	"Electricistas"	"Toluca"		50070
"ACT7X0200311"	"ACABADOS DE CALIDAD TECATE S.A. DE C.V."	"Articulos y productos metalicos "	"Fabricacion de articulos y productos metalicos"	"ACABADOS METALICOS PARTA CERRADURAS, ACCESORIOS DE BAÑOS/REGADERAS"	0	0	"32°24'02"""	"116°37'45"""	"BAJA CALIFORNIA"	"Tecate"	"Km 3 CARRETERA TECATE ENSENADA"	"NA"				"Maclovio Herrera"	"TECATE"	"NO SE"	21490
"ACUEE0900311"	"Automotriz Cuicuilco S.A. de C.V."	"Otros"	"Centros distribuidores de autotransportes"	"Compra y venta de automoviles nuevos con taller mecanico"	0	0	"19°18'24"""	"0.99°11'11"""	"DISTRITO FEDERAL"	"Coyoacan"	"Av. Insurgentes Sur"	3195	"NA"	"Zacatepetl"	"Periferico Sur"	"Insurgentes Cuicuilco"			4530
"ACURP2500611"	"AEROPUERTO DE CULIACAN S.A. DE C.V."	"Otros"	"Servicios de administracion de aeropuertos y helipuertos"	"PRESTADOR DE SERVICIOS AEROPORTUARIOS"	0	0	"24°45'51"""	"107°11'21"""	"SINALOA"	"Culiacan"	"CARRETERA A NAVOLATO KM 4.5"	"SN"		"SN"		"BACHIGUALATO"	"CULIACAN"	"TERRENO CONCESIONADO PARA EXPLOTACION DE SERVICIOS AEROPORTU"	80130
"ACURP2500612"	"AEROPUERTO DE CULIACÁN S.A. DE C.V."	"Otros"	"Aeropuertos"	"PRESTADOR DE SERVICIOS AEROPORTUARIOS"	0	0	"24°45'51"""	"107°11'21"""	"SINALOA"	"Navolato"	"CARRETERA A NAVOLATO KM 4.5 SN"	"SN"		"NA"	"NA"	"BACHIGUALATO"	"CULIACÁN"	"TERRENO CONCESIONADO PARA EXPLOTACIÓN DE SERVICIOS AEROPORTU"	80130
"ACV5H1605311"	"ALKEMIN S. DE R.L. DE C.V."	"Quimica"	"Produccion de acidos organicos"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS."	0	0	"19°41'44"""	"101°12'44"""	"MICHOACAN"	"Morelia"	"MARTIN MONGE"	307		"18 DE MARZO"	"ALONSO DE TOLEDO"	"NUEVA VALLADOLID"	"MORELIA"		58190
"ADC940802111"	"ADC de Delicias S. de R.L. de C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Fabricación ensamble diseño de productos electromecánicos y electrónicos para telecomunica"	0	0	28.17263	-105.47056	"CHIHUAHUA"	"Delicias"	"Blvd. Fernando Baeza"	1301	"Sur"	"Av. 16 Sur"	"Av. Río Chuviscar"	"Fracc. San Marcos"	"Delicias"		33000
"ADH5G2901511"	"ADHESIVOS S.A. DE C.V."	"Petroleo y petroquimica "	"Petroquimica basica"	"PETROQUIMICA"	2379992	2424564	"19°18'6"""	"98°23'00"""	"TLAXCALA"	"Ixtacuixtla de Mariano Matamoros"	"KM 6.5 CARR. FED. SAN MARTIN TLAXCALA"	"SN"				"CORR. IND. IXTACUIXTLA"	"SAN FELIPE IXTACUIXTLA"	"CORREDOR INDUSTRIAL IXTACUIXTLA TLAX"	90120
"ADM7T2402811"	"ACEROS DM., S. A. DE C. V."	"Metalurgica (incluye la siderurgica) "	"Fundicion y moldeo de piezas de hierro y acero"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	0	0	22.10455	-100.91426	"SAN LUIS POTOSI"	"San Luis Potosi"	"EJE 114"	415		"PROMOCION"	"VIAS DE FFCC MEXICO - NUEVO LAREDO"	"ZONA INDUSTRIAL"	"SAN LUIS POTOSÍ"	"ZONA INDUSTRIAL DE SAN LUIS POTOSÍ"	78395
"AEA910500211"	"APARATOS ELECTRICOS DE ACUÑA S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLADO DE DIFERENTES PARTES QUE SON UTILIZADAS EN LA INDUSTRIA ELECTRICA."	0	0	"29°20'31"""	"101°0'2"""	"COAHUILA"	"Acuna"	"CARRETERA A PRESA LA AMISTAD"	"KM 7.0"					"CIUDAD ACUÑA"	"PARQUE INDUSTRIAL LA AMISTAD"	26220
"AEA9M2200611"	"ARNESES ELECTRICOS AUTOMOTRICES S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"FABRICACIÓN Y VENTA DE COMPONENTES ELECTRICOS"	10982	13	20.53563	-100.45922	"QUERETARO"	"Corregidora"	"Carretera panamericana y Circ. Balvanera"	230.5	35	"Carretera panamericana"	"Circ. Balvanera"	"Fracc. Ind. Balvanera"	"Corregidora"	"Parque Industrial Balvanera"	76900
"AEC9M0801913"	"Visteon Planta Carolinas"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ensamble de accesorios electronicos para vehiculos automotores"	0	0	"28°42'59"""	"0.106°7'57"""	"CHIHUAHUA"	"Chihuahua"	"Oscar Wilde No. 11366"	11366		"Av. Cristobal Colón"	"Av. Vargas Llosa"	"Parque Industrial Chihuahua"	"Chihuahua"	"Parque Industrial Chihuahua"	31109
"AEE8A0901011"	"ACABADOS ELECTROLITICOS ESTELA S.A. DE C.V."	"Quimica"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"	0	0	19.37598	-99.20903	"DISTRITO FEDERAL"	"Alvaro Obregon"	"CALLE 15"	"M30A"	"L2"	"CALLE 20"	"VICENTE GUERRERO"	"OLIVAR DEL CONDE"			1400
"AEI6D0803711"	"ANSELL EDMONT INDUSTRIAL INC. DE MEXICO S.A. DE C.V."	"Quimica"	"Fabricacion de articulos y productos de hule"	"PRODUCCIÓN DE ARTÍCULOS DE HULE (SÓLO SI SE ELABORA EL HULE)."	367873	3.50997006	31.71875	-106.39462	"CHIHUAHUA"	"Juarez"	"AV. ANTONIO J. BERMUDEZ"	1050				"ANTONIO J. BERMUDEZ"	"CD JUAREZ"	"PARQUE INDUSTRIAL A J BERMUDEZ"	32470
"AEJ9M0803711"	"Autoelectronica de Juarez S.A de C.V. Planta I"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Diseño y fabricacion de Productos electricos y electronicos"	0	0	31.6913	-106.44813	"CHIHUAHUA"	"Jimenez"	"Av. de las Industrias"	4250		"Estrella"	"Carey"	"NA"	"Juarez"	"Juarez"	32630
"AEJ9M0803712"	"Autoelectronica de Juárez S.A de C.V.Planta II"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Diseño y fabricación de productos electricos y electrónicos S.A de C.V."	0	0	"31°43'9"""	"106°27'50"""	"CHIHUAHUA"	"Juarez"	"Av. Eje vial Juan Gabriel"	2150		"Lopez Mateos"	"EJuan Gabriel"		"Cd Juarez"	"Parque Eje vial Juan Gabriel"	32630
"AEL640600911"	"ACEITES ESENCIALES DE LIMON DE TECOMAN S.A DE C.V."	"Quimica"	"Produccion de aceites esenciales"	"ELABORACION DE ACEITE DE LIMON Y JUGO DE LIMON"	0	0	"18°54'20"""	"103°52'42"""	"COLIMA"	"Tecoman"	"KM 1 CARRETERA TECOMAN EL REAL"	"KM 1"		"FRACCIONAMIENTO VILLAS DEL REY"	"EMPRESA LIMEX"	"LA FLORESTA II"	"TECOMAN"		28130
"AEM8T1900611"	"Acme Electric Manufacturing de Mexico S. de R. L. de C. V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de motores electricos"	"Fabricacion de transformadores"	0	0	"25°46'12"""	"0.1°10'10"""	"NUEVO LEON"	"Apodaca"	"Calle Cuarta"	403		"Av Parque Ind. Mty"	"Privada"	"Parque Ind. Mty"	"Apodaca"	"Parque Industrial Monterrey"	66600
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"PRODUCCION DE EQUIPO ELECTRICO Y ELECTRONICO DE USO AUTOMOTRIZ"	0	0	"26°2'27"""	"98°21'56"""	"TAMAULIPAS"	"Reynosa"	"AV. INDUSTRIAL DEL NORTE"	"LOTE 5-1"				"PARQUE INDUSTRIAL DEL NORTE"	"REYNOSA"	"PARQUE INDUSTRIAL DEL NORTE"	88740
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR S.A. DE C.V."	"Quimica"	"Galvanoplastia"	"MAQUILA DE GALVANOPLASTIA"	0	0	19.37596	-99.20882	"DISTRITO FEDERAL"	"Alvaro Obregon"	"CALLE 14"	"M30A"	"L2"	"CALLE 20"	"VICENTE GUERRERO"	"OLIVAR DEL CONDE"			1400
"AER5V1505111"	"AEROBAL S. A. DE C. V."	"Quimica"	"Produccion de materias primas para perfumes y cosmeticos"	"FABRICACIÓN Y ENVASADO DE LÍQUIDOS Y AEROSOLES DE PERFUMERÍA BELLEZA Y ASEO"	0	0	19.29968	-99.52658	"MEXICO"	"Lerma"	"AVENIDA SAN RAFAEL"	12		"AL SUR COLINDA CON FLUID S. A. DE C. V."	"AL NORTE CON ACCO MEXICANA S. A. DE C. V"		"LERMA"	"PARQUE INDUSTRIAL LERMA"	52000
"AES641510611"	"ACEITES ESPECIALES S.A. DE C.V."	"Quimica"	"Produccion de aceites esenciales"	"FABRICACIÓN DE ACEITE VEGETAL PARA USO INDUSTRIAL"	0	0	19.29217	-99.62428	"MEXICO"	"Toluca"	"INDEPENDENCIA ORIENTE"	1700		"ALFREDO NOBEL"	"ROBERTO FULTON"	"ZONA INDUSTRIAL TOLUCA"	"TOLUCA"	"ZONA INDUSTRIAL"	50070
"AES8A0900511"	"ANODIZADOS ESPECIALIZADOS S.A. DE C.V."	"Quimica"	"Anodizado de aluminio"	"ANODIZADO DE PIEZAS DE ALUMINIO"	0	0	19.46545	-99.13119	"DISTRITO FEDERAL"	"Gustavo A. Madero"	"PRIVADA SMETANA"	15	"E"	"CARUSO"	"CIRCUITO INTERIOR"	"VALLEJO"			7870
