"NRA"	"Nombre"	"Sector"	"Actividad principal SEMARNAT"	"Actividad principal"	"Coordenada UTM X"	"Coordenada UTM Y"	"Latitud Norte"	"Longitud Oeste"	"Estado"	"Delegación\Municipio"	"Calle"	"No. Exterior"	"No. Interior"	"Entre calle 1"	"Entre calle 2"	"Colonia"	"Localidad"	"Parque o puerto industrial"	"Código postal"
"AFM910500212"	"Alcoa Fujikura de México S. de R.L. de C.V . Localidad 1"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Procesos de ensamble de arneses eléctricos y electrónicos."	0	0	"29°20'28"""	"0.1°59'10"""	"COAHUILA"	"Acuna"	"Carretera Presa la Amistad Km 5.0"	"SN"	"SN"	"SN"	"SN"	"Parque Industrial"	"Cd Acuña"	"Parque Industrial Amistad"	26220
"AFM910500213"	"Alcoa Fujikura de México S. de R.L. de C.V. - Localidad Acuña 2"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Procesos de ensamble de arneses eléctricos y/o electónicos."	0	0	"29°20'24"""	"0.1°58'42"""	"COAHUILA"	"Acuna"	"Carretera Presa la Amistad Km 4.5"	"SN"	"SN"	"SN"	"SN"	"Parque Industrial"	"Cd Acuña"	"Parque Industrial Amistad"	26220
"AFM910500214"	"Alcoa Fujikura de Mexico S. de R.L. de C.V. Planta 4."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de Arneses tipo electrodomestico y automotriz."	0	0	"29°20'22"""	"0.1°59'9"""	"COAHUILA"	"Acuna"	"Carretera Presa la Amistad Km 5.0"	"sin num."	"sin num."	"Sin numero"	"Sin numero"	"Parque Industrial Amistad"	"Cd Acuña"	"Parque Industrial Amistad"	26220
"AFM910500216"	"Alcoa Fujikura de México S. de R.L. de C.V. Planta Soporte ASP"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Producción de aparatos equipos y o accesorios eléctricos y o electrónicos"	0	0	"29°20'23"""	"100°59'7"""	"COAHUILA"	"Acuna"	"Car. Presa La Amistad"	"km. 4.5"		"NA"	"NA"	"Parque Industrial"	"ACUNA"	"Parque Industrial Amistad"	26220
"AFMRP0500231"	"ALCOA FUJIKURA DE MEXICO S. DE R. L. DE C. V PLANTA AC3"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"ENSAMBLE DE ARNESES TIPO ELECTRODOMESTICO Y AUTOMOTRIZ."	0	0	"29°20'25"""	"100°59'5"""	"COAHUILA"	"Acuna"	"NA"	"NA"	"NA"	"NA"	"NA"		"ACUÑA"	"PARQUE INDUSTRIAL AMISTAD KM 5"	26220
"AFMRP0500241"	"Alcoa Fujikura de Mexico S. de R. L. de C. V. Planta AC6"	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Ensamble de Arneses tipo electrodomesticos y automotriz"	0	0	"29°20'19"""	"-100°59'7"""	"COAHUILA"	"Acuna"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Acuña"	"Parque Industrial Amistad km 5"	26220
"AFMRP0500261"	"Alcoa Fujikura de México S. de R.L de C.V."	"Equipos y articulos electronicos, electricos y domesticos "	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Producción de Aparatos Equipos y o accesorios electricos y o electronicos"	0	0	"29°20'29"""	"-100°59'8"""	"COAHUILA"	"Acuna"	"Carretera Presa la Amistad"	"Km5"	"NA"	"Sin Nombre"	"Sin Nombre"	"Sin Nombre"	"Acuña"	"Parque Industrial Amistad"	26220
"AFOEA1403911"	"ALIMENTOS FINOS DE OCCIDENTE, S.A de C.V."	"Alimenticio y/o de consumo humano "	"Produccion de embutidos y conservas de carnes"	"ELABORACIÓN DE CARNES FRÍAS"	331188.805	2283258.717	"20°38'32"""	"103°22'47"""	"JALISCO"	"Guadalajara"	"AV. 8 DE JULIO"	2714		"CALLE 3"	"CALLE 8"	"ZONA INDUSTRIAL DE GUADALAJARA"	"GUADALAJARA"	"ZONA INDUSTRIAL DE GUADALAJARA"	44940
"AGA5K1510611"	"AGA GAS S.A. DE C.V."	"Quimica"	"Produccion de gases industriales"	"LLENADO DE GASES PUROS-INDUSTRIALES Y MEZCLAS- FABRICACION DE OXIDO NITROSO."	0	0	19.29279	-99.62015	"MEXICO"	"Toluca"	"AV. INDEPENDENCIA OTE. ESQ. ROBERTO BOSC"	300	"NA"	"INDEPENDENCIA ORIENTE"	"AVENIDA AUTOMOTRIZ"	"ZONA IND. TOLUCA"	"TOLUCA"	"ZONA INDUSTRIAL TOLUCA"	50070
"AGDMC1412011"	"ACEITES GRASAS Y DERIVADOS S.A. DE C.V."	"Quimica"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"	0	0	20.67685	-103.40829	"JALISCO"	"Zapopan"	"AVENIDA VALLARTA"	5106		"AVENIDA MÉXICO"	"NIÑO OBRERO"	"SECTOR JUÁREZ"	"ZAPOPAN"		45120
"AGEKE1304811"	"AUTOMOTRIZ GENERAL S.A. DE C.V."	"Otros"	"Reparacion y mantenimiento automotriz"	"COMPRA VENTA DE AUTOMOVILES NUEVOS Y USADOS SERVICIO Y REFACCIONES"	0	0	"20°7'12"""	"0.98°44'15"""	"HIDALGO"	"Pachuca de Soto"	"AV. JUAREZ Y PROL. GOMEZ PEREZ"	"SN"				"CENTRO"	"PACHUCA"		42000
"AGMDA2201411"	"AGROGROW DE MEXICO SA DE CV"	"Quimica"	"Produccion de plaguicidas y otros quimicos agricolas"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PRODUCTOS ORGÁNICOS E INORGÁ"	0	0	"20°39'24"""	"100°23'18"""	"QUERETARO"	"Queretaro"	"CARRETERA A CHICHIMEQUILLAS KM. 8.1"	8.1		"SIN NOMBRE"	"GRANJA DE BOVINOS"	"SAN JOSE EL ALTO"	"SAN JOSE EL ALTO"	"PREDIO LOCALIZADO FUERA DEL AREA URBANA"	76238
"AGOMC3105011"	"ACEITERA DEL GOLFO S.A. DE C.V."	"Quimica"	"Fabricacion de aceites y grasas alimenticias"	"PRDDUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI"	0	0	"20°55'57"""	"0.89°40'46"""	"YUCATAN"	"Merida"	17	"407 B BIS"				"CIUDAD INDUSTRIAL"	"MERIDA"	"CIUDAD INDUSTRIAL FELIPE CARRILLO PUERTO"	97288
"AGR5N2201411"	"Agrogen S. A. de C. V."	"Quimica"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN DE FERTILIZANTES QUÍMICOS (SÓLO INCLUYE SU PRODUCCIÓN MEDIANTE REACCIONES QUÍM"	0	0	"20°35'8"""	"100°27'44"""	"QUERETARO"	"Queretaro"	"Carretera a Tlacote El Bajo Km. 5.5"	"NA"	"NA"	"No hay calles"	"No hay calles"	"No hay colonia"	"Querétaro"	"Area rural agrícola sin asentamientos poblacionales"	76000
"AGR5P0801911"	"AgriEstrella S. de R.L. de C.V."	"Quimica"	"Produccion de plaguicidas y otros quimicos agricolas"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PRODUCTOS ORGÁNICOS E INORGÁ"	390473	3177279	28.71617	-106.11878	"CHIHUAHUA"	"Chihuahua"	"RETORNO ALFONSO REYES"	331		"AVE. NICOLAS GOGOL"	"AVE. TECNOLOGICO"	"COMPLEJO IND. CHIHUAHUA"	"CHIHUAHUA"	"PARQUE INDUSTRIAL"	31109
"AGR5P1301011"	"AGROMAQUILAS S.A. DE C.V."	"Quimica"	"Produccion de plaguicidas y otros quimicos agricolas"	"PRODUCCIÓN DE PLAGUICIDAS Y OTROS QUÍMICOS AGRÍCOLAS (INCLUYE PROD ORGÁNICOS E INORGÁNICOS"	514631.8986	9081311.745	20.0389	-99.25267	"HIDALGO"	"Atitalaquia"	"Oriente 3 Zona Oriente"	"Lote 45"		"Av. Central"		"Parque Industrial Atitalaquia"		"Parque Industrial Atitalaquia"	42970
"AHSM91800111"	"AMADO H. SIERRA Y HNO. S. A. DE C. V."	"Petroleo y petroquimica "	"Almacenamiento y distribucion de productos derivados del petroleo"	"ALMACENAMIENTO Y DISTRIBUCION DE PRODUCTOS DERIVADOS DEL PETROLEO- EXCLUYE DISTRIBUIDORES"	0	0	"22°29'42"""	"105°21'41"""	"NAYARIT"	"Acaponeta"	"VERACRUZ"	80	"NTE"	"BRAVO"	"NA"	"NA"	"ACAPONETA"		63400
