"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"ABCHM0900411"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	"622311"	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		"470268.7949"	"2140333.0675"	"19°21'24"""	"99°16'59"""	"Calle CARLOS GRAEF FERANDEZ"	"154 "	" "	"Colonia TLAXALA SANTA FE"	"CUAJIMALPA DE MORELOS"	"DISTRITO FEDERAL"	"Cuajimalpa de Morelos"	"05300"
"ABCHM0901021"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	"622311"	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		"478549.0421"	"2145130.6186"	"19°24'0"""	"99°12'15"""	"Calle SUR  136"	"116 "	" "	"Colonia LAS AMERICAS"	"ALVARO OBREGON"	"DISTRITO FEDERAL"	"Alvaro Obregon"	"01120"
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA SA DE CV,"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"QU"	"Anodizado de aluminio"	"INDUSTRIA DEL ALUMINIO"		"496845.0006"	"3588081.4224"	"32°25'47"""	"117°2'0"""	"Calle MONFERRATO"	"6701 "	" "	"Colonia SAN ANTONIO DE LOS BUENOS"	"PORTICOS DE SAN ANTONIO"	"BAJA CALIFORNIA"	"Tijuana"	"22563"
"ABI5J1100511"	"ALCOSA BIOTEC SA DE CV,"	"325130"	"Fabricación de pigmentos y colorantes sintéticos"	"Quimica"	"5J"	"Produccion de colorantes y pigmentos"	"PRODUCCION DE PIGMENTOS Y COLORANTES"		"319020.1921"	"2272705.1775"	"20°32'40"""	"100°44'9"""	"Calle Carretera Queretaro-Irapuato"	"KM.36 "	" "	"Colonia Apaseo el Grande Guanajuato"	"APASEO EL GRANDE"	"GUANAJUATO"	"Apaseo el Grande"	"38180"
"ABI861900611"	"ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO"	"331220"	"Fabricación de otros productos de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7I"	"Laminacion secundaria de hierro y acero"	"FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO"	"PARQUE INDUSTRIAL MONTERREY"	"384165.297"	"2850372.0293"	"25°46'0"""	"100°9'18"""	"Calle SEPTIMA AVENIDA"	"150 "	" "		"CIUDAD APODACA"	"NUEVO LEON"	"Apodaca"	"66603"
"ABL1902600106"	"ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV,ACUITY BRANDS LIGHTING DE MÉXICO, S. DE R.L. DE C.V."	"335110"	"Fabricación de focos"	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"ENSAMBLE Y PINTURA DE COMPONENTES Y SISSTEMAS DE ILUMINACIÓN"	"PARQUE KALOS DE GUADALUPE"	"384151.6988"	"2839210.2649"	"25°39'57"""	"100°9'15"""	"Calle URANIO"	"704 "	" "		"LAS ESCOBAS"	"NUEVO LEON"	"Guadalupe"	"67205"
"ABPMC1000711"	"ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V."	"311110"	"Elaboración de alimentos para animales"	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCION DE ACEITE Y GRASAS VEGETALES"		"652397.6267"	"2827132.419"	"25°33'13"""	"103°28'58"""	"Boulevard BLVD. MIGUEL ALEMAN"	"SN KM 11.40"	" "	"Ciudad ZONA CENTRO"	"GOMEZ PALACIO"	"DURANGO"	"Gomez Palacio"	"35000"
"ABS7T0503011"	"ALUMINIO Y BRONCES DE SALTILLO, S.A. DE C.V.,"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas"	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"MOLDEO POR FUNDICION DE PIEZAS NO FERROSAS"		"299131.8522"	"2818063.5761"	"25°27'57"""	"100°59'52"""	"Calle PRIMERA"	"1000 "	" "	"Colonia NAZARIO S ORTIZ GARZA"	"SALTILLO"	"COAHUILA"	"Saltillo"	"25100"
"ACAKE1700711"	"AUTO CAM, S.A. DE C.V.,AUTO CAM"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"VENTA DE VEHICULOS, Y CAMIONETAS NUEVOS"		"480184.6392"	"2091793.5837"	"18°55'5"""	"99°11'17"""	"Calle PASEO CUAUHNAHUAC"	"818 "	" "	"Colonia BUGAMBILIAS"	"CUERNAVACA"	"MORELOS"	"Cuernavaca"	"62468"
"ACAKE1903911"	"AUTOMOVILES Y CAMIONES, S.A. DE C.V.,"	"811111"	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"VENTA DE AUTOMOVILES Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ"		"368207.251"	"2844010.8106"	"25°42'29"""	"100°18'48"""	"Calle ALFONSO  REYES"	"3635 "	" "	"Colonia DEL NORTE"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64500"
"ACARP2300511"	"AEROPUERTO DE CANCUN SA DE CV,AEROPUERTO DE CANCUN SA DE CV"	"488112"	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"ADMINISTRACION DE AEROPUERTOS Y HELIPUERTOS"		"513116.4051"	"2326576.6634"	"21°2'23"""	"86°52'25"""	"Boulevard CANCUN-CHETUMAL APTO INTERNACIONAL DE CA"	"KM 22 "	" "	"Colonia CANCUN (INTERNACIONAL DE CANCUN)"	"CANCUN"	"QUINTANA ROO"	"Benito Juarez"	"77569"
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	"311811"	"Panificación industrial"	"Alimenticio y/o de consumo humano"	"2A"	"Panaderias"	"PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN"		"757728.3899"	"2074201.9749"	"18°44'36"""	"96°33'20"""	"Carretera  LA TINAJA-CORDOBA"	"KM 49 "	" "	"Rancho El limón"	"CUITLAHUAC"	"VERACRUZ"	"Cuitlahuac"	"94910"
"ACA2300500033"	"MAYA MOTRIZ, S.A DE C.V,NISSAN COLOSIO"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"Comercio de automoviles y camionetas nuevas, mantenimiento , refaccciones "		"516628.5616"	"2334117.9359"	"21°6'29"""	"86°50'23"""	"Boulevard LUIS DONALDO COLOSIO, LOTE 1 MZA 5 SUPERMANZANA 310"	"SMZA 310 MZA 5 LOTE 1 "	" "	"Supermanzana SUPERMANZANA 310"	"CANCUN"	"QUINTANA ROO"	"Benito Juarez"	"77500"
"ACA2300800026"	"MAYA MOTRIZ, S.A DE C.V,NISSAN PLAYA"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"COMERCIO AL POR MENOR DE PARTES Y REFACCIONES NUEVAS PARA AUTOS , CAMIONETAS Y CAMIONES"		"492094.4221"	"2282010.0039"	"20°38'14"""	"87°4'33"""	"Carretera FEDERAL TULUM-CANCUN LOTE 1"	"MZA 104 "	" "	"Ciudad Playa del Carmen"	"PLAYA DEL CARMEN"	"QUINTANA ROO"	"Solidaridad"	"77710"
"ACA460801121"	"ATHLETIC DE CAMARGO SA DE CV,RUSSELL ATHLETIC DE CAMARGO"	"315229"	"Confección en serie de otra ropa exterior de materiales textiles"	"Textiles, fibras e hilos"	"46"	"Confeccion de prendas de vestir"	"Confeccion de prendas de vestir"		"559668.7241"	"3100868.0645"	"28°1'54"""	"104°23'34"""	"Calle LIBERTAD"	"2 "	" "	"Colonia ABRAHAM GONZALEZ"	"SANTA ROSALIA DE CAMARGO"	"CHIHUAHUA"	"Camargo"	"33778"
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V.,"	"332610"	"Fabricación de alambre, productos de alambre y resortes"	"Metalurgica (incluye la siderurgica)"	"7F"	"Laminacion primaria de hierro y acero"	"PRODUCCIÓN DE ALAMBRE Y CABLE"		"480814.1918"	"2173184.9969"	"19°39'13"""	"99°10'58"""	"Calle KM. 17.5 CARR. TLALNEPANTLA-CUAUTITLAN"	"S/N "	" "	"Colonia EL PILAR"	"CUAUTITLAN"	"MEXICO"	"Cuautitlan"	"54879"
"ACCUB1802011"	"ASOCIACIÓN DE CONDÓMINOS DEL CONDOMINIO MAESTRO LOS FLAMINGOS, A.C.,CONDOMINIO MAESTRO LOS FLAMINGOS"	"531319"	"Otros servicios relacionados con los servicios inmobiliarios"	"Otros"	"3U"	"Descarga de aguas residuales de servicios"	"ADMINISTRACIÓN DE RÉGIMEN DE PROPIEDAD EN CONDOMINIO"		"466905.2366"	"2293223.288"	"20°44'18"""	"105°19'4"""	"Calle BLVD. COSTERO"	"900 SUR "	" "	"Colonia CONDOMINIO MAESTRO LOS FLAMINGOS"	"BUCERIAS"	"NAYARIT"	"Bahia de Banderas"	"63732"
"ACE7T2201611"	"ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V."	"331510"	"Moldeo por fundición de piezas de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO"	"Valle de Oro"	"397704.4675"	"2258374.7802"	"20°25'15"""	"99°58'49"""	"Calle CAMINO A SAN PEDRO AHUACATLAN"	"3 "	" "		"SAN JUAN DEL RIO"	"QUERETARO"	"San Juan del Rio"	"76803"
"ACE8V2500111"	"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V., PLANTA VII"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"Fabricación de arneses automotrices"	"Raúl Romanillo"	"701885.9474"	"2852258.2266"	"25°46'28"""	"108°59'12"""	"Boulevard Macario Gaxiola"	"1001 Sur"	" "		"LOS MOCHIS"	"SINALOA"	"Ahome"	"81285"
"ACIRP0801911"	"AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA"	"488112"	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"Administración de Aeropuertos y Helipuertos "		"405924.9234"	"3175401.9614"	"28°42'8"""	"105°57'47"""	"Boulevard JUAN PABLO II KM. 14"	"S/N "	" "	"Colonia AEROPUERTO"	"CHIHUAHUA"	"CHIHUAHUA"	"Chihuahua"	"31390"
"ACM3L1100711"	"AVON COSMETICS MANUFACTURING S DE RL DE CV,"	"325620"	"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"	"Quimica"	"N6"	"Produccion de perfumes, cosmeticos y similares a base de mezclas"	"PRODUCCION DE PERFUMES Y COSMETICOS"		"312151.8189"	"2266605.2252"	"20°29'19"""	"100°48'4"""	"Calle GUERRERO"	"149 "	" "	"Colonia RANCHO SECO"	"CELAYA"	"GUANAJUATO"	"Celaya"	"38090"
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V.,GERDAU CORSA"	"339999"	"Otras industrias manufactureras"	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"Fundición y Laminación de Hierro y Acero"		"486974.9934"	"2158333.185"	"19°31'10"""	"99°7'26"""	"Calle AVENIDA LA PRESA"	"2 "	" "	"Colonia SAN JUAN IXHUATEPEC"	"TLALNEPANTLA"	"MEXICO"	"Tlalnepantla de Baz"	"54187"
"ACR7X0803711"	"ALFA CRONOS SA DE CV,ALFA CRONOS S.A. DE C.V."	"325999"	"Fabricación de otros productos químicos"	"Quimica"	"8A"	"Galvanoplastia"	"RECUBRIMIENTOS METALICOS GALVANOPLASTIA Y OTROS"		"365684.4601"	"3513358.8345"	"31°44'52"""	"106°25'5"""	"Calle HERMANOS ESCOBAR"	"7046 "	"8 9 Y 10 "	"Colonia PARQUE IND. OMEGA"	"JUAREZ"	"CHIHUAHUA"	"Juarez"	"32649"
"ACSKE2402811"	"AUTOMOVILES COMPACTOS DE SAN LUIS SA DE CV,VOLKSWAGEN POTOSINA"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"venta de vehiculos y camionetas nuevos"		"293977.6009"	"2450511.0504"	"22°8'51"""	"100°59'51"""	"Avenida CUAUHTEMOC"	"880 "	" "	"Colonia BUROCRATAS"	"SAN LUIS POTOSI"	"SAN LUIS POTOSI"	"San Luis Potosi"	"78270"
"ACT7X0200311"	"ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V."	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"8A"	"Galvanoplastia"	"ACABADOS DE SUPERFICIES METÁLICAS"		"535245.451"	"3601273.961"	"32°32'53"""	"116°37'28"""	"Calle KM. 3  CARR. TECATE-ENSENADA"	"S/N "	" "	"Colonia MACLOVIO HERRERA"	"TECATE"	"BAJA CALIFORNIA"	"Tecate"	"21482"
"ACUKE1903911"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS CUMBRES"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		"360388.4875"	"2846268.5564"	"25°43'39"""	"100°23'30"""	"Calle PASEO DE LOS TRIUNFADORES"	"3231 "	" "	"Colonia LAS CUMBRES 8 SECTOR"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64610"
"ACUKE1903921"	"AUTOMOTORES CUMBRES S.A. DE C.V.,"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Venta de Automóviles y Refacciones Servicio de Mantto. Automotriz"		"360044.9942"	"2846175.9992"	"25°43'36"""	"100°23'42"""	"Calle AV. PASEO DE LOS LEONES"	"3200 "	" "	"Colonia BOSQUES DE LAS CUMBRES"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64360"
"ACUKE1904811"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS SANTA CATARINA"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Venta de vehículos y refacciones, servicio de mantto. automotriz, hojalatería y pintura"		"356673.6309"	"2840431.2097"	"25°40'28"""	"100°25'41"""	"Boulevard GUSTAVO DIAZ ORDAZ"	"150 "	" "	"Colonia LA FAMA"	"CIUDAD SANTA CATARINA"	"NUEVO LEON"	"Santa Catarina"	"66100"
"ACU1903900043"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,AUTOPOLIS NISSAN GONZALITOS"	"468111"	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Comercio al por menor de automóviles y camionetas nuevos / servicio de mantto. automotriz"		"364394.9349"	"2841476.0533"	"25°41'5"""	"100°21'4"""	"Avenida JOSE ELEUTERIO GONZALEZ"	"655 NTE. "	" "	"Colonia GONZALITOS"	"MONTERREY"	"NUEVO LEON"	"Monterrey"	"64020"
"ACV5H1605311"	"ALKEMIN, S. DE R.L. DE C.V.,"	"325190"	"Fabricación de otros productos químicos básicos orgánicos"	"Quimica"	"5H"	"Produccion de acidos organicos"	"PRODUCCIÓN DE ÁCIDOS, BASES Y SALES ORGÁNICAS"		"268038.7328"	"2179547.6628"	"19°41'51"""	"101°12'46"""	"Calle MARTIN MONGE"	"307 "	" "	"Colonia NUEVA VALLADOLID"	"MORELIA"	"MICHOACAN"	"Morelia"	"58190"
"ADH5G2901511"	"ADHESIVOS, S.A. DE C.V.,"	"325999"	"Fabricación de otros productos químicos"	"Quimica"	"5Q"	"Produccion de resinas sinteticas"	"La produccion, venta y almacenamiento de Resinas, Formol, Hexamina y Paraformol"	"Corredor  Industrial Ixtacuixtla"	"563597.5116"	"2135308.4781"	"19°18'38"""	"98°23'40"""	"Calle Carretera Texmelucan-Tlaxcala"	"6.5 km"	" "		"VILLA MARIANO MATAMOROS"	"TLAXCALA"	"Ixtacuixtla de Mariano Matamoros"	"90120"
"ADLSE0706211"	"ACUAGRANJAS DOS LAGOS SA DE CV,ACUAGRANJA DOS LAGOS SA DE CV"	"311110"	"Elaboración de alimentos para animales"	"Quimica"	"64"	"Produccion de aceites esenciales"	"FABRICACION DE HARINA Y BIODISEL"		"447538.8616"	"1937487.6606"	"17°31'22"""	"93°29'39"""	"Camino vecinal al ejido bajo Amacohite"	"SN "	" "	"Ejido Bajo Amacohite"	"OSTUACAN"	"CHIAPAS"	"Ostuacan"	"29550"
"AEC0801900362"	"ALTEC ELECTRONICA CHIHUAHUA S.A. DE C.V.,ALTEC ELECTRONICA CHIHUAHUA SA DE CV PARQUE TECNOLOGICO BAFAR"	"336320"	"Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores"	"Equipos y articulos electronicos, electricos y domesticos"	"91"	"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos"	"Manufactura de componentes electronicos para la industria automotriz"	"PARQUE TECNOLOGICO BAFAR"	"389239.416"	"3161444.6151"	"28°34'30"""	"106°7'57"""	"Avenida SILVESTRE TERRAZAS"	"12811 "	"1 "		"CHIHUAHUA"	"CHIHUAHUA"	"Chihuahua"	"31415"
"AEEBU0900711"	"ALUMINIO EXTRUIDO EXTRAL, S.A. DE C.V.,PLANTA 2"	"332810"	"Recubrimientos y terminados metálicos"	"Quimica"	"QU"	"Anodizado de aluminio"	"FABRICACIÓN DE PERFILES DE ALUMINIO Y ACABADO"		"492422.9851"	"2139727.7787"	"19°21'5"""	"99°4'19"""	"Calle ESPANA"	"NO. 409 "	" "	"Colonia GRANJAS ESTRELLA"	"IZTAPALAPA"	"DISTRITO FEDERAL"	"Iztapalapa"	"09880"
"AEEBU0900712"	"ALUMINIO EXTRUIDO EXTRAL, S.A. DE C.V.,ALUMINIO EXTRAL"	"331310"	"Industria básica del aluminio"	"Metalurgica (incluye la siderurgica)"	"7Q"	"Afinacion y laminacion de aluminio"	"FABRICACIÓN DE PERFILES DE ALUMINIO"		"495091.171"	"2139296.7393"	"19°20'51"""	"99°2'48"""	"Calle ESPAÑA"	"400 "	" "	"Colonia GRANJAS ESTRELLA Y/O SAN NICOLAS TOLENTINO"	"IZTAPALAPA"	"DISTRITO FEDERAL"	"Iztapalapa"	"09880"
"AEMSP0805111"	"AGNICO EAGLE MEXICO SA DE CV,AGNICO EAGLE"	"212221"	"Minería de oro"	"Metalurgica (incluye la siderurgica)"	"12"	"Mineria de oro"	"EXTRACCIÓN Y BENEFICIO DE MINERAL"		"764974.4744"	"3130437.2607"	"28°16'23"""	"108°17'55"""	"Calle CONOCIDO"	"S/N "	" "	"Colonia OCAMPO"	"MELCHOR OCAMPO"	"CHIHUAHUA"	"Ocampo"	"33320"
