"NRA"	"NOMBRE"	"SCIAN"	"DESCRIPCIÓN SCIAN"	"SECTOR"	"CLAVE
AMBIENTAL"	"SUBSECTOR"	"PRINCIPAL ACTIVIDAD PRODUCTIVA"	"PARQUE INDUSTRIAL"	"COORDENADA
UTM X"	"COORDENADA
UTM Y"	"LATITUD NORTE"	"LONGITUD 
OESTE"	"CALLE"	"NÚM. EXT"	"NÚM. INT"	"COLONIA"	"LOCALIDAD"	"ESTADO"	"MUNICIPIO"	"C.P."
"AAM9M1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO"	336350	"Fabricación de partes de sistemas de transmisión para vehículos automotores"	"Automotriz"	"9M"	"Produccion de otras auto partes"	"COMERCIALIZADORA DE EJES Y AUTOPARTES"		254545.9119	2311788.66	"20°53'24"""	"101°21'34"""	"Calle AVENIDA DE LOS COMERCIANTES"	"1300 "	" "	"Colonia PARQUE INDUSTRIAL FIPASI"	"SILAO DE LA VICTORIA"	"Guanajuato"	"Silao de la Victoria"	"36100"
"AAO1409800253"	"ASSA ABLOY OCCIDENTE, SA DE CV,"	332510	"Fabricación de herrajes y cerraduras"	"Cemento y Cal"	"81"	"Produccion de cerraduras, candados y llaves"	"FABRICACION Y COMERCIALIZACION DE CERRADURAS"		666492.136	2279753.1929	"20°36'34"""	"103°24'8"""	"Periférico Anillo Periferico Sur"	"7980 "	"EDIFICIO 2B "	"Colonia SANTA MARIA TEQUEPEXPAN"	"TLAQUEPAQUE"	"Jalisco"	"San Pedro Tlaquepaque"	"45601"
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,RIVERO GOMEZ MORIN"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		363513.1086	2837197.5503	"25°38'46"""	"100°21'34"""	"Avenida Gomez Morin"	"402 "	"12A "	"Colonia Villas de Aragon"	"SAN PEDRO GARZA GARCIA"	"Nuevo León"	"San Pedro Garza García"	"66273"
"AAUEE1901911"	"ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz"		362826.2733	2838279.078	"25°39'21"""	"100°21'59"""	"Calzada  DEL VALLE"	"340 OTE "	" "	"Colonia DEL VALLE"	"SAN PEDRO GARZA GARCIA"	"Nuevo León"	"San Pedro Garza García"	"66220"
"AAU1901900044"	"ACCESO AUTOMOTRIZ SA DE CV,AUDI VASCONCELOS"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz"		360555.6658	2838396.4318	"25°39'24"""	"100°23'21"""	"Avenida JOSE VASCONCELOS"	"1552 "	" "	"Colonia JARDINES DE MIRASIERRA"	"SAN PEDRO GARZA GARCIA"	"Nuevo León"	"San Pedro Garza García"	"66236"
"AAU2112800014"	"AUDI MEXICO, S.A DE C.V.,AUDI AUTOMOTIVE"	336110	"Fabricación de automóviles y camionetas"	"Automotriz"	"9G"	"Produccion de automoviles, camiones, tractocamiones y similares"	"FABRICACION DE AUTOMOVILES Y CAMIONETAS"	"SAN JOSE  CHIAPA"	631151.4602	2125346.2759	"19°13'2"""	"97°45'8"""	"Boulevard Q5"	"1 "	" "		"SAN JOSE CHIAPA"	"Puebla"	"San José Chiapa"	"75012"
"AAY3104400003"	"ADMINISTRACION AGROPECUARIA DE YUCATAN, S.P.R. DE R.L. DE C.V.,GRANJA SANTA MARIA 1"	112211	"Explotación de porcinos en granja"	"Alimenticio y/o de consumo humano"	"1M"	"Matanza de ganado y aves"	"Cría y engorda de cerdos y borregos en granja"		189544.4284	2314352.9247	"20°54'12"""	"89°59'3"""	"Carretera KM3+100 DE LA  KINCHIL-CELESTUN"	"S/N "	" "	"Ninguno NINGUNO"	"KINCHIL"	"Yucatán"	"Kinchil"	"97360"
"AAZEE0900211"	"ANGAR AZCAPOTZALCO S.A. DE C.V.,ANGAR AZCAPOTZALCO"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"VENTA DE AUTOMÓVILES Y TALLER AUTOMOTRIZ"		481717.006	2154350.8162	"19°29'1"""	"99°10'27"""	"Calle AV. DE LAS GRANJAS"	"NO.473 "	" "	"Colonia BARRIO JAGUEY"	"AZCAPOTZALCO"	"Ciudad de México"	"Azcapotzalco"	"02530"
"ABA1605200103"	"AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V."	325310	"Fabricación de fertilizantes"	"Quimica"	"5N"	"Produccion de fertilizantes quimicos"	"PRODUCCIÓN DE FERTILIZANTES QUIMICOS"	"CENTRO"	799017.2929	1983869.6107	"17°55'20"""	"102°10'39"""	"Calle Sin Numero"	"SIN NUMERO "	"SIN NUMERO "		"CIUDAD LAZARO CARDENAS"	"Michoacán de Ocampo"	"Lázaro Cárdenas"	"60950"
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V.,AUSTIN BACIS"	325920	"Fabricación de explosivos"	"Quimica"	"62"	"Produccion de explosivos"	"FABRICACION DE EXPLOSIVOS"		635820.9142	2845202.2087	"25°43'6"""	"103°38'46"""	"Camino DOM. CONOCIDO, DINAMITA"	"SN "	" "	"Ejido DINAMITA"	"GOMEZ PALACIO"	"Durango"	"Gómez Palacio"	"35100"
"ABCHM0900411"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	622311	"Hospitales del sector privado de otras especialidades médicas"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		470268.7949	2140333.0675	"19°21'24"""	"99°16'59"""	"Calle CARLOS GRAEF FERANDEZ"	"154 "	" "	"Colonia TLAXALA SANTA FE"	"CUAJIMALPA DE MORELOS"	"Ciudad de México"	"Cuajimalpa de Morelos"	"05300"
"ABCHM0901021"	"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER I.A.P.,CENTRO MÉDICO ABC"	622111	"Hospitales generales del sector privado"	"Servicios de salud y de asistencia"	"HM"	"Hospitales"	"Servicios médicos y hospitalarios"		478549.0421	2145130.6186	"19°24'0"""	"99°12'15"""	"Calle SUR  136"	"116 "	" "	"Colonia LAS AMERICAS"	"ALVARO OBREGON"	"Ciudad de México"	"Álvaro Obregón"	"01120"
"ABC0200402352"	"ALUMINIO DE BAJA CALIFORNIA SA DE CV,ALUMINIO DE BAJA CALIFORNIA PLANTA TRANSFORMADORA"	331520	"Moldeo por fundición de piezas metálicas no ferrosas"	"Metalurgica (incluye la siderurgica)"	"ND"	"Fundicion  y moldeo de piezas de metales no ferrosos"	"Centro de acopio, valorizacion y reciclaje de metales no ferrosos"		496783.8089	3587477.0156	"32°25'27"""	"117°2'3"""	"Carretera  TIJUANA-ROSARITO"	"14040 "	" "	"Colonia SAN ANTONIO"	"TIJUANA"	"Baja California"	"Tijuana"	"22114"
"ABE1Z0801911"	"AMERICAN BEEF, S.A. DE C.V.,"	311613	"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"	"Alimenticio y/o de consumo humano"	"1P"	"Produccion de embutidos y conservas de carnes"	"Elaboración de otros alimentos"	"COMPLEJO INDUSTRIAL CHIHUAHUA"	389917.4402	3177305.1613	"28°43'6"""	"106°7'37"""	"Calle RET.PABLO NERUDA"	"107 "	" "		"CHIHUAHUA"	"Chihuahua"	"Chihuahua"	"31109"
"ABI5J1100511"	"ALCOSA BIOTEC SA DE CV,"	325130	"Fabricación de pigmentos y colorantes sintéticos"	"Quimica"	"5J"	"Produccion de colorantes y pigmentos"	"PRODUCCIÓN DE PIGMENTOS Y COLORANTES "	"APASEO EL GRANDE GUANAJUATO "	319004.7963	2272758.5099	"20°32'42"""	"100°44'10"""	"Carretera Autopista 45 Querétaro-Irapuato "	"KM.36 sin numero"	" "		"APASEO EL GRANDE"	"Guanajuato"	"Apaseo el Grande"	"38180"
"ABL1902600106"	"ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV,ACUITY BRANDS LIGHTING DE MÉXICO, S. DE R.L. DE C.V."	335110	"Fabricación de focos"	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"ENSAMBLE Y PINTURA DE COMPONENTES Y SISSTEMAS DE ILUMINACIÓN"	"PARQUE KALOS DE GUADALUPE"	384151.6988	2839210.2649	"25°39'57"""	"100°9'15"""	"Calle URANIO"	"704 "	" "		"LAS ESCOBAS"	"Nuevo León"	"Guadalupe"	"67205"
"ABL911904611"	"ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV, PLANTA MEZQUITAL,ACUITY BRANDS LIGHTING DE MÉXICO, S.A. DE C.V."	335110	"Fabricación de focos"	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"ENSAMBLE Y COMERCIALIZACIÓN DE LUMINARIAS Y COMPONENTES "		375705.0143	2848173.6303	"25°44'46"""	"100°14'21"""	"Calle AV. DE LOS PARQUES"	"320 "	" "	"Colonia FRACC. INDUSTRIAL LOS PARQUES"	"SAN NICOLAS DE LOS GARZA"	"Nuevo León"	"San Nicolás de los Garza"	"66445"
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV,ACUITY BRANDS LIGHTING DE MÉXICO"	335110	"Fabricación de focos"	"Equipos y articulos electronicos, electricos y domesticos"	"92"	"Produccion de focos y tubos de iluminacion"	"FABRICACIÓN Y ENSAMBLE DE LUMINARIA"	"PARQUE INDUSTRIAL LA SILLA"	384453.463	2842271.1547	"25°41'37"""	"100°9'5"""	"Calle AVENIDA LA SILLA"	"7711 "	" "		"GUADALUPE"	"Nuevo León"	"Guadalupe"	"67193"
"ABPMC1000711"	"ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V."	311222	"Elaboración de aceites y grasas vegetales comestibles"	"Quimica"	"MC"	"Fabricacion de aceites y grasas alimenticias"	"PRODUCCION DE ACEITE Y GRASAS VEGETALES"		652397.6267	2827132.419	"25°33'13"""	"103°28'58"""	"Boulevard BLVD. MIGUEL ALEMAN"	"SN KM 11.40"	" "	"Ciudad ZONA CENTRO"	"GOMEZ PALACIO"	"Durango"	"Gómez Palacio"	"35000"
"ACABF2102111"	"AB CALSA S.A. DE C.V.,"	311992	"Elaboración de levadura"	"Alimenticio y/o de consumo humano"	"2A"	"Panaderias"	"PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN"		547151.5808	2050450.2697	"18°32'39"""	"98°33'11"""	"Carretera  CARR. FEDERAL IZUCAR -ATENCINGO "	"S/N "	" "	"Colonia ATZALA"	"ATZALA"	"Puebla"	"Atzala"	"74590"
"ACAKE1903911"	"AUTOMOVILES Y CAMIONES, S.A. DE C.V.,"	811111	"Reparación mecánica en general de automóviles y camiones"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"VENTA DE AUTOMOVILES Y REFACCIONES Y SERVICIO DE MANTTO. AUTOMOTRIZ"		368207.251	2844010.8106	"25°42'29"""	"100°18'48"""	"Calle ALFONSO  REYES"	"3635 "	" "	"Colonia DEL NORTE"	"MONTERREY"	"Nuevo León"	"Monterrey"	"64500"
"ACARP2300511"	"AEROPUERTO DE CANCUN,"	488112	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"ADMINISTRACIÓN DE AEROPUERTOS Y HELIPUERTOS"		513223.3439	2326600.0324	"21°2'24"""	"86°52'21"""	"Carretera  CANCUN CHETUMAL"	"KM 22 "	" "	"Colonia AEROPUERTO CANCUN (INTERNACIONAL DE CANCUN)"	"CANCUN"	"Quintana Roo"	"Benito Juárez"	"77569"
"ACAS73005311"	"AB CALSA S.A. DE C.V.,"	311811	"Panificación industrial"	"Alimenticio y/o de consumo humano"	"2A"	"Panaderias"	"PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN"		757728.3899	2074201.9749	"18°44'36"""	"96°33'20"""	"Carretera  LA TINAJA-CORDOBA"	"KM 49 "	" "	"Rancho El limón"	"CUITLAHUAC"	"Veracruz de Ignacio de la Llave"	"Cuitláhuac"	"94910"
"ACA2300500033"	"MAYA MOTRIZ, S.A DE C.V,NISSAN CANCUN"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio de automoviles y camionetas nuevas, mantenimiento , refaccciones "		516628.5616	2334117.9359	"21°6'29"""	"86°50'23"""	"Boulevard LUIS DONALDO COLOSIO, LOTE 1 MZA 5 SUPERMANZANA 310"	"SMZA 310 MZA 5 LOTE 1 "	" "	"Supermanzana SUPERMANZANA 310"	"CANCUN"	"Quintana Roo"	"Benito Juárez"	"77500"
"ACA3002800384"	"COMPA¿ÍA DE AGUA DEL MUNICIPIO DE BOCA DEL RIO S.A.P.I DE C. V,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES COSTA DE ORO"	222112	"Captación, tratamiento y suministro de agua realizados por el sector privado"	"Otros"	"UB"	"Suministro de servicios de luz, agua, tratamiento de aguas, drenaje ,carga y descarga y ot"	"CAPACITACIÓN, TRATAMIENTO Y SUMINISTRO DE AGUA PARA USO DOMESTICO"		805274.2945	2120251.1551	"19°9'9"""	"96°5'52"""	"Calle Mojarra"	"SN "	" "	"Fracción COSTA DE ORO"	"VERACRUZ"	"Veracruz de Ignacio de la Llave"	"Boca del Río"	"94299"
"ACA3105000082"	"MAYA MOTRIZ, S.A DE C.V,NISSAN CIRCUITO"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio de Automóviles y Camionetas nuevas, Mantenimiento, Refacciones , Accesorios"		226896.3504	2324151.776	"20°59'52"""	"89°37'37"""	"Avenida CIRCUITO COLONIAS "	"S/N "	" "	"Fraccionamiento PEDREGALES DE TANLUM"	"MERIDA"	"Yucatán"	"Mérida"	"97210"
"ACA3105000083"	"MAYA MOTRIZ, S.A DE C.V,NISSAN ALTABRISA"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"COMERCIO DE AUTOMOVILES Y CAMIONETAS NUEVAS, MANTENIMIENTO Y REFACCIONES"		232145.8161	2326867.7762	"21°1'23"""	"89°34'37"""	"Calle 7 POR 18 Y 20"	"411 "	" "	"Fraccionamiento ALTABRISA"	"MERIDA"	"Yucatán"	"Mérida"	"97130"
"ACA3105000380"	"MAYA MOTRIZ, S.A DE C.V,NISSAN NORTE"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"KE"	"Reparacion y mantenimiento automotriz"	"Comercio de Automóviles y Camionetas nuevas, Mantenimiento, Refacciones , Accesorios"		226521.5333	2330170.3182	"21°3'7"""	"89°37'53"""	"Calle CARRETERA PROGRESO KM. 9.5"	"S/N "	" "	"Colonia UNIDAD HABITACIONAL REVOLUCION I (CORDEMEX)"	"MERIDA"	"Yucatán"	"Mérida"	"97110"
"ACCUB1802011"	"ASOCIACIÓN DE CONDÓMINOS DEL CONDOMINIO MAESTRO LOS FLAMINGOS, A.C.,CONDOMINIO MAESTRO LOS FLAMINGOS"	531319	"Otros servicios relacionados con los servicios inmobiliarios"	"Otros"	"S7"	"Plantas de tratamiento de aguas residuales"	"ADMINISTRACIÓN DE RÉGIMEN DE PROPIEDAD EN CONDOMINIO"		466905.2366	2293223.288	"20°44'18"""	"105°19'4"""	"Calle BLVD. COSTERO"	"900 SUR "	" "	"Colonia CONDOMINIO MAESTRO LOS FLAMINGOS"	"BUCERIAS"	"Nayarit"	"Bahía de Banderas"	"63732"
"ACE6S2901711"	"ALPHA CERAMICA S.A.P.I DE C.V.,ALPHA CERAMICA, S.A.P.I. DE C.V."	327112	"Fabricación de muebles de baño"	"Cemento y Cal"	"6S"	"Produccion de muebles ceramicos"	"FABRICACION DE MUEBLES PARA BAÑO"		585854.6461	2121310.4465	"19°10'59"""	"98°11'0"""	"Calle KM.14.8 CARRETERA VIA CORTA PUEBLA SANTA"	"S/N "	" "	"Colonia CORREDOR INDUSTRIAL MALINTZI"	"MAZATECOCHCO"	"Tlaxcala"	"Mazatecochco de José María Morelos"	"90870"
"ACE7T2201611"	"ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V."	331510	"Moldeo por fundición de piezas de hierro y acero"	"Metalurgica (incluye la siderurgica)"	"7T"	"Fundicion  y moldeo de piezas de hierro y acero"	"FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO"	"Valle de Oro"	397704.4675	2258374.7802	"20°25'15"""	"99°58'49"""	"Calle CAMINO A SAN PEDRO AHUACATLAN"	"3 "	" "		"SAN JUAN DEL RIO"	"Querétaro"	"San Juan del Río"	"76803"
"ACIRP0801911"	"AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA"	488112	"Administración de aeropuertos y helipuertos"	"Otros"	"L7"	"Servicios de administracion de aeropuertos y helipuertos"	"Administración de Aeropuertos y Helipuertos "		405924.9234	3175401.9614	"28°42'8"""	"105°57'47"""	"Boulevard JUAN PABLO II KM. 14"	"S/N "	" "	"Colonia AEROPUERTO"	"CHIHUAHUA"	"Chihuahua"	"Chihuahua"	"31390"
"ACM3L1100711"	"AVON COSMETICS MANUFACTURING  S DE RL DE CV,AVON COSMETICS MANUFACTURING S DE RL DE CV"	325620	"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"	"Quimica"	"N6"	"Produccion de perfumes, cosmeticos y similares a base de mezclas"	"PRODUCCION Y DISTRIBUCION DE PRODUCTOS COSMETICOS"		312139.2368	2266585.2465	"20°29'18"""	"100°48'4"""	"Calle GERRERO"	"149 "	" "	"Colonia RANCHO SECO"	"CELAYA"	"Guanajuato"	"Celaya"	"38090"
"ACM7X2201411"	"AERNNOVA COMPONENTES MEXICO SA DE CV,AERNNOVA COMPONENTES MEXICO S.A. DE C.V."	336410	"Fabricación de equipo aeroespacial"	"Automotriz"	"9S"	"Industria aeroespacial"	"Fabricación, reconstrucción, ensamble y subensamble de equipo aeroespacial, incluso motore"	"Querétaro"	351566.4873	2303556.029	"20°49'33"""	"100°25'35"""	"Avenida INDUSTRIA DE LA TRANSFORMACION"	"431 "	" "		"SANTA ROSA JAUREGUI"	"Querétaro"	"Querétaro"	"76220"
"ACR7X0803711"	"ALFA CRONOS, S.A. DE C.V.,"	325999	"Fabricación de otros productos químicos"	"Quimica"	"8A"	"Galvanoplastia"	"RECUBRIMIENTOS METALICOS GALVANOPLASTIA Y OTROS"	"OMEGA"	365684.4601	3513358.8345	"31°44'52"""	"106°25'5"""	"Prolongación HERMANOS ESCOBAR"	"7046 "	"8 9 Y 10 "		"JUAREZ"	"Chihuahua"	"Juárez"	"32649"
"ACUKE1903911"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS CUMBRES"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. automotriz"		360388.4875	2846268.5564	"25°43'39"""	"100°23'30"""	"Avenida Paseo de los Triunfadores"	"3231 "	" "	"Colonia Las Cumbres 8vo Sector"	"MONTERREY"	"Nuevo León"	"Monterrey"	"64610"
"ACUKE1904811"	"AUTOPOLIS CUMBRES, S.A. DE C.V.,NISSAN AUTOPOLIS SANTA CATARINA"	468111	"Comercio al por menor de automóviles y camionetas nuevos"	"Otros"	"EE"	"Centros distribuidores de autotransportes "	"Venta de vehículos y refacciones, servicio de mantto. automotriz, hojalatería y pintura"		356673.6309	2840431.2097	"25°40'28"""	"100°25'41"""	"Boulevard GUSTAVO DIAZ ORDAZ"	"150 "	" "	"Colonia LA FAMA"	"CIUDAD SANTA CATARINA"	"Nuevo León"	"Santa Catarina"	"66100"
"ADCBE3105011"	"ADCONINS, S.A. DE C.V.,GALERIAS MERIDA"	561110	"Servicios de administración de negocios"	"Otros"	"TZ"	"Centros comerciales y/o tiendas departamentales"	"SERVICIOS DE ADMINISTRACION DE NEGOCIOS"		226622.6123	2328795.0326	"21°2'22"""	"89°37'49"""	"Calle 3 ENTRE 24 Y 60"	"300 "	" "	"Colonia REVOLUCION"	"MERIDA"	"Yucatán"	"Mérida"	"97204"
"ADC0400200328"	"ADCONINS, S.A. DE C.V.,GALERIAS CAMPECHE"	561110	"Servicios de administración de negocios"	"Otros"	"TZ"	"Centros comerciales y/o tiendas departamentales"	"Servicios de administración de negocios"		759525.6609	2197520.8619	"19°51'23"""	"90°31'18"""	"Avenida PEDRO SAINZ DE BARANDA"	"139 "	"SN "	"Ciudad AH"	"SAN FRANCISCO DE CAMPECHE"	"Campeche"	"Campeche"	"24014"
"ADC2903300062"	"ADCONINS, S.A. DE C.V.,GALERIAS TLAXCALA"	561110	"Servicios de administración de negocios"	"Otros"	"TZ"	"Centros comerciales y/o tiendas departamentales"	"ADMINISTRACION DE NEGOCIOS (CENTRO COMERCIAL)"		580911.6231	2133153.1861	"19°17'25"""	"98°13'47"""	"Carretera LIBRAMIENTO PONIENTE"	"KM 8 238 AL KM 8 674.44 "	" "	"Pueblo SAN SEBASTIAN ATLAHAPA"	"SANTA MARIA ACUITLAPILCO"	"Tlaxcala"	"Tlaxcala"	"90111"
