"NRA"	"Nombre"	"Estado"	"Sector"	"Descripción"	"No. CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reuso"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición final"	"Alcantarillado"	"Otros"	"Incineración"
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"AGUASCALIENTES"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.000017936							0.000017936		
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000029518									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.000147256404									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cadmio"	"7440-43-9"	"ton/año"		0.0002096475									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.00011320965									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.00043886									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.000670872									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS"	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000036338									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000001863									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.001									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.0000000009									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cadmio"	"7440-43-9"	"ton/año"		0.000000001863									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.000000001863									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.002									
"AAL7Q1510911"	"AZINSA ALUMINIO S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.018									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.000052176									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.006									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.0000059963904									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Cadmio"	"7440-43-9"	"ton/año"		0.000014367									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Arsénico"	"7440-38-2"	"ton/año"		0.00000023362									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000085662									
"AAM5E0901411"	"FRANCISCO JOSE ALCANTARA MARTINEZ"	"DISTRITO FEDERAL"	"Otros"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00011198									
"AAM8V0800511"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V."	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	0.042										
"AAM8V0803711"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	226.938										
"AAM8V0803712"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	350.345										
"AAM8V0803715"	"AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 7"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	227.952										
"AAM952603012"	"AMP Amermex S.A. de C.V. Planta I"	"SONORA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.0000000000001				2.578						
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Bióxido de carbono"	"124-38-9"	"ton/año"	17866.203										
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.001	0.00064								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Arsénico"	"7440-38-2"	"ton/año"		0.00011511	0.00015								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Cadmio"	"7440-43-9"	"ton/año"		0.002	0.002								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.000419157025	0.005								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000011260935	0.0001								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.005	0.005								
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.004	0.004								
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000225									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Arsénico"	"7440-38-2"	"ton/año"		0.00000225									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cadmio"	"7440-43-9"	"ton/año"		0.0000375									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cloruro de metileno"	"75-09-2"	"ton/año"	0.398										
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.0004275									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000003									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.002									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00045									
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Asbesto"	"1332-21-4"	"ton/año"								0.7			
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	7820										
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00043487									
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"								35.73			
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.000000018									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000018									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Cadmio"	"7440-43-9"	"ton/año"		0.0000012									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.0000186									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.00000015									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000018									
"ABM6M1503311"	"ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V."	"MEXICO"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.0000072									
"ABP1Z2601811"	"ADM BIO PRODUCTOS S.A. DE C.V."	"SONORA"	"Otros"	"Asbesto"	"1332-21-4"	"ton/año"								204.64			
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"DURANGO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	41758.4										
"ACC5U1901211"	"ARIES COIL COATINGS S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Bióxido de carbono"	"124-38-9"	"ton/año"	798.4										
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.00015988									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000003197									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.000063955									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Cadmio"	"7440-43-9"	"ton/año"		0.000031977									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.000003197									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000031977									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00031977									
"ACE5H2402811"	"Adydsa del Centro S.A. DE C.V."	"SAN LUIS POTOSI"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	0.003										
"ACE7T2201611"	"ACERLAN S.A. DE C.V."	"QUERETARO"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	4744.671										
"ACE8V0801711"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	225.472										
"ACE8V0801711"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.00029638				0.131						
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	100.39										
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Níquel (compuestos)"	"S/C5"	"ton/año"						0.000111		0.01			
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.00045				1.307						
"ACE8V0803211"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.016				0.157						
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.00019806696									
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cadmio"	"7440-43-9"	"ton/año"		0.00006602232									
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.0006602232									
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000013204464									
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.0006602232									
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.00021927304	0.00013204464			0.024						
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	207.745										
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00013204464									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.000904	0.001					0.002	0.002			
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.00051395				0.000405					
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00001027913									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.00051395									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cadmio"	"7440-43-9"	"ton/año"		0.000051395									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.00041116									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0001027913									
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	137.37										
"ACE8V2500111"	"Alambrados y Circuitos Eléctricos S.A de C.V. ACE VII"	"SINALOA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.005										
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"QUERETARO"	"Automotriz "	"Toluen diisocianato"	"26471-62-5"	"ton/año"						0.307		0.245			
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"QUERETARO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000014928									
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"QUERETARO"	"Automotriz "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000007464									
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"QUERETARO"	"Automotriz "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.000089568									
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"QUERETARO"	"Automotriz "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000000007464									
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"QUERETARO"	"Automotriz "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.000089568									
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"QUERETARO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00002488									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	242										
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000306									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.0000051									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.00000765									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.0000255									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000102									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.0000255									
"ACL5I1901011"	"AQUA CLOR S. A. DE C. V."	"NUEVO LEON"	"Quimica"	"Cadmio"	"7440-43-9"	"ton/año"		0.00000255									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000082278									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.0000074125									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Cadmio"	"7440-43-9"	"ton/año"		0.00002965									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.00015566									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000002965									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.0002965									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.00015566									
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"QUERETARO"	"Articulos y productos plasticos "	"Fenol"	"108-95-2"	"ton/año"	0.567										
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"QUERETARO"	"Articulos y productos plasticos "	"Hidracina"	"302-01-2"	"ton/año"	0.034										
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.000434861013									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.003									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	896.9										
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Cadmio"	"7440-43-9"	"ton/año"		0.006									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.009									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00023886									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.008									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.01									
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"MEXICO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.0000003528									
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"MEXICO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000022932									
