"NRA"	"Nombre"	"Estado"	"Sector"	"Descripción"	"No. CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reuso"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición final"	"Alcantarillado"	"Otros"	"Incineración"
"AAMRP1103711"	"AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V."	"GUANAJUATO"	"Automotriz "	"Níquel (compuestos)"	"S/C5"	"ton/año"			0.002				0.011				
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000012									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cloruro de metileno"	"75-09-2"	"ton/año"	0.295										
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Arsénico"	"7440-38-2"	"ton/año"		0.000012									
"AAU5U1904611"	"ACABADOS AUTOMOTRICES S.A. DE C.V."	"NUEVO LEON"	"Pinturas y tintas "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00036									
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00043487									
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Asbesto"	"1332-21-4"	"ton/año"								0.7			
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"DURANGO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	7820										
"ABCEA0200411"	"Aluminio de Baja California SA de CV"	"BAJA CALIFORNIA"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000001026									
"ABCEA0200411"	"Aluminio de Baja California SA de CV"	"BAJA CALIFORNIA"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00008207									
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"DURANGO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	41758.4										
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.001									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000296									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.00000296									
"ACE1I1904611"	"Acerex SA de CV"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00002965									
"ACE7T2201611"	"ACERLAN S.A. DE C.V."	"QUERETARO"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	4747.843										
"ACE8V0801711"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	156.628										
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cloruro de metileno"	"75-09-2"	"ton/año"						4.381					
"ACE8V0801911"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	144.237										
"ACE8V0803211"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.002				2.315						
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	173.341										
"ACE8V0804511"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.001				0.974						
"ACE8V0805011"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.001				0.777			0.191			
"ACE9K2201111"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66"	"QUERETARO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000004062									
"ACE9K2201112"	"Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65"	"QUERETARO"	"Automotriz "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000004062									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000001283									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.0000035282									
"ACM6E0503011"	"ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V."	"COAHUILA"	"Articulos y productos plasticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00010264									
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"QUERETARO"	"Articulos y productos plasticos "	"Hidracina"	"302-01-2"	"ton/año"	0.034										
"ACM9M2201111"	"Autoliv Components Mexico S. de R.L. de C.V."	"QUERETARO"	"Articulos y productos plasticos "	"Fenol"	"108-95-2"	"ton/año"	0.567										
"ACMEA1510911"	"ADS Composites de México S.A. de C.V."	"MEXICO"	"vidrio"	"Bióxido de carbono"	"124-38-9"	"ton/año"	229.93										
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00017563									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.008									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Mercurio"	"7439-97-6"	"ton/año"		0.003									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00077605									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	996.9										
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.002									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.005									
"ACO5V1100711"	"AVON COSMETICS S. DE R.L. DE C.V."	"GUANAJUATO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.004									
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"MEXICO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.0000003528									
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"MEXICO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000022932									
"ACO5W1510411"	"ASTRO COMERCIAL S.A. DE C.V."	"MEXICO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000003528									
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000046									
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	40494.84										
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000003									
"ACO7F1510411"	"ACEROS CORSA S.A. DE C.V."	"MEXICO"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.000000046									
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	"TAMAULIPAS"	"Articulos y productos metalicos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000001425									
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	"TAMAULIPAS"	"Articulos y productos metalicos "	"Arsénico"	"7440-38-2"	"ton/año"		0.00027788									
"ACO8N2803211"	"ALCO CONTROLS S.A. DE C.V."	"TAMAULIPAS"	"Articulos y productos metalicos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000017812									
"ACOEA1510611"	"CIA ABASTECEDORA DE COMBUSTIBLE S.A. DE C.V."	"MEXICO"	"Otros"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000011									
"ACOEA1510611"	"CIA ABASTECEDORA DE COMBUSTIBLE S.A. DE C.V."	"MEXICO"	"Otros"	"Arsénico"	"7440-38-2"	"ton/año"		0.0000825									
"ACOEA1510611"	"CIA ABASTECEDORA DE COMBUSTIBLE S.A. DE C.V."	"MEXICO"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000055									
"ACORP0900311"	"AVON COSMETICS S DE R L DE C V"	"DISTRITO FEDERAL"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	1183.31										
"ACV5H1605311"	"ALKEMIN S. DE R.L. DE C.V."	"MICHOACAN"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"	0.003										
"ACV5H1605311"	"ALKEMIN S. DE R.L. DE C.V."	"MICHOACAN"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	746.388										
"ADHEA2901511"	"ADHESIVOS S.A. DE C.V."	"TLAXCALA"	"Petroleo y petroquimica "	"Bióxido de carbono"	"124-38-9"	"ton/año"	464										
"AEA910500211"	"APARATOS ELECTRICOS DE ACUÑA S.A. DE C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"					0.00078			0.00004			
"AEA910500211"	"APARATOS ELECTRICOS DE ACUÑA S.A. DE C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	284.968										
"AEA910500211"	"APARATOS ELECTRICOS DE ACUÑA S.A. DE C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Fenol"	"108-95-2"	"ton/año"								0.335			
"AEBRP2201411"	"AUTOBUSES ESTELLA BLANCA S.A. DE C.V."	"QUERETARO"	"Otros"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000056064									
"AEBRP2201411"	"AUTOBUSES ESTELLA BLANCA S.A. DE C.V."	"QUERETARO"	"Otros"	"Arsénico"	"7440-38-2"	"ton/año"		0.000033638									
"AEBRP2201411"	"AUTOBUSES ESTELLA BLANCA S.A. DE C.V."	"QUERETARO"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000056064									
"AECEA0801911"	"Visteon Electrónica Planta Altec"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.001									
"AECEA0801911"	"Visteon Electrónica Planta Altec"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.001									
"AEJ9M0803712"	"Autoelectronica de Juárez S.A de C.V.Planta II"	"CHIHUAHUA"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	15752.772										
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.004			23.58						
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.002									
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.00005989									
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00001995									
"AEM972803211"	"ALCOM ELECTRONICOS DE MEXICO, S.A. DE C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.004									
"AEMEA1507011"	"ANODIZADOS ESPECIALES DE MEXICO S.A."	"MEXICO"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.046									
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR S.A. DE C.V."	"DISTRITO FEDERAL"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00000000239									
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR S.A. DE C.V."	"DISTRITO FEDERAL"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.000000000478									
"AEO8A0901011"	"ACABADOS ELECTROLITICOS OLIVAR S.A. DE C.V."	"DISTRITO FEDERAL"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000000478									
"AES641510611"	"ACEITES ESPECIALES S.A. DE C.V."	"MEXICO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	5119.67										
"AFI7T0502711"	"ACEROS FUNDIDOS INTERNACIONALES S DE RL DE CV"	"COAHUILA"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	1.92										
"AFM910500212"	"Alcoa Fujikura de México S. de R.L. de C.V . Localidad 1"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.005										
"AFM910500213"	"Alcoa Fujikura de México S. de R.L. de C.V. - Localidad Acuña 2"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.004										
"AFM910500214"	"Alcoa Fujikura de Mexico S. de R.L. de C.V. Planta 4."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.015										
"AFM910500216"	"Alcoa Fujikura de México S. de R.L. de C.V. Planta Soporte ASP"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000097									
"AFM910500216"	"Alcoa Fujikura de México S. de R.L. de C.V. Planta Soporte ASP"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000204									
"AFM910500216"	"Alcoa Fujikura de México S. de R.L. de C.V. Planta Soporte ASP"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.0000194									
"AFMRP0500231"	"ALCOA FUJIKURA DE MEXICO S. DE R. L. DE C. V PLANTA AC3"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.005										
"AFMRP0500241"	"Alcoa Fujikura de Mexico S. de R. L. de C. V. Planta AC6"	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Plomo (compuestos)"	"S/C6"	"ton/año"	0.012							0.494			
"AFMRP0500261"	"Alcoa Fujikura de México S. de R.L de C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000000244									
"AFMRP0500261"	"Alcoa Fujikura de México S. de R.L de C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000001									
"AFMRP0500261"	"Alcoa Fujikura de México S. de R.L de C.V."	"COAHUILA"	"Equipos y articulos electronicos, electricos y domesticos "	"Arsénico"	"7440-38-2"	"ton/año"		0.000000106									
"AFOEA1403911"	"ALIMENTOS FINOS DE OCCIDENTE, S.A de C.V."	"JALISCO"	"Alimenticio y/o de consumo humano "	"Bióxido de carbono"	"124-38-9"	"ton/año"	4734										
"AGA5K1510611"	"AGA GAS S.A. DE C.V."	"MEXICO"	"Quimica"	"Metano"	"74-82-8"	"ton/año"	0.01										
"AGA5K1510611"	"AGA GAS S.A. DE C.V."	"MEXICO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00003623									
"AGDMC1412011"	"ACEITES GRASAS Y DERIVADOS S.A. DE C.V."	"JALISCO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	36234.14										
"AGEKE1304811"	"AUTOMOTRIZ GENERAL S.A. DE C.V."	"HIDALGO"	"Otros"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.002									
"AGMDA2201411"	"AGROGROW DE MEXICO SA DE CV"	"QUERETARO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.000000000536									
"AGMDA2201411"	"AGROGROW DE MEXICO SA DE CV"	"QUERETARO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000000000067									
"AGMDA2201411"	"AGROGROW DE MEXICO SA DE CV"	"QUERETARO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000000006097									
"AGOMC3105011"	"ACEITERA DEL GOLFO S.A. DE C.V."	"YUCATAN"	"Quimica"	"Bióxido de nitrógeno"	"10102-44-0"	"ton/año"	144.061										
"AGOMC3105011"	"ACEITERA DEL GOLFO S.A. DE C.V."	"YUCATAN"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	64917.152										
"AGR5N2201411"	"Agrogen S. A. de C. V."	"QUERETARO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.00002164									
"AGR5N2201411"	"Agrogen S. A. de C. V."	"QUERETARO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.00016916									
"AGR5N2201411"	"Agrogen S. A. de C. V."	"QUERETARO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.000006756									
"AGR5N2201411"	"Agrogen S. A. de C. V."	"QUERETARO"	"Quimica"	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.003									
"AGR5N2201411"	"Agrogen S. A. de C. V."	"QUERETARO"	"Quimica"	"Cromo (compuestos)"	"S/C3"	"ton/año"		0.003									
"AGR5P0801911"	"AgriEstrella S. de R.L. de C.V."	"CHIHUAHUA"	"Quimica"	"Plomo (compuestos)"	"S/C6"	"ton/año"		0.01							0.011		
"AGR5P0801911"	"AgriEstrella S. de R.L. de C.V."	"CHIHUAHUA"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	3686.958										
"AGR5P1301011"	"AGROMAQUILAS S.A. DE C.V."	"HIDALGO"	"Quimica"	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000000097321									
"AGR5P1301011"	"AGROMAQUILAS S.A. DE C.V."	"HIDALGO"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000000097321									
"AGR5P1301011"	"AGROMAQUILAS S.A. DE C.V."	"HIDALGO"	"Quimica"	"Arsénico"	"7440-38-2"	"ton/año"		0.0000000097321									
"AHSM91800111"	"AMADO H. SIERRA Y HNO. S. A. DE C. V."	"NAYARIT"	"Petroleo y petroquimica "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.00000025									
"AHSM91800111"	"AMADO H. SIERRA Y HNO. S. A. DE C. V."	"NAYARIT"	"Petroleo y petroquimica "	"Arsénico"	"7440-38-2"	"ton/año"		0.0000375									
"AHSM91800111"	"AMADO H. SIERRA Y HNO. S. A. DE C. V."	"NAYARIT"	"Petroleo y petroquimica "	"Benceno"	"71-43-2"	"ton/año"	0.053										
"AHSM91800111"	"AMADO H. SIERRA Y HNO. S. A. DE C. V."	"NAYARIT"	"Petroleo y petroquimica "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.0000625									
"AHUEA1403921"	"ACOJINADOS Y HULES S.A. DE C.V."	"JALISCO"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	631.052										
"AIM9M2111411"	"AUTOTEK INDUSTRIAL DE MEXICO S.A. DE C.V."	"PUEBLA"	"Automotriz "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.014									
"AIN9M1902611"	"ACS INTERNACIONAL S. DE R.L DE C.V."	"NUEVO LEON"	"Equipos y articulos electronicos, electricos y domesticos "	"Bióxido de carbono"	"124-38-9"	"ton/año"	2405.56										
"AINMD1902611"	"ACS Internacional S. de R.L de C.V"	"NUEVO LEON"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	298.543										
"AIP9M2802211"	"Auto Industrial de Partes S.A. de C.V."	"TAMAULIPAS"	"Automotriz "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000000000001									
"AIP9M2802211"	"Auto Industrial de Partes S.A. de C.V."	"TAMAULIPAS"	"Automotriz "	"Arsénico"	"7440-38-2"	"ton/año"		0.000000000001									
"AJA5W0900511"	"ACEITES Y JABONES. S. A. de C .V."	"DISTRITO FEDERAL"	"Quimica"	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.000000465									
"ALE7L0502711"	"ALEAZIN S.A de C.V"	"COAHUILA"	"Metalurgica (incluye la siderurgica) "	"Bióxido de carbono"	"124-38-9"	"ton/año"	2426.32										
"ALM5T0901411"	"ABBOTT LABORATORIES DE MEXICO S.A. DE C.V."	"DISTRITO FEDERAL"	"Quimica"	"Bióxido de carbono"	"124-38-9"	"ton/año"	4050.67										
"ALM8T2803211"	"Ametek Lamb Motores de México S.A. de C.V."	"TAMAULIPAS"	"Equipos y articulos electronicos, electricos y domesticos "	"Estireno (fenil etileno)"	"100-42-5"	"ton/año"						0.11		0.11			
"ALMEA1411911"	"ALMERIA S.A. DE C.V."	"JALISCO"	"Metalurgica (incluye la siderurgica) "	"Níquel (compuestos)"	"S/C5"	"ton/año"		0.003									
"ALMEA1411911"	"ALMERIA S.A. DE C.V."	"JALISCO"	"Metalurgica (incluye la siderurgica) "	"Mercurio (compuestos)"	"S/C4"	"ton/año"		0.0000059355									
"ALMEA1411911"	"ALMERIA S.A. DE C.V."	"JALISCO"	"Metalurgica (incluye la siderurgica) "	"Arsénico"	"7440-38-2"	"ton/año"		0.001									
"ALMEA1411911"	"ALMERIA S.A. DE C.V."	"JALISCO"	"Metalurgica (incluye la siderurgica) "	"Cianuro inorgánico/orgánico"	"57-12-5"	"ton/año"		0.001									
