anio	cas	em_agua	em_aire	em_suelo	estado	gruposustancia	municipio	nombre	nra	sector	sustancia	tr_alcantarillado	tr_coprocesamiento	tr_dispfinal	tr_incineracion	tr_otros	tr_reciclado	tr_reutilizacion	tr_tratamiento	unidad
2005	7440-43-9	1.4367e-05			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Cadmio									ton/año
2005	7440-38-2	2.3362e-07			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Arsénico									ton/año
2005	57-12-5	8.5662e-06			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Cianuro inorgánico/orgánico									ton/año
2005	S/C6	0.00011198			DISTRITO FEDERAL	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	AAM5E0901411	Otros	Plomo (compuestos)									ton/año
2005	124-38-9		0.042		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V.	AAM8V0800511	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	124-38-9		226.938		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1	AAM8V0803711	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	124-38-9		350.345		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2	AAM8V0803712	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	124-38-9		227.952		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 7	AAM8V0803715	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	S/C6		1e-13		SONORA	Atributo no considerado en este año	Atributo no considerado en este año	AMP Amermex S.A. de C.V. Planta I	AAM952603012	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)						2.578			ton/año
2005	124-38-9		17866.203		GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Bióxido de carbono									ton/año
2005	57-12-5	0.001		0.00064	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Cianuro inorgánico/orgánico									ton/año
2005	7440-38-2	0.00011511		0.00015	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Arsénico									ton/año
2005	7440-43-9	0.002		0.002	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Cadmio									ton/año
2005	S/C3	0.000419157025		0.005	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Cromo (compuestos)									ton/año
2005	S/C4	1.1260935e-05		0.0001	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Mercurio (compuestos)									ton/año
2005	S/C5	0.005		0.005	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Níquel (compuestos)									ton/año
2005	S/C6	0.004		0.004	GUANAJUATO	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	AAMRP1103711	Automotriz 	Plomo (compuestos)									ton/año
2005	57-12-5	0.000225			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Cianuro inorgánico/orgánico									ton/año
2005	7440-38-2	2.25e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Arsénico									ton/año
2005	7440-43-9	3.75e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Cadmio									ton/año
2005	75-09-2		0.398		NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Cloruro de metileno									ton/año
2005	S/C3	0.0004275			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Cromo (compuestos)									ton/año
2005	S/C4	3e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Mercurio (compuestos)									ton/año
2005	S/C5	0.002			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Níquel (compuestos)									ton/año
2005	S/C6	0.00045			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS AUTOMOTRICES S.A. DE C.V.	AAU5U1904611	Pinturas y tintas 	Plomo (compuestos)									ton/año
2005	1332-21-4				DURANGO	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS S.A. DE C.V.	ABA621000711	Quimica	Asbesto			0.7						ton/año
2005	124-38-9		7820.0		DURANGO	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS S.A. DE C.V.	ABA621000711	Quimica	Bióxido de carbono									ton/año
2005	7440-38-2	0.00043487			DURANGO	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS S.A. DE C.V.	ABA621000711	Quimica	Arsénico									ton/año
2005	S/C6				DURANGO	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS S.A. DE C.V.	ABA621000711	Quimica	Plomo (compuestos)			35.73						ton/año
2005	7440-38-2	1.8e-08			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Arsénico									ton/año
2005	57-12-5	1.8e-07			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Cianuro inorgánico/orgánico									ton/año
2005	7440-43-9	1.2e-06			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Cadmio									ton/año
2005	S/C6	1.86e-05			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Plomo (compuestos)									ton/año
2005	S/C3	1.5e-07			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Cromo (compuestos)									ton/año
2005	S/C4	1.8e-08			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Mercurio (compuestos)									ton/año
2005	S/C5	7.2e-06			MEXICO	Atributo no considerado en este año	Atributo no considerado en este año	ACOGINAMIENTOS BLOQUES Y MAQUILA DE POLIURETANOS S.A. DE C.V.	ABM6M1503311	Quimica	Níquel (compuestos)									ton/año
2005	1332-21-4				SONORA	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS S.A. DE C.V.	ABP1Z2601811	Otros	Asbesto			204.64						ton/año
2005	124-38-9		41758.4		DURANGO	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS S.A. DE C.V.	ABPMC1000711	Quimica	Bióxido de carbono									ton/año
2005	124-38-9		798.4		NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	ARIES COIL COATINGS S.A. DE C.V.	ACC5U1901211	Pinturas y tintas 	Bióxido de carbono									ton/año
2005	S/C5	0.00015988			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Níquel (compuestos)									ton/año
2005	S/C4	3.197e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Mercurio (compuestos)									ton/año
2005	S/C3	6.3955e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Cromo (compuestos)									ton/año
2005	7440-43-9	3.1977e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Cadmio									ton/año
2005	7440-38-2	3.197e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Arsénico									ton/año
2005	57-12-5	3.1977e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Cianuro inorgánico/orgánico									ton/año
2005	S/C6	0.00031977			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	Acerex SA de CV	ACE1I1904611	Metalurgica (incluye la siderurgica) 	Plomo (compuestos)									ton/año
2005	124-38-9		0.003		SAN LUIS POTOSI	Atributo no considerado en este año	Atributo no considerado en este año	Adydsa del Centro S.A. DE C.V.	ACE5H2402811	Quimica	Bióxido de carbono									ton/año
2005	124-38-9		4744.671		QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	ACERLAN S.A. DE C.V.	ACE7T2201611	Metalurgica (incluye la siderurgica) 	Bióxido de carbono									ton/año
2005	124-38-9		225.472		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV	ACE8V0801711	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	S/C6		0.00029638		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta IV	ACE8V0801711	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)						0.131			ton/año
2005	124-38-9		100.39		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I	ACE8V0801911	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	S/C5				CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I	ACE8V0801911	Equipos y articulos electronicos, electricos y domesticos 	Níquel (compuestos)		0.000111	0.01						ton/año
2005	S/C6		0.00045		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta I	ACE8V0801911	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)						1.307			ton/año
2005	S/C6		0.016		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta X	ACE8V0803211	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)						0.157			ton/año
2005	7440-38-2	0.00019806696			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Arsénico									ton/año
2005	7440-43-9	6.602232e-05			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Cadmio									ton/año
2005	S/C3	0.0006602232			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Cromo (compuestos)									ton/año
2005	S/C4	1.3204464e-05			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Mercurio (compuestos)									ton/año
2005	S/C5	0.0006602232			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Níquel (compuestos)									ton/año
2005	S/C6	0.00013204464	0.00021927304		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)						0.024			ton/año
2005	124-38-9		207.745		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	57-12-5	0.00013204464			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta VI	ACE8V0804511	Equipos y articulos electronicos, electricos y domesticos 	Cianuro inorgánico/orgánico									ton/año
2005	S/C6	0.001	0.000904		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)			0.002					0.002	ton/año
2005	S/C5	0.00051395			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Níquel (compuestos)		0.000405							ton/año
2005	S/C4	1.027913e-05			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Mercurio (compuestos)									ton/año
2005	S/C3	0.00051395			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Cromo (compuestos)									ton/año
2005	7440-43-9	5.1395e-05			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Cadmio									ton/año
2005	7440-38-2	0.00041116			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Arsénico									ton/año
2005	57-12-5	0.0001027913			CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Cianuro inorgánico/orgánico									ton/año
2005	124-38-9		137.37		CHIHUAHUA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. Planta II	ACE8V0805011	Equipos y articulos electronicos, electricos y domesticos 	Bióxido de carbono									ton/año
2005	S/C6		0.005		SINALOA	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos S.A de C.V. ACE VII	ACE8V2500111	Equipos y articulos electronicos, electricos y domesticos 	Plomo (compuestos)									ton/año
2005	26471-62-5				QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66	ACE9K2201111	Automotriz 	Toluen diisocianato		0.307	0.245						ton/año
2005	57-12-5	1.4928e-05			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66	ACE9K2201111	Automotriz 	Cianuro inorgánico/orgánico									ton/año
2005	S/C4	7.464e-07			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66	ACE9K2201111	Automotriz 	Mercurio (compuestos)									ton/año
2005	S/C5	8.9568e-05			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-66	ACE9K2201111	Automotriz 	Níquel (compuestos)									ton/año
2005	S/C4	7.464e-10			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65	ACE9K2201112	Automotriz 	Mercurio (compuestos)									ton/año
2005	S/C5	8.9568e-05			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65	ACE9K2201112	Automotriz 	Níquel (compuestos)									ton/año
2005	57-12-5	2.488e-05			QUERETARO	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos, S.A. de C.V. P-65	ACE9K2201112	Automotriz 	Cianuro inorgánico/orgánico									ton/año
2005	124-38-9		242.0		NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Bióxido de carbono									ton/año
2005	57-12-5	3.06e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Cianuro inorgánico/orgánico									ton/año
2005	7440-38-2	5.1e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Arsénico									ton/año
2005	S/C6	7.65e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Plomo (compuestos)									ton/año
2005	S/C3	2.55e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Cromo (compuestos)									ton/año
2005	S/C4	1.02e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Mercurio (compuestos)									ton/año
2005	S/C5	2.55e-05			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Níquel (compuestos)									ton/año
2005	7440-43-9	2.55e-06			NUEVO LEON	Atributo no considerado en este año	Atributo no considerado en este año	AQUA CLOR S. A. DE C. V.	ACL5I1901011	Quimica	Cadmio									ton/año
2005	57-12-5	8.2278e-05			COAHUILA	Atributo no considerado en este año	Atributo no considerado en este año	ALCOA CSI DE MEXICO EN SALTILLO S.A. DE C.V.	ACM6E0503011	Articulos y productos plasticos 	Cianuro inorgánico/orgánico									ton/año
