entidad,municipio,cve_ent,cve_mun
Chihuahua,Batopilas de Manuel Gómez Morín,8,8
Chihuahua,Bocoyna,8,9
Chihuahua,Buenaventura,8,10
Chihuahua,Camargo,8,11
Chihuahua,Carichí,8,12
Chihuahua,Casas Grandes,8,13
Chihuahua,Coronado,8,14
Chihuahua,Coyame del Sotol,8,15
Chihuahua,La Cruz,8,16
Chihuahua,Cuauhtémoc,8,17
Chihuahua,Cusihuiriachi,8,18
Chihuahua,Chihuahua,8,19
Chihuahua,Chínipas,8,20
Chihuahua,Delicias,8,21
Chihuahua,Dr. Belisario Domínguez,8,22
Chihuahua,Galeana,8,23
Chihuahua,Santa Isabel,8,24
Chihuahua,Gómez Farías,8,25
Chihuahua,Gran Morelos,8,26
Chihuahua,Guachochi,8,27
Chihuahua,Guadalupe,8,28
Chihuahua,Guadalupe y Calvo,8,29
Chihuahua,Guazapares,8,30
Chihuahua,Guerrero,8,31
Chihuahua,Hidalgo del Parral,8,32
Chihuahua,Huejotitán,8,33
Chihuahua,Ignacio Zaragoza,8,34
Chihuahua,Janos,8,35
Chihuahua,Jiménez,8,36
Chihuahua,Juárez,8,37
Chihuahua,Julimes,8,38
Chihuahua,López,8,39
Chihuahua,Madera,8,40
Chihuahua,Maguarichi,8,41
Chihuahua,Manuel Benavides,8,42
Chihuahua,Matachí,8,43
Chihuahua,Matamoros,8,44
Chihuahua,Meoqui,8,45
Chihuahua,Morelos,8,46
Chihuahua,Moris,8,47
Chihuahua,Namiquipa,8,48
Chihuahua,Nonoava,8,49
Chihuahua,Nuevo Casas Grandes,8,50
Chihuahua,Ocampo,8,51
Chihuahua,Ojinaga,8,52
Chihuahua,Praxedis G. Guerrero,8,53
Chihuahua,Riva Palacio,8,54
Chihuahua,Rosales,8,55
Chihuahua,Rosario,8,56
Chihuahua,San Francisco de Borja,8,57
Chihuahua,San Francisco de Conchos,8,58
Chihuahua,San Francisco del Oro,8,59
Chihuahua,Santa Bárbara,8,60
Chihuahua,Satevó,8,61
Chihuahua,Saucillo,8,62
Chihuahua,Temósachic,8,63
Chihuahua,El Tule,8,64
Chihuahua,Urique,8,65
Chihuahua,Uruachi,8,66
Chihuahua,Valle de Zaragoza,8,67
Ciudad de México,Azcapotzalco,9,2
Ciudad de México,Coyoacán,9,3
Ciudad de México,Cuajimalpa de Morelos,9,4
Ciudad de México,Gustavo A. Madero,9,5
Ciudad de México,Iztacalco,9,6
Ciudad de México,Iztapalapa,9,7
Ciudad de México,La Magdalena Contreras,9,8
Ciudad de México,Milpa Alta,9,9
Ciudad de México,Álvaro Obregón,9,10
Ciudad de México,Tláhuac,9,11
Ciudad de México,Tlalpan,9,12
Ciudad de México,Xochimilco,9,13
Ciudad de México,Benito Juárez,9,14
Ciudad de México,Cuauhtémoc,9,15
Ciudad de México,Miguel Hidalgo,9,16
Ciudad de México,Venustiano Carranza,9,17
Durango,Canatlán,10,1
Durango,Canelas,10,2
Durango,Coneto de Comonfort,10,3
Durango,Cuencamé,10,4
Durango,Durango,10,5
Durango,General Simón Bolívar,10,6
Durango,Gómez Palacio,10,7
Durango,Guadalupe Victoria,10,8
Durango,Guanaceví,10,9
Durango,Hidalgo,10,10
Durango,Indé,10,11
Durango,Lerdo,10,12
Durango,Mapimí,10,13
Durango,Mezquital,10,14
Durango,Nazas,10,15
Durango,Nombre de Dios,10,16
Durango,Ocampo,10,17
Durango,El Oro,10,18
Durango,Otáez,10,19
Durango,Pánuco de Coronado,10,20
Durango,Peñón Blanco,10,21
Durango,Poanas,10,22
Durango,Pueblo Nuevo,10,23
Durango,Rodeo,10,24
Durango,San Bernardo,10,25
Durango,San Dimas,10,26
Durango,San Juan de Guadalupe,10,27
Durango,San Juan del Río,10,28
Durango,San Luis del Cordero,10,29
Durango,San Pedro del Gallo,10,30
Durango,Santa Clara,10,31
Durango,Santiago Papasquiaro,10,32
Durango,Súchil,10,33
Durango,Tamazula,10,34
Durango,Tepehuanes,10,35
Durango,Tlahualilo,10,36
Durango,Topia,10,37
Durango,Vicente Guerrero,10,38
Durango,Nuevo Ideal,10,39
Guanajuato,Abasolo,11,1
Guanajuato,Acámbaro,11,2
Guanajuato,San Miguel de Allende,11,3
Guanajuato,Apaseo el Alto,11,4
Guanajuato,Apaseo el Grande,11,5
Guanajuato,Atarjea,11,6
Guanajuato,Celaya,11,7
Guanajuato,Manuel Doblado,11,8
Guanajuato,Comonfort,11,9
Guanajuato,Coroneo,11,10
Guanajuato,Cortazar,11,11
Guanajuato,Cuerámaro,11,12
Guanajuato,Doctor Mora,11,13
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,11,14
Guanajuato,Guanajuato,11,15
Guanajuato,Huanímaro,11,16
Guanajuato,Irapuato,11,17
Guanajuato,Jaral del Progreso,11,18
Guanajuato,Jerécuaro,11,19
Guanajuato,León,11,20
Guanajuato,Moroleón,11,21
Guanajuato,Ocampo,11,22
Guanajuato,Pénjamo,11,23
Guanajuato,Pueblo Nuevo,11,24
Guanajuato,Purísima del Rincón,11,25
Guanajuato,Romita,11,26
Guanajuato,Salamanca,11,27
Guanajuato,Salvatierra,11,28
Guanajuato,San Diego de la Unión,11,29
Guanajuato,San Felipe,11,30
Guanajuato,San Francisco del Rincón,11,31
Guanajuato,San José Iturbide,11,32
Guanajuato,San Luis de la Paz,11,33
Guanajuato,Santa Catarina,11,34
Guanajuato,Santa Cruz de Juventino Rosas,11,35
Guanajuato,Santiago Maravatío,11,36
Guanajuato,Silao de la Victoria,11,37
Guanajuato,Tarandacuao,11,38
Guanajuato,Tarimoro,11,39
Guanajuato,Tierra Blanca,11,40
Guanajuato,Uriangato,11,41
Guanajuato,Valle de Santiago,11,42
Guanajuato,Victoria,11,43
Guanajuato,Villagrán,11,44
Guanajuato,Xichú,11,45
Guanajuato,Yuriria,11,46
Guerrero,Acapulco de Juárez,12,1
Guerrero,Ahuacuotzingo,12,2
Guerrero,Ajuchitlán del Progreso,12,3
Guerrero,Alcozauca de Guerrero,12,4
Guerrero,Alpoyeca,12,5
Guerrero,Apaxtla,12,6
Guerrero,Arcelia,12,7
Guerrero,Atenango del Río,12,8
Guerrero,Atlamajalcingo del Monte,12,9
Guerrero,Atlixtac,12,10
Guerrero,Atoyac de Álvarez,12,11
Guerrero,Ayutla de los Libres,12,12
Guerrero,Azoyú,12,13
Guerrero,Benito Juárez,12,14
Guerrero,Buenavista de Cuéllar,12,15
Guerrero,Coahuayutla de José María Izazaga,12,16
Guerrero,Cocula,12,17
Guerrero,Copala,12,18
Guerrero,Copalillo,12,19
Guerrero,Copanatoyac,12,20
Guerrero,Coyuca de Benítez,12,21
Guerrero,Coyuca de Catalán,12,22
Guerrero,Cuajinicuilapa,12,23
Guerrero,Cualác,12,24
Guerrero,Cuautepec,12,25
Guerrero,Cuetzala del Progreso,12,26
Guerrero,Cutzamala de Pinzón,12,27
Guerrero,Chilapa de Álvarez,12,28
Guerrero,Chilpancingo de los Bravo,12,29
Guerrero,Florencio Villarreal,12,30
Guerrero,General Canuto A. Neri,12,31
Guerrero,General Heliodoro Castillo,12,32
Guerrero,Huamuxtitlán,12,33
Guerrero,Huitzuco de los Figueroa,12,34
Guerrero,Iguala de la Independencia,12,35
Guerrero,Igualapa,12,36
Guerrero,Ixcateopan de Cuauhtémoc,12,37
Guerrero,Zihuatanejo de Azueta,12,38
Guerrero,Juan R. Escudero,12,39
Guerrero,Leonardo Bravo,12,40
Guerrero,Malinaltepec,12,41
Guerrero,Mártir de Cuilapan,12,42
Guerrero,Metlatónoc,12,43
Guerrero,Mochitlán,12,44
Guerrero,Olinalá,12,45
Guerrero,Ometepec,12,46
Guerrero,Pedro Ascencio Alquisiras,12,47
Guerrero,Petatlán,12,48
Guerrero,Pilcaya,12,49
Guerrero,Pungarabato,12,50
Guerrero,Quechultenango,12,51
Guerrero,San Luis Acatlán,12,52
Guerrero,San Marcos,12,53
Guerrero,San Miguel Totolapan,12,54
Guerrero,Taxco de Alarcón,12,55
Guerrero,Tecoanapa,12,56
Guerrero,Técpan de Galeana,12,57
Guerrero,Teloloapan,12,58
Guerrero,Tepecoacuilco de Trujano,12,59
Guerrero,Tetipac,12,60
Guerrero,Tixtla de Guerrero,12,61
Guerrero,Tlacoachistlahuaca,12,62
Guerrero,Tlacoapa,12,63
Guerrero,Tlalchapa,12,64
Guerrero,Tlalixtaquilla de Maldonado,12,65
Guerrero,Tlapa de Comonfort,12,66
Guerrero,Tlapehuala,12,67
Guerrero,La Unión de Isidoro Montes de Oca,12,68
Guerrero,Xalpatláhuac,12,69
Guerrero,Xochihuehuetlán,12,70
Guerrero,Xochistlahuaca,12,71
Guerrero,Zapotitlán Tablas,12,72
Guerrero,Zirándaro,12,73
Guerrero,Zitlala,12,74
Guerrero,Eduardo Neri,12,75
Guerrero,Acatepec,12,76
Guerrero,Marquelia,12,77
Guerrero,Cochoapa el Grande,12,78
Guerrero,José Joaquín de Herrera,12,79
Guerrero,Juchitán,12,80
Guerrero,Iliatenco,12,81
Hidalgo,Acatlán,13,1
Hidalgo,Acaxochitlán,13,2
Hidalgo,Actopan,13,3
Hidalgo,Agua Blanca de Iturbide,13,4
Hidalgo,Ajacuba,13,5
Hidalgo,Alfajayucan,13,6
Hidalgo,Almoloya,13,7
Hidalgo,Apan,13,8
Hidalgo,El Arenal,13,9
Hidalgo,Atitalaquia,13,10
Hidalgo,Atlapexco,13,11
Hidalgo,Atotonilco el Grande,13,12
Hidalgo,Atotonilco de Tula,13,13
Hidalgo,Calnali,13,14
Hidalgo,Cardonal,13,15
Hidalgo,Cuautepec de Hinojosa,13,16
Hidalgo,Chapantongo,13,17
Hidalgo,Chapulhuacán,13,18
Hidalgo,Chilcuautla,13,19
Hidalgo,Eloxochitlán,13,20
Hidalgo,Emiliano Zapata,13,21
Hidalgo,Epazoyucan,13,22
Hidalgo,Francisco I. Madero,13,23
Hidalgo,Huasca de Ocampo,13,24
Hidalgo,Huautla,13,25
Hidalgo,Huazalingo,13,26
Hidalgo,Huehuetla,13,27
Hidalgo,Huejutla de Reyes,13,28
Hidalgo,Huichapan,13,29
Hidalgo,Ixmiquilpan,13,30
Hidalgo,Jacala de Ledezma,13,31
Hidalgo,Jaltocán,13,32
Hidalgo,Juárez Hidalgo,13,33
Hidalgo,Lolotla,13,34
Hidalgo,Metepec,13,35
Hidalgo,San Agustín Metzquititlán,13,36
Hidalgo,Metztitlán,13,37
Hidalgo,Mineral del Chico,13,38
Hidalgo,Mineral del Monte,13,39
Hidalgo,La Misión,13,40
Hidalgo,Mixquiahuala de Juárez,13,41
Hidalgo,Molango de Escamilla,13,42
Hidalgo,Nicolás Flores,13,43
Hidalgo,Nopala de Villagrán,13,44
Hidalgo,Omitlán de Juárez,13,45
Hidalgo,San Felipe Orizatlán,13,46
Hidalgo,Pacula,13,47
Hidalgo,Pachuca de Soto,13,48
Hidalgo,Pisaflores,13,49
Hidalgo,Progreso de Obregón,13,50
Hidalgo,Mineral de la Reforma,13,51
Hidalgo,San Agustín Tlaxiaca,13,52
Hidalgo,San Bartolo Tutotepec,13,53
Hidalgo,San Salvador,13,54
Hidalgo,Santiago de Anaya,13,55
Hidalgo,Santiago Tulantepec de Lugo Guerrero,13,56
Hidalgo,Singuilucan,13,57
Hidalgo,Tasquillo,13,58
Hidalgo,Tecozautla,13,59
Hidalgo,Tenango de Doria,13,60
Hidalgo,Tepeapulco,13,61
Hidalgo,Tepehuacán de Guerrero,13,62
Hidalgo,Tepeji del Río de Ocampo,13,63
Hidalgo,Tepetitlán,13,64
Hidalgo,Tetepango,13,65
Hidalgo,Villa de Tezontepec,13,66
Hidalgo,Tezontepec de Aldama,13,67
Hidalgo,Tianguistengo,13,68
Hidalgo,Tizayuca,13,69
Hidalgo,Tlahuelilpan,13,70
Hidalgo,Tlahuiltepa,13,71
Hidalgo,Tlanalapa,13,72
Hidalgo,Tlanchinol,13,73
Hidalgo,Tlaxcoapan,13,74
Hidalgo,Tolcayuca,13,75
Hidalgo,Tula de Allende,13,76
Hidalgo,Tulancingo de Bravo,13,77
Hidalgo,Xochiatipan,13,78
Hidalgo,Xochicoatlán,13,79
Hidalgo,Yahualica,13,80
Hidalgo,Zacualtipán de Ángeles,13,81
Hidalgo,Zapotlán de Juárez,13,82
Hidalgo,Zempoala,13,83
Hidalgo,Zimapán,13,84
Jalisco,Acatic,14,1
Jalisco,Acatlán de Juárez,14,2
Jalisco,Ahualulco de Mercado,14,3
Jalisco,Amacueca,14,4
Jalisco,Amatitán,14,5
Jalisco,Ameca,14,6
Jalisco,San Juanito de Escobedo,14,7
Jalisco,Arandas,14,8
Jalisco,El Arenal,14,9
Jalisco,Atemajac de Brizuela,14,10
Jalisco,Atengo,14,11
Jalisco,Atenguillo,14,12
Jalisco,Atotonilco el Alto,14,13
Jalisco,Atoyac,14,14
Jalisco,Autlán de Navarro,14,15
Jalisco,Ayotlán,14,16
Jalisco,Ayutla,14,17
Jalisco,La Barca,14,18
Jalisco,Bolaños,14,19
Jalisco,Cabo Corrientes,14,20
Jalisco,Casimiro Castillo,14,21
Jalisco,Cihuatlán,14,22
Jalisco,Zapotlán el Grande,14,23
Jalisco,Cocula,14,24
Jalisco,Colotlán,14,25
Jalisco,Concepción de Buenos Aires,14,26
Jalisco,Cuautitlán de García Barragán,14,27
Jalisco,Cuautla,14,28
Jalisco,Cuquío,14,29
Jalisco,Chapala,14,30
Jalisco,Chimaltitán,14,31
Jalisco,Chiquilistlán,14,32
Jalisco,Degollado,14,33
Jalisco,Ejutla,14,34
Jalisco,Encarnación de Díaz,14,35
Jalisco,Etzatlán,14,36
Jalisco,El Grullo,14,37
Jalisco,Guachinango,14,38
Jalisco,Guadalajara,14,39
Jalisco,Hostotipaquillo,14,40
Jalisco,Huejúcar,14,41
Jalisco,Huejuquilla el Alto,14,42
Jalisco,La Huerta,14,43
Jalisco,Ixtlahuacán de los Membrillos,14,44
Jalisco,Ixtlahuacán del Río,14,45
Jalisco,Jalostotitlán,14,46
Jalisco,Jamay,14,47
Jalisco,Jesús María,14,48
Jalisco,Jilotlán de los Dolores,14,49
Jalisco,Jocotepec,14,50
Jalisco,Juanacatlán,14,51
Jalisco,Juchitlán,14,52
Jalisco,Lagos de Moreno,14,53
Jalisco,El Limón,14,54
Jalisco,Magdalena,14,55
Jalisco,Santa María del Oro,14,56
Jalisco,La Manzanilla de la Paz,14,57
Jalisco,Mascota,14,58
Jalisco,Mazamitla,14,59
Jalisco,Mexticacán,14,60
Jalisco,Mezquitic,14,61
Jalisco,Mixtlán,14,62
Jalisco,Ocotlán,14,63
Jalisco,Ojuelos de Jalisco,14,64
Jalisco,Pihuamo,14,65
Jalisco,Poncitlán,14,66
Jalisco,Puerto Vallarta,14,67
Jalisco,Villa Purificación,14,68
Jalisco,Quitupan,14,69
Jalisco,El Salto,14,70
Jalisco,San Cristóbal de la Barranca,14,71
Jalisco,San Diego de Alejandría,14,72
Jalisco,San Juan de los Lagos,14,73
Jalisco,San Julián,14,74
Jalisco,San Marcos,14,75
Jalisco,San Martín de Bolaños,14,76
Jalisco,San Martín Hidalgo,14,77
Jalisco,San Miguel el Alto,14,78
Jalisco,Gómez Farías,14,79
Jalisco,San Sebastián del Oeste,14,80
Jalisco,Santa María de los Ángeles,14,81
Jalisco,Sayula,14,82
Jalisco,Tala,14,83
Jalisco,Talpa de Allende,14,84
Jalisco,Tamazula de Gordiano,14,85
Jalisco,Tapalpa,14,86
Jalisco,Tecalitlán,14,87
Jalisco,Tecolotlán,14,88
Jalisco,Techaluta de Montenegro,14,89
Jalisco,Tenamaxtlán,14,90
Jalisco,Teocaltiche,14,91
Jalisco,Teocuitatlán de Corona,14,92
Jalisco,Tepatitlán de Morelos,14,93
Jalisco,Tequila,14,94
Jalisco,Teuchitlán,14,95
Jalisco,Tizapán el Alto,14,96
Jalisco,Tlajomulco de Zúñiga,14,97
Jalisco,San Pedro Tlaquepaque,14,98
Jalisco,Tolimán,14,99
Jalisco,Tomatlán,14,100
Jalisco,Tonalá,14,101
Jalisco,Tonaya,14,102
Jalisco,Tonila,14,103
Jalisco,Totatiche,14,104
Jalisco,Tototlán,14,105
Jalisco,Tuxcacuesco,14,106
Jalisco,Tuxcueca,14,107
Jalisco,Tuxpan,14,108
Jalisco,Unión de San Antonio,14,109
Jalisco,Unión de Tula,14,110
Jalisco,Valle de Guadalupe,14,111
Jalisco,Valle de Juárez,14,112
Jalisco,San Gabriel,14,113
Jalisco,Villa Corona,14,114
Jalisco,Villa Guerrero,14,115
Jalisco,Villa Hidalgo,14,116
Jalisco,Cañadas de Obregón,14,117
Jalisco,Yahualica de González Gallo,14,118
Jalisco,Zacoalco de Torres,14,119
Jalisco,Zapopan,14,120
Jalisco,Zapotiltic,14,121
Jalisco,Zapotitlán de Vadillo,14,122
Jalisco,Zapotlán del Rey,14,123
Jalisco,Zapotlanejo,14,124
Jalisco,San Ignacio Cerro Gordo,14,125
México,Acambay de Ruíz Castañeda,15,1
México,Acolman,15,2
México,Aculco,15,3
México,Almoloya de Alquisiras,15,4
México,Almoloya de Juárez,15,5
México,Almoloya del Río,15,6
México,Amanalco,15,7
México,Amatepec,15,8
México,Amecameca,15,9
México,Apaxco,15,10
México,Atenco,15,11
México,Atizapán,15,12
México,Atizapán de Zaragoza,15,13
México,Atlacomulco,15,14
México,Atlautla,15,15
México,Axapusco,15,16
México,Ayapango,15,17
México,Calimaya,15,18
México,Capulhuac,15,19
México,Coacalco de Berriozábal,15,20
México,Coatepec Harinas,15,21
México,Cocotitlán,15,22
México,Coyotepec,15,23
México,Cuautitlán,15,24
México,Chalco,15,25
México,Chapa de Mota,15,26
México,Chapultepec,15,27
México,Chiautla,15,28
México,Chicoloapan,15,29
México,Chiconcuac,15,30
México,Chimalhuacán,15,31
México,Donato Guerra,15,32
México,Ecatepec de Morelos,15,33
México,Ecatzingo,15,34
México,Huehuetoca,15,35
México,Hueypoxtla,15,36
México,Huixquilucan,15,37
México,Isidro Fabela,15,38
México,Ixtapaluca,15,39
México,Ixtapan de la Sal,15,40
México,Ixtapan del Oro,15,41
México,Ixtlahuaca,15,42
México,Xalatlaco,15,43
México,Jaltenco,15,44
México,Jilotepec,15,45
México,Jilotzingo,15,46
México,Jiquipilco,15,47
México,Jocotitlán,15,48
México,Joquicingo,15,49
México,Juchitepec,15,50
México,Lerma,15,51
México,Malinalco,15,52
México,Melchor Ocampo,15,53
México,Metepec,15,54
México,Mexicaltzingo,15,55
México,Morelos,15,56
México,Naucalpan de Juárez,15,57
México,Nezahualcóyotl,15,58
México,Nextlalpan,15,59
México,Nicolás Romero,15,60
México,Nopaltepec,15,61
México,Ocoyoacac,15,62
México,Ocuilan,15,63
México,El Oro,15,64
México,Otumba,15,65
México,Otzoloapan,15,66
México,Otzolotepec,15,67
México,Ozumba,15,68
México,Papalotla,15,69
México,La Paz,15,70
México,Polotitlán,15,71
México,Rayón,15,72
México,San Antonio la Isla,15,73
México,San Felipe del Progreso,15,74
México,San Martín de las Pirámides,15,75
México,San Mateo Atenco,15,76
México,San Simón de Guerrero,15,77
México,Santo Tomás,15,78
México,Soyaniquilpan de Juárez,15,79
México,Sultepec,15,80
México,Tecámac,15,81
México,Tejupilco,15,82
México,Temamatla,15,83
México,Temascalapa,15,84
México,Temascalcingo,15,85
México,Temascaltepec,15,86
México,Temoaya,15,87
México,Tenancingo,15,88
México,Tenango del Aire,15,89
México,Tenango del Valle,15,90
México,Teoloyucan,15,91
México,Teotihuacán,15,92
México,Tepetlaoxtoc,15,93
México,Tepetlixpa,15,94
México,Tepotzotlán,15,95
México,Tequixquiac,15,96
México,Texcaltitlán,15,97
México,Texcalyacac,15,98
México,Texcoco,15,99
México,Tezoyuca,15,100
México,Tianguistenco,15,101
México,Timilpan,15,102
México,Tlalmanalco,15,103
México,Tlalnepantla de Baz,15,104
México,Tlatlaya,15,105
México,Toluca,15,106
México,Tonatico,15,107
México,Tultepec,15,108
