cve_ent,municipio,
15,Valle de Chalco Solidaridad,
15,Villa Guerrero,
15,Villa de Allende,
15,Xalatlaco,
15,Xonacatlan,
15,Zacazonapan,
15,Zacualpan,
15,Zinacantepec,
15,Zumpango,
16,Apatzingán,
16,Aquila,
16,Arteaga,
16,Coalcomán de Vázquez Pallares,
16,Copándaro,
16,Cuitzeo,
16,Ecuandureo,
16,Hidalgo,
16,Jiquilpan,
16,Jungapeo,
16,La Piedad,
16,Lagunillas,
16,Lazaro Cardenas,
16,Los Reyes,
16,Lázaro Cárdenas,
16,Madero,
16,Morelia,
16,Nuevo Parangaricutiro,
16,Purepero,
16,Salvador Escalante,
16,Tacámbaro,
16,Tanhuato,
16,Taretan,
16,Tarimbaro,
16,Tocumbo,
16,Uruapan,
16,Vista Hermosa,
16,Yurecuaro,
16,Zacapu,
16,Zamora,
16,Zitácuaro,
17,Atlatlahucan,
17,Ayala,
17,Cuautla,
17,Cuernavaca,
17,Emiliano Zapata,
17,Jiutepec,
17,Puente de Ixtla,
17,Tlaltizapan,
17,Xochitepec,
17,Yautepec,
17,Yecapixtla,
17,Zacatepec de Hidalgo,
18,Acaponeta,
18,Bahía de Banderas,
18,Del Nayar,
18,La Yesca,
18,San Blas,
18,San Pedro Lagunillas,
18,Santa Maria del Oro,
18,Tepic,
18,Xalisco,
19,Abasolo,
19,Allende,
19,Anahuac,
19,Apodaca,
19,Aramberri,
19,Cadereyta Jiménez,
19,Carmen,
19,Ciénega de Flores,
19,Doctor González,
19,Dr. Arroyo,
19,Dr. Gonzalez,
19,El Carmen,
19,Garcia,García
19,García,
19,General Bravo,
19,General Escobedo,
19,General Zuazua,
19,Guadalupe,
19,Hidalgo,
19,Higueras,
19,Juárez,
19,Lampazos de Naranjo,
19,Linares,
19,Los Herreras,
19,Los Ramones,
19,Mina,
19,Montemorelos,
19,Monterrey,
19,Pesqueria,Pesquería
19,Pesquería,
19,Sabinas Hidalgo,
19,Salinas Victoria,
19,San Nicolás de los Garza,
19,San Pedro Garza García,
19,Santa Catarina,
20,Acatlán de Pérez Figueroa,
20,Cosolapa,
20,El Barrio de la Soledad,
20,Guadalupe Etla,
20,Juchitan de Zaragoza,
20,Oaxaca de Juárez,
20,Salina Cruz,
20,San Juan Bautista Tuxtepec,
20,San Lorenzo Cacaotepec,
20,San Pablo Etla,
20,San Pedro Mixtepec,
20,San Pedro Totolapa,
20,San Pedro y San Pablo Teposcolula,
20,Santa Cruz Xoxocotlan,
20,Santa Maria Huatulco,
20,Santa Maria del Tule,
20,Santo Domingo Tehuantepec,
20,Tlalixtac de Cabrera,
21,Acajete,
21,Ahuazotepec,
21,Amozoc,
21,Atlixco,
21,Atzala,
21,Chalchicomula de Sesma,
21,Chietla,
21,Chignautla,
21,Coronango,
21,Cuautinchan,Cuautinchán
21,Cuautinchán,
21,Cuautlancingo,
21,Huauchinango,
21,Huejotzingo,
21,Hueytamalco,
21,Izucar de Matamoros,Izúcar de Matamoros
21,Izúcar de Matamoros,
21,Juan C. Bonilla,
21,Nopalucan,
21,Oriental,
21,Palmar de Bravo,
21,Puebla,
21,Rafael Lara Grajales,
21,San Andres Cholula,San Andrés Cholula
21,San Andrés Cholula,
21,San Jose Chiapa,San José Chiapa
21,San José Chiapa,
21,San Martin Texmelucan,San Martín Texmelucan
21,San Martín Texmelucan,
21,San Miguel Xoxtla,
21,San Pedro Cholula,
21,San Salvador Huixcolotla,
21,San Salvador el Verde,
21,Santiago Miahuatlan,
21,Tecali de Herrera,
21,Tehuacan,Tehuacán
21,Tehuacán,
21,Tepanco de Lopez,Tepanco de López
21,Tepanco de López,
21,Tepeaca,
21,Tepeyahualco,
21,Teziutlan,
21,Tlacotepec de Benito Juarez,
21,Tlahuapan,
21,Xicotepec,
21,Xiutetelco,
21,Yehualtepec,
22,Amealco de Bonfil,
22,Cadereyta de Montes,
22,Colón,
22,Corregidora,
22,El Marqués,
22,Ezequiel Montes,
22,Huimilpan,
22,Pedro Escobedo,
22,Querétaro,
22,San Joaquin,
22,San Juan del Río,
22,Tequisquiapan,
22,Tolimán,
23,Benito Juárez,
23,Cozumel,
23,Isla Mujeres,
23,Lázaro Cárdenas,
23,Othón P. Blanco,
23,Solidaridad,
23,Tulum,
24,Cerritos,
24,Cerro de San Pedro,
24,Charcas,
24,Ciudad Valles,
24,Ebano,
24,El Naranjo,
24,Huehuetlan,
24,Matehuala,
24,Mexquitic de Carmona,
24,Moctezuma,
24,Rioverde,
24,San Luis Potosí,
24,Soledad de Graciano Sánchez,
24,Tamasopo,
24,Tamazunchale,
24,Tamuín,
24,Venado,
24,Villa Hidalgo,
24,Villa de Reyes,
24,Villa de la Paz,
24,Zaragoza,
25,Ahome,
25,Badiraguato,
25,Choix,
25,Cosala,
25,Culiacán,
25,El Fuerte,
25,Mazatlán,
25,Mocorito,
25,Navolato,
25,Rosario,
25,Salvador Alvarado,
25,Sinaloa,
26,Agua Prieta,
26,Alamos,
26,Altar,
26,Banamichi,
26,Caborca,
26,Cajeme,
26,Cananea,
26,Cucurpe,
26,Cumpas,
26,Empalme,
26,Guaymas,
26,Hermosillo,
26,Huatabampo,
26,La Colorada,
26,Magdalena,
26,Naco,
26,Nacozari de García,
26,Navojoa,
26,Nogales,
26,Pitiquito,
26,Puerto Penasco,
26,Rosario,
26,Sahuaripa,
26,San Luis Rio Colorado,
26,Santa Ana,
26,Santa Cruz,
26,Soyopa,
26,Suaqui Grande,
26,Yecora,
27,Cardenas,
27,Centla,
27,Centro,
27,Comalcalco,
27,Cunduacán,
27,Cárdenas,
27,Emiliano Zapata,
27,Huimanguillo,
27,Jalapa,
27,Jalpa de Méndez,
27,Jonuta,
27,Macuspana,
27,Nacajuca,
27,Paraíso,
27,Teapa,
27,Tenosique,
28,Altamira,
28,Antiguo Morelos,
28,Camargo,
28,Ciudad Madero,
28,El Mante,
28,Hidalgo,
28,Jaumave,
28,Llera,
28,Matamoros,
28,Mier,
28,Miguel Aleman,
28,Nuevo Laredo,
28,Reynosa,
28,Río Bravo,
28,San Fernando,
28,Soto la Marina,
28,Tampico,
28,Valle Hermoso,
28,Victoria,
28,Xicotencatl,
29,Acuamanala de Miguel Hidalgo,
29,Apetatitlan de Antonio Carvajal,
29,Apizaco,
29,Atlangatepec,
29,Calpulalpan,
29,Cuapiaxtla,
29,El Carmen Tequexquitla,
29,Huamantla,
29,Ixtacuixtla de Mariano Matamoros,
29,Ixtenco,
29,La Magdalena Tlaltelulco,
29,Mazatecochco de José María Morelos,
29,Nativitas,
29,Papalotla de Xicohténcatl,
29,San Pablo del Monte,
29,Santa Cruz Tlaxcala,
29,Santa Isabel Xiloxoxtla,
29,Teolocholco,
29,Tepeyanco,
29,Tetla de la Solidaridad,
29,Tlaxcala,
29,Tlaxco,
29,Tzompantepec,
29,Xaloztoc,
29,Xicohtzinco,
29,Yauhquemehcan,
29,Zitlaltepec de Trinidad Sanchez Santos,
30,Acayucan,
30,Agua Dulce,
30,Alto Lucero de Gutiérrez Barrios,
30,Alvarado,
30,Amatitlán,
30,Amatlán de los Reyes,
30,Apazapan,
30,Atoyac,
30,Boca del Río,
30,Carlos A. Carrillo,
30,Cerro Azul,
30,Chacaltianguis,
30,Chinameca,
30,Coatepec,
30,Coatzacoalcos,
30,Coatzintla,
30,Cordoba,
30,Cosamaloapan de Carpio,
30,Cosoleacaque,
30,Cotaxtla,
30,Cuichapa,
30,Cuitlahuac,Cuitláhuac
30,Cuitláhuac,
30,Córdoba,
30,El Higo,
30,Fortín,
30,Hidalgotitlan,
30,Hueyapan de Ocampo,
30,Isla,
30,Ixhuatlán del Sureste,
30,Ixtaczoquitlán,
30,Jalacingo,
30,Jáltipan,
30,La Antigua,
30,Las Choapas,
30,Lerdo de Tejada,
30,Manlio Fabio Altamirano,
30,Martínez de la Torre,
30,Medellín,
30,Minatitlán,
30,Moloacán,
30,Nanchital de Lázaro Cárdenas del Río,
30,Naolinco,
30,Nogales,
30,Orizaba,
30,Panuco,
30,Paso de Ovejas,
30,Paso del Macho,
30,Perote,
30,Poza Rica de Hidalgo,
30,Pueblo Viejo,
30,Pánuco,
30,Río Blanco,
30,San Andrés Tuxtla,
30,San Juan Evangelista,
30,San Rafael,
30,Tantoyuca,
30,Temapache,
30,Tezonapa,
30,Tierra Blanca,
30,Tihuatlán,
30,Tlalnelhuayocan,
30,Tlapacoyan,
30,Tres Valles,
30,Tuxpan,
30,Ursulo Galván,
30,Uxpanapa,
30,Veracruz,
30,Xalapa,
30,Álamo Temapache,
31,Abalá,
31,Acanceh,
31,Baca,
31,Cacalchén,
31,Chapab,
31,Chicxulub Pueblo,
31,Chumayel,
31,Conkal,
31,Cuzama,
31,Hocabá,
31,Hoctún,
31,Hunucmá,
31,Izamal,
31,Kanasín,
31,Kantunil,
31,Kinchil,
31,Kopomá,
31,Mama,
31,Maxcanú,
31,Merida,
31,Muna,
31,Muxupip,
31,Mérida,
31,Opichén,
31,Progreso,
31,Santa Elena,
31,Seye,
31,Sotuta,
31,Tahmek,
31,Teabo,
31,Tecoh,
31,Tekal de Venegas,
31,Tekantó,
31,Tekax,
31,Tepakán,
31,Ticul,
31,Tixkokob,
31,Tixmehuac,
31,Tixpéhual,
31,Tizimin,
31,Umán,
31,Valladolid,
32,Calera,
32,Chalchihuites,
32,Concepcion del Oro,
32,Fresnillo,
32,General Panfilo Natera,
32,Guadalupe,
32,Mazapil,
32,Miguel Auza,
32,Morelos,
32,Nochistlán de Mejía,
32,Noria de angeles,
32,Ojocaliente,
32,Sombrerete,
32,Vetagrande,
32,Villanueva,
32,Zacatecas,
